timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,xml_body_mass_scale,xml_geom_friction_scale,xml_joint_damping_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return
1772131999,damping_s2_vanilla_nominal,ppo_cont,Walker2d-v4,2,100,0,vanilla,nominal,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__2__1771811166/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__2__1771811166/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,2823.2186530873632,1073.5712593748583,3343.1510493994624,3003.3529720237375,353.00998129390894,3947.6467269123273
1772132071,damping_s2_tv_nominal,ppo_cont,Walker2d-v4,2,100,0,tv,nominal,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__2__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__2__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,2891.5627379805214,965.2601874077097,3232.061744868203,3071.5856456695033,899.9666537145256,4003.96641418891
1772132142,damping_s2_vanilla_damping_0p5,ppo_cont,Walker2d-v4,2,100,1,vanilla,damping_0p5,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__2__1771811166/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__2__1771811166/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.5,2980.7646068860804,955.907434773152,3316.260454959287,3199.0700057552353,975.7622693888255,4050.01416368574
1772132215,damping_s2_tv_damping_0p5,ppo_cont,Walker2d-v4,2,100,1,tv,damping_0p5,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__2__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__2__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.5,3008.634342513309,948.3519573702299,3581.4597808505073,3283.715611799828,456.0211733450183,3994.9812223712133
1772132282,damping_s2_vanilla_damping_0p6,ppo_cont,Walker2d-v4,2,100,1,vanilla,damping_0p6,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__2__1771811166/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__2__1771811166/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.6,2876.6750276613748,940.3617398797461,3162.670316082433,3032.797003407068,793.030238093654,3997.961145600277
1772132352,damping_s2_tv_damping_0p6,ppo_cont,Walker2d-v4,2,100,1,tv,damping_0p6,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__2__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__2__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.6,2923.3499972164045,1037.775033549032,3504.843918718426,3206.7235439640394,956.6786211396753,4069.320152747714
1772132417,damping_s2_vanilla_damping_0p7,ppo_cont,Walker2d-v4,2,100,1,vanilla,damping_0p7,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__2__1771811166/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__2__1771811166/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.7,2675.3552218007676,1053.9103979300883,2606.028029980411,2771.710198814585,373.22322461123446,4050.3794654192693
1772132483,damping_s2_tv_damping_0p7,ppo_cont,Walker2d-v4,2,100,1,tv,damping_0p7,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__2__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__2__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.7,2763.602187396023,1080.6767686193289,2918.298112537352,2906.35977983062,872.1145838819663,4019.1588997444765
1772132560,damping_s2_vanilla_damping_0p8,ppo_cont,Walker2d-v4,2,100,1,vanilla,damping_0p8,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__2__1771811166/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__2__1771811166/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.8,3087.6342723619614,872.3256722816166,3467.0248958153134,3370.0970230573625,813.9020903842747,3982.933363292418
1772132629,damping_s2_tv_damping_0p8,ppo_cont,Walker2d-v4,2,100,1,tv,damping_0p8,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__2__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__2__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.8,2767.8384667078185,1077.4243902771298,3044.9778055010693,2954.26802197444,572.1689431326996,4006.963487995318
