model_label,damping_scale,mean_return,std_return,n,ci95
tv_a3200,0.5,2631.4823348794775,717.6839519714407,5,629.0777203637836
tv_a3200,0.6,2573.5124042802436,656.5540320663146,5,575.4949830679275
tv_a3200,0.7,2598.695648415063,601.794058676176,5,527.4957500729272
tv_a3200,0.8,2520.1396200708905,676.5069765611648,5,592.9845100426995
tv_a3200,0.9,2503.304647225144,602.8909280234724,5,528.4571984467394
tv_a3200,1.0,2671.6249736597283,708.5477983287836,5,621.069528609421
tv_a3200,1.1,2490.5966474576117,666.0765828951985,5,583.8418668891795
tv_a3200,1.3,2479.189017471431,613.405186256514,5,537.67335213443
tv_a3200,1.5,2544.196320647534,644.9792126591391,5,565.3492065234101
tv_a3200,1.7,2384.757988100829,547.0832917139106,5,479.5396484136474
tv_a3200,2.0,2452.6903055326484,608.1185771477489,5,533.039434938064
tv_a3600,0.5,2959.2455484971224,1077.8281235607628,5,944.7580053184199
tv_a3600,0.6,2825.2487631091017,921.7931391292909,5,807.9873111521182
tv_a3600,0.7,2947.8972778996613,1036.079655907248,5,908.1638599595736
tv_a3600,0.8,2970.7264714372363,1038.5090398863615,5,910.2933089061063
tv_a3600,0.9,2937.2439399953255,981.9263243266229,5,860.696371955607
tv_a3600,1.0,2831.0911210958934,935.2832748375216,5,819.8119364560841
tv_a3600,1.1,2901.2236419684773,1001.9460333459652,5,878.2444206163568
tv_a3600,1.3,2854.8308542985437,1015.7047260875777,5,890.304446539054
tv_a3600,1.5,2952.74692085468,972.0300421875597,5,852.0218981973218
tv_a3600,1.7,2878.7324740584127,952.206946890888,5,834.6461890630585
tv_a3600,2.0,2925.9730538659705,1015.6961820231022,5,890.2969573363373
tv_a4000,0.5,3329.4231375132267,752.404618690995,5,659.5117265993264
tv_a4000,0.6,3262.8134050584144,637.6532633743487,5,558.9277288480114
tv_a4000,0.7,3205.3961558557858,710.639036443223,5,622.9025796371827
tv_a4000,0.8,3196.7769754368305,603.6842020415894,5,529.1525337814227
tv_a4000,0.9,3211.754740289217,743.5243000724339,5,651.7277841308862
tv_a4000,1.0,3299.998130462466,679.4198346815945,5,595.537742759008
tv_a4000,1.1,3249.278422055115,667.2778661645423,5,584.8948381009699
tv_a4000,1.3,3284.9810712800668,803.4308727161308,5,704.2382102731777
tv_a4000,1.5,3299.957438937854,671.2566172678702,5,588.3823672105466
tv_a4000,1.7,3208.212722482084,758.8902171322587,5,665.1966042831839
tv_a4000,2.0,3198.196003227121,714.0887758793255,5,625.9264095756272
tv_a4400,0.5,2884.34034718,570.7351054620245,5,500.2713772397706
tv_a4400,0.6,2888.2880871759085,535.3120718015653,5,469.22171923602286
tv_a4400,0.7,2873.371267338777,513.1982048011613,5,449.8380601715722
tv_a4400,0.8,2837.3247059421824,610.2361439165904,5,534.8955640489376
tv_a4400,0.9,2737.1104398876523,569.5627972554579,5,499.24380379030873
tv_a4400,1.0,2911.47054715974,661.1289441160746,5,579.5050702869913
tv_a4400,1.1,2798.7514280721157,562.7474375849771,5,493.2698776447009
tv_a4400,1.3,2700.1138960548897,518.7531564693909,5,454.7071899919919
tv_a4400,1.5,2733.827480363348,635.3138299694922,5,556.8771250561508
tv_a4400,1.7,2703.9283941193207,586.419147621918,5,514.0190463369164
tv_a4400,2.0,2715.6543992678685,605.2784373323667,5,530.5499426264872
tv_a4800,0.5,2711.4965043529683,498.75153728161064,5,437.1749977677272
tv_a4800,0.6,2663.6935497013387,402.6921564847854,5,352.97523807513744
tv_a4800,0.7,2738.474357467259,454.6802430201255,5,398.5448051162969
tv_a4800,0.8,2766.6014712736383,524.2764969170986,5,459.5486113559398
tv_a4800,0.9,2686.229795079217,457.8513898376706,5,401.3244378577568
tv_a4800,1.0,2624.0036895451913,473.6895486333605,5,415.20719614235156
tv_a4800,1.1,2569.9411093915974,386.5949736980758,5,338.8654352518672
tv_a4800,1.3,2663.5935740618547,434.25906502510634,5,380.64485338272254
tv_a4800,1.5,2636.8053525322807,372.72330450538396,5,326.7063811035777
tv_a4800,1.7,2489.1738886212293,415.5152774585638,5,364.21519918611756
tv_a4800,2.0,2502.7647684385547,380.14028886493224,5,333.20765454025076
tv_p95,0.5,2860.209581091106,510.78064195957467,5,447.71897290893537
tv_p95,0.6,2875.612357548981,549.9097804863303,5,482.01717505849336
tv_p95,0.7,2790.9842281799565,493.27112597064627,5,432.3712054512249
tv_p95,0.8,2877.7157387577304,518.6687848031503,5,454.6332349658051
tv_p95,0.9,2860.1708787181,607.6134072566532,5,532.596634005127
tv_p95,1.0,2855.6139582343567,449.19296109254987,5,393.73499043880497
tv_p95,1.1,2807.3936549705304,561.0645563910787,5,491.79476723963666
tv_p95,1.3,2838.1404778249275,597.5574205211685,5,523.7821729959462
tv_p95,1.5,2859.225453596799,588.7430511547043,5,516.0560375957215
tv_p95,1.7,2760.2660018040233,532.75627640913,5,466.98146580026906
tv_p95,2.0,2733.41090697613,497.3377602561983,5,435.9357675664582
vanilla,0.5,3164.2346740507837,808.2676079943485,5,708.4777956707142
vanilla,0.6,3244.610166533596,772.2614917729621,5,676.9170432678172
vanilla,0.7,3130.883510798394,737.8435191164792,5,646.7483600768284
vanilla,0.8,3174.2171324396704,753.2866827695706,5,660.284889853487
vanilla,0.9,3083.277648520795,825.3821745329573,5,723.4793746715369
vanilla,1.0,3066.2259273529353,850.4546456448633,5,745.4563645814246
vanilla,1.1,3214.3672445832067,788.3030870710102,5,690.978121508976
vanilla,1.3,3161.5013520965654,717.1687409300396,5,628.6261179745417
vanilla,1.5,3084.781961279561,860.196497451235,5,753.9954741848088
vanilla,1.7,3174.13377336206,830.248982121538,5,727.7453196113164
vanilla,2.0,3081.1556652262725,785.5845713912851,5,688.5952374527324
