model_label,mass_scale,mean_return,std_return,n,ci95
tv_a3800,0.5,2527.486735272308,615.663113063621,5,539.6525122433629
tv_a3800,0.6,2546.357252460656,609.1146072552143,5,533.9124938210124
tv_a3800,0.7,2584.809546236072,696.2824158845826,5,610.3184468746368
tv_a3800,0.8,2570.956781252859,645.3438070120565,5,565.6687875642857
tv_a3800,0.9,2577.538467503481,685.870158867818,5,601.1917011950723
tv_a3800,1.0,2439.2916962991867,612.4581504430112,5,536.8432386436314
tv_a3800,1.1,2477.617938792203,684.2847013167824,5,599.8019863781263
tv_a3800,1.3,2516.6257133696413,651.0869046886709,5,570.7028346323674
tv_a3800,1.5,2568.337744784433,702.7160601483603,5,615.9577847140453
tv_a3800,1.7,2587.740030235843,779.5531812790123,5,683.3084909231064
tv_a3800,2.0,2516.5348617060067,630.0856385040498,5,552.2944131818343
tv_a3900,0.5,2877.3549020629894,969.6665922887041,5,849.9502430203013
tv_a3900,0.6,2938.7942250343253,992.4744076082357,5,869.9421746056129
tv_a3900,0.7,2908.585159051155,1008.3661607936023,5,883.8719104440313
tv_a3900,0.8,2951.8988333914376,1011.1208026962574,5,886.2864605308498
tv_a3900,0.9,2914.2836376218634,1057.3784653682121,5,926.83308959103
tv_a3900,1.0,2981.3496574024257,1037.3821648038345,5,909.3055593457273
tv_a3900,1.1,2880.4998790991485,1029.731613646896,5,902.5995555844437
tv_a3900,1.3,2915.758386864844,1011.0700605257276,5,886.2419830573385
tv_a3900,1.5,2890.326696317642,993.6783760425473,5,870.9974994682717
tv_a3900,1.7,2988.5429075930315,1047.609368258209,5,918.2700984260586
tv_a3900,2.0,2890.19877331808,1021.3378284455342,5,895.2420784593232
tv_a4000,0.5,3311.4705479352706,705.7834769643598,5,618.6464941002785
tv_a4000,0.6,3213.7832028458074,564.5694581768485,5,494.86694910943373
tv_a4000,0.7,3219.1865004508295,645.6175027911696,5,565.9086924922484
tv_a4000,0.8,3328.4307166343,732.9645821071765,5,642.4717832310181
tv_a4000,0.9,3176.2392589949695,716.1817533978049,5,627.7609852582531
tv_a4000,1.0,3343.4653853497803,776.7826337655326,5,680.8799989536933
tv_a4000,1.1,3316.8927196001023,632.4025431278553,5,554.3252696264296
tv_a4000,1.3,3302.124335197385,680.8089826834672,5,596.7553846693022
tv_a4000,1.5,3293.178887001975,684.9157940413936,5,600.3551635412022
tv_a4000,1.7,3260.0245483834915,626.7561427546531,5,549.3759814818669
tv_a4000,2.0,3208.8707383180254,722.064383754299,5,632.917338112794
tv_a4100,0.5,2726.3993431472145,548.9020018879435,5,481.1338181692065
tv_a4100,0.6,2830.336982472197,556.2088671940239,5,487.5385679997242
tv_a4100,0.7,2793.297926966009,578.9466042962651,5,507.46907331925524
tv_a4100,0.8,2819.631656604375,522.8635404176896,5,458.3101003774238
tv_a4100,0.9,2781.349499459428,563.0885515466389,5,493.56887721519007
tv_a4100,1.0,2708.9158608327352,556.5562470002303,5,487.8430598251139
tv_a4100,1.1,2704.856765784778,577.1537744888702,5,505.89758870525753
tv_a4100,1.3,2774.707365983874,599.5319541128073,5,525.5129279991725
tv_a4100,1.5,2754.708420708032,604.3490998027211,5,529.7353423654781
tv_a4100,1.7,2801.7359334313005,583.0740517212301,5,511.0869405014403
tv_a4100,2.0,2759.8285468621116,676.4469738659981,5,592.9319153614509
tv_a4200,0.5,2653.7248606713074,408.87658154310725,5,358.3961256493444
tv_a4200,0.6,2774.6160368112564,444.6574110211488,5,389.7594055150023
tv_a4200,0.7,2626.574533443706,485.7815911592935,5,425.80633873967486
tv_a4200,0.8,2596.9135841771003,392.2132218904071,5,343.79004692189426
tv_a4200,0.9,2695.818136841681,437.14156083212987,5,383.1714723579127
tv_a4200,1.0,2655.4132199524306,430.24951238122674,5,377.13032553245966
tv_a4200,1.1,2706.0782872587433,432.89240846559926,5,379.44692609089265
tv_a4200,1.3,2594.4493069505806,439.91808074295614,5,385.6051993644165
