timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,xml_body_mass_scale,xml_geom_friction_scale,xml_joint_damping_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return
1772923466,coarse_s1_tv_a3200_nominal,ppo_cont,Walker2d-v4,1,100,0,tv_a3200,nominal,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,1433.8924361933389,494.9183430246951,1396.6175196855695,1383.4882853208785,429.0046968985987,3182.243387730691
1772923499,coarse_s1_tv_a3200_mass_0p5,ppo_cont,Walker2d-v4,1,100,1,tv_a3200,mass_0p5,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.5,1.0,1.0,1453.9601699300435,474.7002911420549,1381.1161191552944,1396.1201592397913,512.7605937186855,3459.530887753096
1772923533,coarse_s1_tv_a3200_mass_0p6,ppo_cont,Walker2d-v4,1,100,1,tv_a3200,mass_0p6,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.6,1.0,1.0,1454.4561898266072,516.367255631368,1373.2889769065878,1369.9690012614612,488.09203722728665,3792.53071047719
1772923568,coarse_s1_tv_a3200_mass_0p7,ppo_cont,Walker2d-v4,1,100,1,tv_a3200,mass_0p7,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.7,1.0,1.0,1535.1502353587307,529.9900758141735,1485.2296433985198,1457.4278285830144,691.5927152948533,3526.2686165282284
1772923602,coarse_s1_tv_a3200_mass_0p8,ppo_cont,Walker2d-v4,1,100,1,tv_a3200,mass_0p8,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.8,1.0,1.0,1484.2603232629017,488.4779001821941,1461.6609262438817,1430.7352427401004,621.0025354284282,3335.504342487454
1772923636,coarse_s1_tv_a3200_mass_0p9,ppo_cont,Walker2d-v4,1,100,1,tv_a3200,mass_0p9,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.9,1.0,1.0,1485.5596289705793,498.138411912942,1391.7760453919052,1405.178731697505,611.7410662241878,3588.764191500433
1772923673,coarse_s1_tv_a3200_mass_1p1,ppo_cont,Walker2d-v4,1,100,1,tv_a3200,mass_1p1,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,1.1,1.0,1.0,1563.3653895136545,678.1327120489746,1446.0958240879709,1444.242888992328,406.9338778553487,3678.7223421798976
1772923706,coarse_s1_tv_a3200_mass_1p3,ppo_cont,Walker2d-v4,1,100,1,tv_a3200,mass_1p3,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,1.3,1.0,1.0,1485.2683250887972,515.4908925776383,1435.6398616459971,1423.4280743519505,631.3259940395119,3277.1132162909894
1772923741,coarse_s1_tv_a3200_mass_1p5,ppo_cont,Walker2d-v4,1,100,1,tv_a3200,mass_1p5,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,1.5,1.0,1.0,1485.2047480447318,501.8796866830372,1446.754228850928,1426.6685788161712,631.9297723927558,3062.084573344145
1772923775,coarse_s1_tv_a3200_mass_1p7,ppo_cont,Walker2d-v4,1,100,1,tv_a3200,mass_1p7,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,1.7,1.0,1.0,1492.8280872916769,465.3172076567993,1370.0421884994664,1414.8341210238236,535.9926089864077,2892.2808129621944
1772923811,coarse_s1_tv_a3200_mass_2p0,ppo_cont,Walker2d-v4,1,100,1,tv_a3200,mass_2p0,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__1__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,2.0,1.0,1.0,1542.5356521787985,461.1137221327246,1505.3417539125778,1494.3520223756857,816.2444759305796,3396.5811897829244
1772923855,coarse_s2_tv_a3200_nominal,ppo_cont,Walker2d-v4,2,100,0,tv_a3200,nominal,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,2441.021625717739,910.0174690369062,2247.705790253742,2299.446429761803,811.8889661706094,4055.172482081126
1772923902,coarse_s2_tv_a3200_mass_0p5,ppo_cont,Walker2d-v4,2,100,1,tv_a3200,mass_0p5,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.5,1.0,1.0,2322.763089022956,901.6071501507716,2086.2047422217597,2159.618756966281,666.4501599625031,4045.5614566746176
1772923952,coarse_s2_tv_a3200_mass_0p6,ppo_cont,Walker2d-v4,2,100,1,tv_a3200,mass_0p6,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.6,1.0,1.0,2512.8487019511767,849.4192243314872,2453.70278576081,2441.511700273006,534.2733709289963,4066.3685367970015
1772924004,coarse_s2_tv_a3200_mass_0p7,ppo_cont,Walker2d-v4,2,100,1,tv_a3200,mass_0p7,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.7,1.0,1.0,2552.123037399866,840.6978016912752,2431.417390237508,2442.0432617196693,662.3997829511915,4017.611275045535
1772924060,coarse_s2_tv_a3200_mass_0p8,ppo_cont,Walker2d-v4,2,100,1,tv_a3200,mass_0p8,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.8,1.0,1.0,2453.5239618647,887.3626298202793,2268.8095142791435,2319.1047958928334,352.04996124650927,4054.761210340543
1772924108,coarse_s2_tv_a3200_mass_0p9,ppo_cont,Walker2d-v4,2,100,1,tv_a3200,mass_0p9,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.9,1.0,1.0,2444.820102181409,916.5059878730126,2344.060665948098,2356.435279797174,800.2558035604688,3953.439390731716
1772924166,coarse_s2_tv_a3200_mass_1p1,ppo_cont,Walker2d-v4,2,100,1,tv_a3200,mass_1p1,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,1.1,1.0,1.0,2459.482841395732,870.6626617609759,2341.837396650045,2362.7389837234755,596.4107102215271,3966.022084157361
1772924216,coarse_s2_tv_a3200_mass_1p3,ppo_cont,Walker2d-v4,2,100,1,tv_a3200,mass_1p3,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,1.3,1.0,1.0,2488.979507452078,947.575993669744,2257.0705551522224,2359.99542440636,723.5299987991802,4016.54702355877
1772924264,coarse_s2_tv_a3200_mass_1p5,ppo_cont,Walker2d-v4,2,100,1,tv_a3200,mass_1p5,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,1.5,1.0,1.0,2364.1662435125545,869.246571812667,2271.954067868238,2273.9838943640725,576.3287000483845,4041.158867888607
1772924314,coarse_s2_tv_a3200_mass_1p7,ppo_cont,Walker2d-v4,2,100,1,tv_a3200,mass_1p7,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,1.7,1.0,1.0,2437.482735308098,966.4828817535362,2274.152158500694,2375.893829303838,573.5246828873627,3982.857221036032
1772924362,coarse_s2_tv_a3200_mass_2p0,ppo_cont,Walker2d-v4,2,100,1,tv_a3200,mass_2p0,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__2__1772813184/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,2.0,1.0,1.0,2300.31185131929,881.1027508137786,2054.040144265926,2097.309361158937,788.6150364681555,3977.896769406936
1772923814,coarse_s3_tv_a3200_nominal,ppo_cont,Walker2d-v4,3,100,0,tv_a3200,nominal,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__3__1772813185/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__3__1772813185/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,3215.161076845964,1609.1664230086749,4102.597010426366,3593.717837981249,467.9839694802422,4837.344844241829
1772923867,coarse_s3_tv_a3200_mass_0p5,ppo_cont,Walker2d-v4,3,100,1,tv_a3200,mass_0p5,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__3__1772813185/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__3__1772813185/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.5,1.0,1.0,2989.1950091488766,1644.2750932785052,3223.410688125996,3202.909920880229,440.2945807762328,4890.289082011207
1772923919,coarse_s3_tv_a3200_mass_0p6,ppo_cont,Walker2d-v4,3,100,1,tv_a3200,mass_0p6,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__3__1772813185/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__3__1772813185/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.6,1.0,1.0,3160.731092466576,1638.9282926416763,3907.08200911491,3470.052897048209,429.9050786202153,4837.9791377321535
1772923977,coarse_s3_tv_a3200_mass_0p7,ppo_cont,Walker2d-v4,3,100,1,tv_a3200,mass_0p7,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__3__1772813185/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__3__1772813185/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.7,1.0,1.0,3426.403936939169,1492.0423894698342,4258.843560863505,3876.677545260738,449.5708506539214,4832.91333413996
1772924031,coarse_s3_tv_a3200_mass_0p8,ppo_cont,Walker2d-v4,3,100,1,tv_a3200,mass_0p8,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__3__1772813185/ppo_cont_tv_alpha_a3200.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a3200__3__1772813185/ppo_cont_tv_alpha_a3200.cleanrl_model.norm_stats.npz,1,1,0.8,1.0,1.0,3224.3210160050053,1675.229887664242,4296.043381192879,3631.187387258687,392.5065721305799,4964.569498855446
