timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,xml_body_mass_scale,xml_geom_friction_scale,xml_joint_damping_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return
1772128709,mass_s5_vanilla_nominal,ppo_cont,Walker2d-v4,5,100,0,vanilla,nominal,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__5__1771811166/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__5__1771811166/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,4015.351502213427,1325.4838369942283,4587.430403814802,4577.2617907321455,87.88872646515719,4864.543751302128
1772128793,mass_s5_tv_nominal,ppo_cont,Walker2d-v4,5,100,0,tv,nominal,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__5__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__5__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,4371.7580331204845,878.5374025450834,4627.073198207085,4617.537181374343,511.73513496785336,4788.372299245401
1772128876,mass_s5_vanilla_mass_0p5,ppo_cont,Walker2d-v4,5,100,1,vanilla,mass_0p5,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__5__1771811166/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__5__1771811166/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,0.5,1.0,1.0,4162.280494754317,1190.6844926762458,4604.00679236581,4605.4173738499885,121.83482168730566,4758.613533633203
1772128962,mass_s5_tv_mass_0p5,ppo_cont,Walker2d-v4,5,100,1,tv,mass_0p5,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__5__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__5__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,0.5,1.0,1.0,4275.621138773372,1004.5438313411225,4601.109648395204,4595.293201449687,5.946791031375977,4783.383671031095
1772129048,mass_s5_vanilla_mass_0p6,ppo_cont,Walker2d-v4,5,100,1,vanilla,mass_0p6,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__5__1771811166/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__5__1771811166/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,0.6,1.0,1.0,4316.059693989935,1071.3560113954127,4623.41652014813,4614.830232513664,13.389977353716194,4842.354433948612
1772129128,mass_s5_tv_mass_0p6,ppo_cont,Walker2d-v4,5,100,1,tv,mass_0p6,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__5__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__5__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,0.6,1.0,1.0,4180.904009534966,1177.264019653273,4602.440806486013,4599.673217804904,343.2583522146477,4807.697219974042
1772129213,mass_s5_vanilla_mass_0p7,ppo_cont,Walker2d-v4,5,100,1,vanilla,mass_0p7,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__5__1771811166/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__5__1771811166/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,0.7,1.0,1.0,4224.427366019428,1146.268994718767,4631.665570828592,4618.727120292957,36.614885818724034,4769.106377555862
1772129296,mass_s5_tv_mass_0p7,ppo_cont,Walker2d-v4,5,100,1,tv,mass_0p7,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__5__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__5__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,0.7,1.0,1.0,4039.042373221235,1386.0103198168063,4603.108036010302,4591.534544758009,17.943604836280564,4848.743421592004
1772129382,mass_s5_vanilla_mass_0p8,ppo_cont,Walker2d-v4,5,100,1,vanilla,mass_0p8,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__5__1771811166/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__5__1771811166/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,0.8,1.0,1.0,4490.290539171785,623.0230313467033,4619.279751117686,4618.7329659803145,344.30671172699317,4848.009432523686
1772129467,mass_s5_tv_mass_0p8,ppo_cont,Walker2d-v4,5,100,1,tv,mass_0p8,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__5__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__5__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,0.8,1.0,1.0,4295.487654679858,978.6468165552394,4600.7560268287925,4594.413851972657,45.011168709362686,4820.434187531816
