timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,xml_perturb,xml_body_mass_scale,xml_geom_friction_scale,xml_joint_damping_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return
1771812985,s1_vanilla_nominal,ppo_cont,Walker2d-v4,1,100,0,vanilla,nominal,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,0,1.0,1.0,1.0,2220.763400492573,1006.5070662038648,1889.7017473108735,2083.2456507158818,755.5343792400826,3904.3436188550986
1771813033,s1_tv_nominal,ppo_cont,Walker2d-v4,1,100,0,tv,nominal,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,0,1.0,1.0,1.0,2116.888174316375,966.5392483721575,1914.681382916815,1990.1912082992067,234.2879923593891,3923.5340061016714
1771813089,s1_vanilla_friction_1p0,ppo_cont,Walker2d-v4,1,100,1,vanilla,friction_1p0,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1.3,1.0,0.8,2518.14968101607,1566.726068919095,2009.9149499636053,2157.8887447668462,101.04169766585323,9351.132234062863
1771813153,s1_tv_friction_1p0,ppo_cont,Walker2d-v4,1,100,1,tv,friction_1p0,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1.3,1.0,0.8,2966.324627968607,1903.276631506381,2446.0777443026473,2555.402020570225,293.60967067631884,9615.935032627005
1771813211,s1_vanilla_friction_1p1,ppo_cont,Walker2d-v4,1,100,1,vanilla,friction_1p1,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1.3,1.1,0.8,2668.7996505519313,1554.5611602468703,2346.5279476580395,2378.398455744461,294.98795488625876,10355.32870814108
1771813265,s1_tv_friction_1p1,ppo_cont,Walker2d-v4,1,100,1,tv,friction_1p1,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1.3,1.1,0.8,2440.3292560024875,1227.0391037136847,2097.366433766145,2202.8227758144335,961.8528118792207,8255.418461287478
1771813312,s1_vanilla_friction_1p2,ppo_cont,Walker2d-v4,1,100,1,vanilla,friction_1p2,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1.3,1.2,0.8,2062.9401196088647,1021.5883296961598,1808.0439935455179,1803.7175420218382,925.1227028545961,6964.671218470271
1771813361,s1_tv_friction_1p2,ppo_cont,Walker2d-v4,1,100,1,tv,friction_1p2,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1.3,1.2,0.8,2187.7227914836953,1043.7927958116638,1948.749604302688,1990.8353779834406,333.52070293493506,5706.390517902759
1771813405,s1_vanilla_friction_1p3,ppo_cont,Walker2d-v4,1,100,1,vanilla,friction_1p3,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1.3,1.3,0.8,1881.0241500917814,884.0203132681781,1600.550114304609,1654.3078377350614,869.9098134778005,5385.8595669637325
1771813446,s1_tv_friction_1p3,ppo_cont,Walker2d-v4,1,100,1,tv,friction_1p3,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1.3,1.3,0.8,1791.5611969076472,754.4049087431661,1565.4095935747355,1595.3041384167905,833.0097192002056,4214.037626854475
