timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,xml_body_mass_scale,xml_geom_friction_scale,xml_joint_damping_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return
1772986803,coarse_s3_tv_p95_nominal,ppo_cont,Walker2d-v4,3,100,0,tv_p95,nominal,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,2907.400584168072,1726.2529795217856,3124.005865062725,3067.369175717315,424.2578037161281,4822.773809116254
1772986865,coarse_s3_tv_p95_damping_0p5,ppo_cont,Walker2d-v4,3,100,1,tv_p95,damping_0p5,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.5,3146.639670490406,1602.328640525582,3592.3508425561313,3434.55150869674,373.95090931557377,4842.929949382493
1772986929,coarse_s3_tv_p95_damping_0p6,ppo_cont,Walker2d-v4,3,100,1,tv_p95,damping_0p6,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.6,3268.156010949177,1608.9469921684035,4082.138912348628,3672.6746660358845,434.0397485936715,4875.90452463447
1772986992,coarse_s3_tv_p95_damping_0p7,ppo_cont,Walker2d-v4,3,100,1,tv_p95,damping_0p7,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.7,3184.5849902890263,1663.5042108972996,3990.8299626119524,3575.3561029073403,444.3748022607917,4846.720356529888
1772987056,coarse_s3_tv_p95_damping_0p8,ppo_cont,Walker2d-v4,3,100,1,tv_p95,damping_0p8,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.8,3263.6400359780773,1625.214075303255,4113.0638811915105,3677.114603009641,389.3830562761228,4835.261685823134
1772987120,coarse_s3_tv_p95_damping_0p9,ppo_cont,Walker2d-v4,3,100,1,tv_p95,damping_0p9,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.9,3231.9721490803663,1660.4876905899282,4309.087634029837,3656.0361721181966,398.9594163349177,4813.391571271324
1772987179,coarse_s3_tv_p95_damping_1p1,ppo_cont,Walker2d-v4,3,100,1,tv_p95,damping_1p1,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.1,2963.5363041467817,1737.7698956550214,3538.56337334418,3190.9763254069117,402.306236000498,4835.3571068457095
1772987247,coarse_s3_tv_p95_damping_1p3,ppo_cont,Walker2d-v4,3,100,1,tv_p95,damping_1p3,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.3,3491.700985597489,1518.8179356761755,4529.238259505789,4035.1690620964596,404.25752521355844,4878.376726140277
1772987311,coarse_s3_tv_p95_damping_1p5,ppo_cont,Walker2d-v4,3,100,1,tv_p95,damping_1p5,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.5,3309.9920446696847,1666.5499793417982,4530.729300219578,3797.9285911136494,429.6770537302943,4854.350514897628
1772987374,coarse_s3_tv_p95_damping_1p7,ppo_cont,Walker2d-v4,3,100,1,tv_p95,damping_1p7,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model,/home/users/am1015/rl_runs_pctcap_phase1/Walker2d-v4__ppo_cont_tv_pctcap_p95__3__1772250901/ppo_cont_tv_pctcap_p95.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.7,3116.3324438344866,1627.9827813713716,3865.6897037307426,3432.6726403494627,469.5991130665317,4866.930134609814
