scenario_label,n,gain_mean,gain_mean_ci95,gain_median,gain_median_ci95,gain_iqm,gain_iqm_ci95
nominal->friction_0p5,5,-48.96307767828807,96.09205093552909,-55.03609520352761,121.31426381182804,-66.78411691818519,68.90543300242238
nominal->friction_0p6,5,-30.701808348217764,59.57645990750604,-48.83482679523795,94.57214662992624,-53.13503869546457,20.398772652678268
nominal->friction_0p7,5,13.860512641011246,142.3166815620094,30.3550480363549,255.69427305546904,20.164979289507908,152.16442530939727
nominal->friction_0p8,5,-149.96572334328252,140.38153243678778,-165.5865322776521,230.05509542512513,-161.89237719018834,157.84727612244794
nominal->friction_0p9,5,19.30880565091702,131.40486137146132,136.55015745409665,156.34604896084204,16.917236591128887,99.02826250568224
nominal->friction_1p1,5,-70.16549821598201,154.83465488238267,-82.07485328127896,297.5193966044708,-72.68241910669606,182.94139587894898
nominal->friction_1p3,5,-37.6500057217796,137.42416941552855,-59.55320986118723,116.81722482891645,-59.510471651911224,122.39649328868784
nominal->friction_1p5,5,-76.68766339154313,160.05559300070954,-2.5718927470437847,193.16158469458298,-120.5284516254676,118.09656190395778
nominal->friction_1p7,5,-34.41395023862246,77.05696832796473,-63.95426946175576,82.19888083850704,-37.57638901868654,82.92767352591771
nominal->friction_2p0,5,-57.55850491899746,69.24608159264473,-61.8882264069995,101.39459281719232,-57.742433663235865,73.90441013108767
