kind,model_label,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95
group,tv,friction_1p0,5,8303.966890387315,7497.0505859840005,5028.742787971615,3363.711082428932,5751.242386532501,4387.028368450744
group,tv,friction_1p1,5,5485.938196135269,3265.0434438785483,4082.6703339792816,1970.230476462778,4317.392573642451,2217.010621939977
group,tv,friction_1p2,5,3784.7090092953413,2140.318785592901,3146.6567314676045,1715.0449084032487,3203.515079844982,1628.1964278699802
group,tv,friction_1p3,5,99234.31468831157,188553.32352229685,2020.8397223539444,1657.13348010978,2187.4812364965264,1618.9401332552968
group,tv,nominal,5,3204.812274412094,748.0284687563081,3393.124124668432,930.7950284253338,3379.9410481158675,902.7782185426653
group,vanilla,friction_1p0,5,7656.57826435726,7317.819388636708,5015.277638029724,3964.080943747461,5482.380287652943,4564.204579365667
group,vanilla,friction_1p1,5,5568.569100231973,3124.3617071777912,4136.790253489491,2111.0187571607726,4284.858603356321,2124.026088585812
group,vanilla,friction_1p2,5,3909.615030752169,2382.2473836414797,3042.4500340599147,1568.1725247083125,3240.659704363678,1742.7944324974628
group,vanilla,friction_1p3,5,115261.71221667719,219810.6044973183,2155.286506651451,1750.9059811644152,2336.3907878978903,1809.8508808541349
group,vanilla,nominal,5,3220.5732941017177,733.5198110989196,3376.6731506996634,957.9490260819077,3364.984281098083,895.175352215798
drop,tv,nominal->friction_1p0,5,-5099.1546159752215,6850.318434012904,-1635.6186633031825,2648.02399097513,-1.2811656804252791,1.5134026834996734
drop,vanilla,nominal->friction_1p0,5,-4436.0049702555425,6696.298481935932,-1638.6044873300605,3281.7321535553997,-1.0789327672233235,1.506015355458616
gain,vanilla_vs_tv,nominal->friction_1p0,5,663.1496457196788,557.9977159284147,-2.9858240268780265,829.5981047275544,nan,nan
drop,tv,nominal->friction_1p1,5,-2281.1259217231755,2775.563577914632,-689.5462093108492,1249.515359365154,-0.6202828657368713,0.7489788440103508
drop,vanilla,nominal->friction_1p1,5,-2347.9958061302546,2513.790590383056,-760.117102789827,1369.028479540099,-0.6210043529167282,0.6356046721958712
gain,vanilla_vs_tv,nominal->friction_1p1,5,-66.86988440707937,696.4539234970916,-70.57089347897764,544.918389449236,nan,nan
drop,tv,nominal->friction_1p2,5,-579.8967348832468,1986.5761975242192,246.46739320082807,1451.1626967372904,-0.17305790785268543,0.5380356837931135
drop,vanilla,nominal->friction_1p2,5,-689.0417366504518,2205.7806101352617,334.22311663974847,1355.708194520558,-0.1965906818031793,0.5871823167168092
gain,vanilla_vs_tv,nominal->friction_1p2,5,-109.14500176720485,322.47460200840607,87.7557234389204,287.6341164928031,nan,nan
drop,tv,nominal->friction_1p3,5,-96029.50241389949,188662.38699078126,1372.2844023144883,1471.7059480183707,-32.21780216477579,63.27885612064075
drop,vanilla,nominal->friction_1p3,5,-112041.13892257547,219981.67949424498,1221.386644048212,1539.047272732263,-39.04140667721059,76.64560206045414
gain,vanilla_vs_tv,nominal->friction_1p3,5,-16011.636508675972,31319.822905943634,-150.89775826627616,182.44930723956583,nan,nan
