model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a1e9,action_replace,0.0,action_replace_0,5,2881.134478992367,409.39713821446867,3150.392764967392,715.0175248166327,3037.6555502658875,556.127306269904,2811.5090217828474
a1e9,action_replace,0.05,action_replace_0p05,5,1052.9247195372793,204.01550264395593,948.978869380159,194.85516499651231,957.8023565983491,204.47702796339058,1037.2703434519738
a1e9,action_replace,0.1,action_replace_0p1,5,679.5469930811084,155.59420731007944,653.6935883785976,171.11511520721004,635.6921493591881,174.6075610463726,656.380400552521
a1e9,action_replace,0.15,action_replace_0p15,5,543.8233814395487,105.85801341621253,508.1695823582052,98.12131848195158,510.2034122364519,93.07683152410183,575.0458104490227
a1e9,action_replace,0.2,action_replace_0p2,5,488.35178910296656,139.5140394931732,450.6491797959026,125.06996917300732,463.03912363584186,120.27568084575861,481.28039446939755
a1e9,action_replace,0.25,action_replace_0p25,5,399.2511922718387,38.38535044055856,378.0716746754066,30.25166214359899,379.21083093062305,32.16332737111092,410.4301089350078
a1e9,action_replace,0.3,action_replace_0p3,5,375.44724599212213,50.965304019846684,383.77944090648776,57.75364873859731,383.56507895428825,50.855190631957335,389.8151614834207
a1e9,action_replace,0.35,action_replace_0p35,5,351.8930680300224,40.482843401329184,345.7329430138469,42.403460820696885,352.4022778252377,38.557999209341865,361.55544050380416
a1e9,action_replace,0.4,action_replace_0p4,5,282.7633739364105,39.78672712657948,294.8844967474703,25.885241462101888,284.35874576125974,38.4448030031078,301.40885361596565
a1e9,action_replace,0.45,action_replace_0p45,5,276.5784226751695,48.99136417766208,281.4176587985213,37.178102494879845,279.4953767777442,43.01876924687528,288.98952203509094
a1e9,action_replace,0.5,action_replace_0p5,5,243.31169884061774,39.606623066234974,240.83316493225084,43.62393039752716,238.87157622331262,43.19961843225449,252.35654910063667
a2p85,action_replace,0.0,action_replace_0,5,2067.67921328908,866.910028488716,2231.6334550677448,1132.4798746392062,2121.9025608480633,981.1047206342516,2147.9254284966646
a2p85,action_replace,0.05,action_replace_0p05,5,966.074225063978,361.36302640695425,940.5806702189944,372.9740864460239,925.451185151838,345.394787102545,957.8415105409855
