model_label,axis,factor,scenario_label,n,drop_mean_return_mean,drop_mean_return_ci95,drop_median_return_mean,drop_median_return_ci95,drop_iqm_return_mean,drop_iqm_return_ci95,rel_drop_mean_return_mean,rel_drop_mean_return_ci95
a2p85,action_replace,0.0,action_replace_0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p85,action_replace,0.05,action_replace_0p05,5,1101.604988225102,634.791344300093,1291.0527848487504,808.154811379251,1196.451375696225,714.2049985262021,0.48929166530977125,0.15630518732175236
a2p85,action_replace,0.1,action_replace_0p1,5,1402.869877090909,795.6852520176674,1609.345158713672,1062.5682345946448,1501.304200068474,910.6330636121481,0.61802850117566,0.16761781681493967
a2p85,action_replace,0.15,action_replace_0p15,5,1553.367865297083,830.202153185579,1743.460108444576,1082.0586648864642,1624.7738557227028,936.952952409832,0.6988148704641008,0.1415347112973369
a2p85,action_replace,0.2,action_replace_0p2,5,1616.714560024287,807.4974642571598,1789.0593020381916,1058.5176729341113,1668.0435795658966,914.7725169718594,0.7400101135508035,0.10346747816929219
a2p85,action_replace,0.25,action_replace_0p25,5,1708.0163383805968,847.6754109361153,1860.9292602739984,1105.0145793548975,1748.4706637282627,956.224541575743,0.7853451570460722,0.09904034708929087
a2p85,action_replace,0.3,action_replace_0p3,5,1729.8031548667884,821.6737150391597,1899.3184799205096,1095.619314785444,1791.158267514791,939.5795788521149,0.8087751673886651,0.0695017029924157
a2p85,action_replace,0.35,action_replace_0p35,5,1768.4411209952154,828.6046625115814,1925.2091319706542,1089.821082466494,1813.5235290220112,938.7534102265076,0.8300276869343639,0.07046776452443622
a2p85,action_replace,0.4,action_replace_0p4,5,1812.2459688046633,800.4999744047135,1975.699608877679,1034.0869884030499,1869.8427208350429,893.6952391522241,0.8651225476880156,0.04404611909509193
a2p85,action_replace,0.45,action_replace_0p45,5,1834.8852208395158,821.9076081473446,1999.5116181786216,1072.917156838869,1886.597182393744,924.1256960762593,0.8756175641305829,0.06725328240816855
a2p85,action_replace,0.5,action_replace_0p5,5,1903.5388809773867,813.7716502355315,2068.924435655702,1082.3894991822672,1963.9191330743204,924.7990144770491,0.9177739709149744,0.02353462338782367
a2p95,action_replace,0.0,action_replace_0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p95,action_replace,0.05,action_replace_0p05,5,1715.289806799518,730.6469330833635,2174.489614947018,960.1795212207512,2019.0673711932977,901.8796781318872,0.5638545162144903,0.127283525380378
a2p95,action_replace,0.1,action_replace_0p1,5,2249.4917010164477,872.9802362574909,2597.8496767425136,1115.5234261530597,2430.7289846715153,1052.333752074845,0.7531982529494986,0.10678421674338008
a2p95,action_replace,0.15,action_replace_0p15,5,2406.2807559935495,875.7383601534627,2710.2551015078607,1106.6450757654773,2558.5344216506815,1031.965000250757,0.8160756204922759,0.0770828415657922
a2p95,action_replace,0.2,action_replace_0p2,5,2435.89496989666,875.9382882481603,2727.730781203011,1111.881122223987,2579.947766903021,1045.1740099410383,0.8276696332732143,0.07477199182173568
a2p95,action_replace,0.25,action_replace_0p25,5,2466.914506950439,908.9918659289991,2765.1046161789136,1134.0424695036438,2616.462668840558,1063.9822670982462,0.8343737457520193,0.08583184718245603
a2p95,action_replace,0.3,action_replace_0p3,5,2551.0220808532163,862.5180344261186,2828.166401910547,1090.9540339495477,2687.446173824856,1005.3732078572596,0.8781399297151982,0.036729823329217946
