baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a2p85,action_replace,0.0,action_replace_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p85,action_replace,0.05,action_replace_0p05,5,306.5991722313712,1232.0254893275626,426.3197298539,1944.2172665594715,454.71625857994076,1705.408925531956
vanilla,a2p85,action_replace,0.1,action_replace_0p1,5,449.32530335451054,1414.1384602266016,488.37023989632814,2129.2571534928948,520.8314246908154,1856.8466642996602
vanilla,a2p85,action_replace,0.15,action_replace_0p15,5,480.2253608459543,1338.7841527411485,517.4348529636889,2074.170413121532,565.1672827021764,1783.6947426513507
vanilla,a2p85,action_replace,0.2,action_replace_0p2,5,541.5477929924994,1358.9534740213012,546.2207173029766,2068.8334083272753,604.4203942246314,1792.4706165717043
vanilla,a2p85,action_replace,0.25,action_replace_0p25,5,447.2164939832055,1364.2383670542617,496.4946924537195,2068.190266468501,535.0733055801603,1786.9637707490995
vanilla,a2p85,action_replace,0.3,action_replace_0p3,5,487.2895842661743,1356.594057304872,484.55735590322473,2069.6723263720232,527.5015398130652,1780.1847677329233
vanilla,a2p85,action_replace,0.35,action_replace_0p35,5,502.6609535919253,1334.61062310729,510.91360516023286,2040.469670866982,568.9818425744556,1756.9959283379121
vanilla,a2p85,action_replace,0.4,action_replace_0p4,5,496.02202255854417,1316.7344032132778,486.9142067761007,1999.2918636198171,545.1342206178658,1730.6357359962644
vanilla,a2p85,action_replace,0.45,action_replace_0p45,5,481.3909911510051,1302.8131835060776,470.6853721949402,1994.5426461672314,533.4219411786543,1717.9907216395768
vanilla,a2p85,action_replace,0.5,action_replace_0p5,5,469.6534206508437,1316.2662569476397,463.0454366660222,2048.1742919008207,512.7850830700698,1752.0884656748397
vanilla,a2p95,action_replace,0.0,action_replace_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p95,action_replace,0.05,action_replace_0p05,5,-307.0856463430445,1287.5217490753498,-457.1171002443674,2181.054484626853,-367.89973691713186,1853.9220359034446
vanilla,a2p95,action_replace,0.1,action_replace_0p1,5,-397.2965205710284,1413.0038037163374,-500.1342781325132,2241.08460732867,-408.593359912226,1922.1014976519577
vanilla,a2p95,action_replace,0.15,action_replace_0p15,5,-372.6875298505123,1333.8971022296782,-449.36014009959547,2183.3722409181532,-368.5932832258023,1832.798245435633
vanilla,a2p95,action_replace,0.2,action_replace_0p2,5,-277.6326168798734,1327.5176287264937,-392.45076186184264,2168.655299197586,-307.4837931124931,1830.986602658213
vanilla,a2p95,action_replace,0.25,action_replace_0p25,5,-311.6816745866365,1341.150616769824,-407.6806634511964,2166.4161301093927,-332.91869953213495,1825.7722966884774
vanilla,a2p95,action_replace,0.3,action_replace_0p3,5,-333.9293417202533,1298.8492070645063,-444.290566086812,2120.457805799446,-368.7863664969998,1761.072235975707
vanilla,a2p95,action_replace,0.35,action_replace_0p35,5,-296.20424524313734,1299.1658759454047,-407.4754050516737,2126.69232139673,-315.84348867211924,1776.582571864645
vanilla,a2p95,action_replace,0.4,action_replace_0p4,5,-284.8233607260464,1264.553407330645,-400.2322445131263,2079.3346217544345,-304.57292771936665,1741.85670032334
vanilla,a2p95,action_replace,0.45,action_replace_0p45,5,-319.8907704309068,1280.5149178114511,-435.93411708948196,2113.0893915093234,-341.44513016835015,1767.2999213288622
vanilla,a2p95,action_replace,0.5,action_replace_0p5,5,-297.5106822062717,1291.4530783004545,-440.4131765342371,2128.684236224753,-345.2469949970622,1777.9779477604343
vanilla,a3p00,action_replace,0.0,action_replace_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p00,action_replace,0.05,action_replace_0p05,5,-109.82832048931009,543.6122075624115,-289.18125162132395,1110.5395962486127,-205.73000610184812,897.9896744874005
vanilla,a3p00,action_replace,0.1,action_replace_0p1,5,-132.81916237298327,641.4577965618794,-228.51432778705603,1151.405498975679,-225.66229447866272,1026.3527075740822
vanilla,a3p00,action_replace,0.15,action_replace_0p15,5,-11.519188295933054,581.2572771456421,-77.00585125891034,1107.7392949614882,-74.49339157434835,948.444619615692
vanilla,a3p00,action_replace,0.2,action_replace_0p2,5,-16.947697096660523,562.7197980176761,-172.9304635503789,1063.2509451829023,-151.49080156088226,919.7026263132841
vanilla,a3p00,action_replace,0.25,action_replace_0p25,5,-81.8468336713001,527.9058767917902,-176.55816841207678,1008.5554083107832,-181.11409061074127,857.6796944043423
vanilla,a3p00,action_replace,0.3,action_replace_0p3,5,-59.383154646450386,536.1537547706372,-169.84569548610074,1017.4392486890745,-167.32597229956272,883.2500451519215
vanilla,a3p00,action_replace,0.35,action_replace_0p35,5,-63.73479438036302,553.178506240843,-154.55066550018051,1033.8510142640675,-145.49698283920156,899.2866850059302
vanilla,a3p00,action_replace,0.4,action_replace_0p4,5,-72.79165465154475,542.870230478748,-180.72508520103565,1006.6023419242623,-159.5778007713956,881.2682259030585
vanilla,a3p00,action_replace,0.45,action_replace_0p45,5,-94.9412659665904,488.7909948499372,-197.06243895834535,993.5705147780669,-182.9645717908872,856.0871282732038
vanilla,a3p00,action_replace,0.5,action_replace_0p5,5,-88.7883647425048,517.3132783371506,-214.96236331472664,1022.3417456391841,-201.32601169602958,870.4127139681556
vanilla,a3p05,action_replace,0.0,action_replace_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p05,action_replace,0.05,action_replace_0p05,5,-93.66394189016896,1149.294936700339,-214.40991383890733,2071.461859106233,-115.89447850928408,1739.7671421052607
vanilla,a3p05,action_replace,0.1,action_replace_0p1,5,-273.4021636367364,1146.1648774357009,-301.0666147379143,2039.5601383061971,-296.2725840989112,1715.9774855466103
vanilla,a3p05,action_replace,0.15,action_replace_0p15,5,-224.83897454368966,1118.7612214233825,-250.69986156334494,1959.91665387549,-237.48600605029878,1650.4650534451362
vanilla,a3p05,action_replace,0.2,action_replace_0p2,5,-256.1994797629607,1146.84476640042,-308.40901264878164,1959.5542692473127,-297.57258548728805,1672.050434410536
vanilla,a3p05,action_replace,0.25,action_replace_0p25,5,-304.67295171381113,1129.0223278249935,-317.7325608288712,1933.2211693517738,-329.4290644773886,1653.269448435452
vanilla,a3p05,action_replace,0.3,action_replace_0p3,5,-296.86788543124464,1147.9819660931369,-333.3302767183483,1951.6055248066577,-326.3346051435852,1662.0589538944475
vanilla,a3p05,action_replace,0.35,action_replace_0p35,5,-303.1738958400416,1151.759605581855,-330.40998074147046,1958.3367963418625,-316.46842853725525,1666.134796700033
vanilla,a3p05,action_replace,0.4,action_replace_0p4,5,-283.34315199119334,1131.0335216437406,-326.074489867399,1917.0795942930883,-312.2028502089407,1645.0701328053976
vanilla,a3p05,action_replace,0.45,action_replace_0p45,5,-321.21133404994276,1116.8102967210345,-363.64950854322814,1894.9506441447954,-351.39371872570246,1623.5746182744083
vanilla,a3p05,action_replace,0.5,action_replace_0p5,5,-296.96237056063785,1161.6336411128675,-326.2000791481049,1972.1746729764425,-343.10261445466773,1691.1623219903936
vanilla,a3p10,action_replace,0.0,action_replace_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p10,action_replace,0.05,action_replace_0p05,5,-340.2091596553488,888.5754959747198,-537.4942706997981,1478.9043044872715,-514.7175162184732,1240.0667049240358
vanilla,a3p10,action_replace,0.1,action_replace_0p1,5,-293.822853128928,811.8999044921665,-503.2121162913175,1415.2128407651321,-472.25138832316327,1127.5348628053766
vanilla,a3p10,action_replace,0.15,action_replace_0p15,5,-385.9217344859879,666.5506687182042,-531.9404336645533,1233.2919234767276,-518.6788950392882,955.4139735886707
vanilla,a3p10,action_replace,0.2,action_replace_0p2,5,-355.0844406644384,664.4323480322805,-540.0640779802634,1231.6708292719318,-517.8348855985337,967.8005833842219
vanilla,a3p10,action_replace,0.25,action_replace_0p25,5,-443.4176162290124,567.571752208331,-546.5108080156931,1196.3219438247081,-560.4272705528075,875.6802872254129
vanilla,a3p10,action_replace,0.3,action_replace_0p3,5,-402.8940947119662,640.6879020898066,-560.7110952112608,1239.2936464703682,-540.7428428123096,944.1591991868188
vanilla,a3p10,action_replace,0.35,action_replace_0p35,5,-470.37671401486625,590.3309739379844,-588.6395425437837,1202.6752608308573,-587.5638163927762,903.6166060211261
vanilla,a3p10,action_replace,0.4,action_replace_0p4,5,-458.79707997749136,547.3407009277139,-664.2154671743097,1079.6098994773336,-609.0186098077305,846.3822660386803
vanilla,a3p10,action_replace,0.45,action_replace_0p45,5,-480.162609669873,506.0642685122293,-647.0247793853785,1080.7871428435158,-627.4741924541081,809.3162504472266
vanilla,a3p10,action_replace,0.5,action_replace_0p5,5,-490.32062852301124,537.0891058094219,-663.92433622296,1135.1812048445918,-637.1646046500532,852.6058594922733
vanilla,a3p20,action_replace,0.0,action_replace_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p20,action_replace,0.05,action_replace_0p05,5,78.25814851635437,846.3145549692798,220.96044092247809,1374.134481710354,233.20676778729944,1212.151177697115
vanilla,a3p20,action_replace,0.1,action_replace_0p1,5,276.9622731759721,918.8679709599221,405.4994506324732,1466.7580441470886,396.71842026949787,1266.5079469984344
vanilla,a3p20,action_replace,0.15,action_replace_0p15,5,303.49555284047085,879.3519853355539,419.27920633368814,1401.6921323671363,417.9749286324112,1201.907289609539
vanilla,a3p20,action_replace,0.2,action_replace_0p2,5,390.2640395800463,941.5963267792097,456.4966069419114,1384.7203225140283,464.5572628993811,1223.4964732608073
