model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a1e9,action_noise,0.05,action_noise_0p05,5,2716.417876909338,400.3399390868232,2794.3403621950783,694.9725659609778,2806.5228807152967,622.3940629226132,2764.985345678337
a1e9,action_noise,0.1,action_noise_0p1,5,2508.784725348823,448.8013108885234,2569.9290510601686,918.4491498748579,2549.972759969628,739.4025302932662,2426.5217405033404
a1e9,action_noise,0.2,action_noise_0p2,5,2457.668903056685,380.1010867303426,2616.2646009705954,627.2591526831229,2498.938854093628,523.6442781676003,2442.1133371301053
a1e9,action_noise,0.3,action_noise_0p3,5,1960.1179608795997,330.6150011468205,1757.1787177526548,457.2655716647159,1807.5809434361938,410.0584914645875,1881.543155436844
a1e9,action_noise,0.5,action_noise_0p5,5,1191.722993925731,416.1379520918673,1071.6608361133008,363.18619519017597,1087.765050728915,381.8973542414296,1169.5754128713668
a2p85,action_noise,0.05,action_noise_0p05,5,2214.541597645996,1103.049141403032,2263.0403226214316,1269.5563239403327,2270.307629741869,1252.2574484038514,2105.52114121906
a2p85,action_noise,0.1,action_noise_0p1,5,1983.84658298041,973.9256372227798,2033.5471357904275,1184.725925919989,2029.08020881318,1138.436361298379,1830.6185597697913
a2p85,action_noise,0.2,action_noise_0p2,5,1912.897312321175,903.5540771775634,1998.1634992516429,1171.1809417857294,1949.9123200158533,1071.7582579433092,1781.8207309291386
a2p85,action_noise,0.3,action_noise_0p3,5,1684.7294794014604,783.3352026559553,1786.1157937240514,1102.9437766370943,1704.541035873773,934.152913824479,1542.697798543137
a2p85,action_noise,0.5,action_noise_0p5,5,1187.501433261517,513.4373250496595,1047.4669376403995,365.6636594705068,1081.2060473178246,397.4981073711299,1055.1012166805874
a2p95,action_noise,0.05,action_noise_0p05,5,3019.319645571454,938.4170022270016,3293.9959237139374,1142.300039172228,3241.8742620154685,1104.9848101866842,3195.934261481725
a2p95,action_noise,0.1,action_noise_0p1,5,2882.9500293957703,766.7849919877355,3278.054856697684,1153.5139133336452,3113.244115106897,983.5920664133789,3018.720612037069
a2p95,action_noise,0.2,action_noise_0p2,5,2581.6575142964875,712.7332960916069,2751.8919512406333,907.4402130599426,2674.546999375205,859.29186876692,2748.1211356911276
a2p95,action_noise,0.3,action_noise_0p3,5,2214.8474619820413,782.0892992275813,2259.065212593896,885.835592321693,2230.3254567732574,881.6307319181873,2196.09935533657
a2p95,action_noise,0.5,action_noise_0p5,5,1195.3385811187711,125.77779711159174,873.9148302988751,164.54882328072694,970.1914581083893,107.31153753304721,1156.222780606294
