axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
friction_damping,vanilla,2808.395855228266,695.5694647725139,0.0,0.0,0,0
friction_damping,a1e9,2767.062848233226,430.60717343207085,34.63450015857705,337.6635922192278,5,6
friction_damping,a2p85,2149.047234889439,1044.809450870318,130.74159250810635,648.2864814946287,3,6
friction_damping,a2p95,2912.8486129647617,828.2660914190909,361.4361007908713,869.2084562503533,5,6
friction_damping,a3p00,2778.0418917994566,370.67838192843845,-26.687776369081707,927.5225279502488,3,6
friction_damping,a3p05,2760.3227328509815,750.421601399124,-30.649867241857738,652.2197989477304,3,6
friction_damping,a3p10,2799.0642337711274,245.44420759195336,466.4537411640917,758.5820448165192,5,6
friction_damping,a3p20,2200.357192095404,866.770276232143,164.05979685421482,742.6965422431575,5,6
friction_damping,a3p50,2435.858612303691,983.5467005881399,56.92812110277072,558.2358625753769,3,6
friction_damping,a3p70,2458.5452940946648,677.152772098753,202.05825604497576,923.9673753309048,5,6
friction_damping,a4p00,2803.8450533220207,513.4850989196495,212.27098141073475,730.8228313907192,4,6
friction_mass,vanilla,2915.786114579884,530.8341050320554,0.0,0.0,0,0
friction_mass,a1e9,2856.610260250286,707.2015684616729,15.954390452557808,368.0143757580784,4,6
friction_mass,a2p85,2212.5818441671263,1023.5424613346518,191.76804145512972,450.2203382234978,3,6
friction_mass,a2p95,2798.6749901816233,788.886584244768,533.9248531890594,710.8713775077553,5,6
friction_mass,a3p00,2642.1866476298196,580.8096693027715,258.9242906580238,917.6951119260608,6,6
friction_mass,a3p05,2567.568176256095,467.5824695444333,319.3437295837852,582.206619877873,6,6
friction_mass,a3p10,3008.2747219646235,456.76168682600746,349.7869553220373,681.5790260347769,5,6
friction_mass,a3p20,2344.9740404831637,976.7126398011147,166.2835338962259,862.8912315866561,5,6
friction_mass,a3p50,2508.357812242335,855.1569180605378,80.36658092115002,474.93956957968186,3,6
friction_mass,a3p70,2394.359249449483,693.471918681736,347.06342557019633,980.3308301792026,6,6
friction_mass,a4p00,3007.5704689543077,458.35431691520165,56.70420736692492,660.2586093831054,3,6
friction_mass_damping,vanilla,2941.6805842092426,572.0469185822889,0.0,0.0,0,0
friction_mass_damping,a1e9,2805.417222445219,468.10657664915294,177.8870902706639,273.28753076567267,6,6
friction_mass_damping,a2p85,2167.301434523513,976.2700620195972,158.77885794447852,510.3099743254377,4,6
friction_mass_damping,a2p95,2820.390699346715,771.4299710176069,388.5981119227454,688.3338586706474,6,6
friction_mass_damping,a3p00,2705.085659642545,474.748760859409,55.88968404258296,842.0838368488688,3,6
friction_mass_damping,a3p05,2756.5869211953077,594.9586611396587,81.69113676142955,454.70749692295095,4,6
friction_mass_damping,a3p10,3065.345512860437,451.44655161292536,261.51419974875904,455.65076582145656,5,6
friction_mass_damping,a3p20,2231.943532567394,774.8018158982871,238.44226261301017,706.7640887365081,5,6
friction_mass_damping,a3p50,2433.290021880895,744.4330533408613,111.62649746245738,606.31706974597,4,6
friction_mass_damping,a3p70,2619.1276289173193,742.5629597061471,111.32575792952451,818.8216580654101,5,6
friction_mass_damping,a4p00,2736.384939501836,642.4664602444471,273.98380406438787,526.9978906250361,5,6
mass_damping,vanilla,3005.522836592557,589.8039126264213,0.0,0.0,0,0
mass_damping,a1e9,2995.397450422074,602.884001882216,43.42621388828278,449.6971707329689,4,6
mass_damping,a2p85,2197.345278361173,1141.4595538464287,167.81248507155468,484.0843866475149,5,6
mass_damping,a2p95,3084.0793567524656,1022.6709287444849,-23.91172654519851,455.4142420372103,3,6
mass_damping,a3p00,2568.152451010833,313.23537955939,286.0711591782529,440.99493305182364,6,6
mass_damping,a3p05,2943.401273153491,643.9541470114485,-23.055483210022867,300.20263229348507,4,6
mass_damping,a3p10,3001.7221541402423,372.5205611846741,321.3378375412902,453.66026075301943,6,6
mass_damping,a3p20,2189.6663777108743,864.4650951596282,194.9231038631966,308.56856331531816,6,6
mass_damping,a3p50,2438.9135985287735,898.1043318035255,226.70038085126922,520.5505382606871,6,6
mass_damping,a3p70,2545.8260288287806,452.39992488625,385.7832691899296,563.903867308203,6,6
mass_damping,a4p00,2886.775466803182,573.327615477966,204.54667204811008,423.0205810546379,6,6
