baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a1e9,friction_damping,0.5,friction_damping_0p5,5,-56.70911986731367,617.2721222536338,-212.33948079830262,779.3857249552957,-133.56424545362242,649.16034990245
vanilla,a1e9,friction_damping,0.6,friction_damping_0p6,5,99.25577284178162,577.5526483420128,62.55617464124457,916.2197854273888,165.2079087524064,716.6787632476573
vanilla,a1e9,friction_damping,0.7,friction_damping_0p7,5,-116.08981227561685,454.54518326206426,-284.01901518581167,976.9822396767051,-257.66381363364655,620.8372732852137
vanilla,a1e9,friction_damping,0.8,friction_damping_0p8,5,-277.84936549652286,350.0233562140981,-492.2013463839356,635.8865221868509,-349.3234431386592,466.4918418361759
vanilla,a1e9,friction_damping,0.9,friction_damping_0p9,5,134.83956771561338,710.3487958880108,562.4638934465296,1357.902251423142,313.6347533171527,978.8059205852668
vanilla,a1e9,friction_damping,1.0,friction_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a1e9,friction_damping,1.1,friction_damping_1p1,5,91.62249743133142,359.7170814303999,-58.11270701039111,821.187431963677,101.34958909838342,570.4908003276944
vanilla,a1e9,friction_damping,1.3,friction_damping_1p3,5,297.58630920444546,617.950657069345,651.8940940095163,1049.8898277620099,453.124661699302,773.7135564094109
vanilla,a1e9,friction_damping,1.5,friction_damping_1p5,5,-139.515993052586,501.32310824866636,-367.94875357326964,884.4744290260533,-192.90637476931084,610.2740372163345
vanilla,a1e9,friction_damping,1.7,friction_damping_1p7,5,-15.769367795794778,432.98223462605364,-58.781587267520266,610.7929126281433,29.42571512440336,449.48741407077375
vanilla,a1e9,friction_damping,2.0,friction_damping_2,5,11.202729865274069,437.1827121980493,-83.87747883524585,643.8564644241919,3.2610272361872377,499.7819812912566
vanilla,a1e9,friction_mass,0.5,friction_mass_0p5,5,388.2868036473525,282.4398431525979,457.7626395433057,394.53061409897145,378.12782310799986,317.04505639694685
vanilla,a1e9,friction_mass,0.6,friction_mass_0p6,5,174.50189394939784,258.5824751151075,347.99669663170255,455.67108174615345,177.9369980156207,324.33146724046
vanilla,a1e9,friction_mass,0.7,friction_mass_0p7,5,200.23478901797247,559.8641291481598,504.6369472647051,911.2016973030554,192.11984832814073,735.9823956142684
vanilla,a1e9,friction_mass,0.8,friction_mass_0p8,5,112.67434873060407,434.49620664076684,261.0843392088717,542.0314802450619,145.99257853465684,562.0420583856894
vanilla,a1e9,friction_mass,0.9,friction_mass_0p9,5,207.1725356868166,529.3653262362213,153.22332958675443,1118.211065138202,137.79772079392592,786.3462412219735
vanilla,a1e9,friction_mass,1.0,friction_mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a1e9,friction_mass,1.1,friction_mass_1p1,5,365.2869355356248,578.4044707298173,611.4942562349854,858.0129352088775,513.537703797829,685.7499460535971
vanilla,a1e9,friction_mass,1.3,friction_mass_1p3,5,251.18606641189473,356.83313334612365,441.0962061654056,551.2037265930056,313.14901408265433,486.263813987074
vanilla,a1e9,friction_mass,1.5,friction_mass_1p5,5,252.67129613041544,373.7261146710015,441.3761108389972,568.974762713495,313.8506053107959,502.1573039301297
vanilla,a1e9,friction_mass,1.7,friction_mass_1p7,5,259.3792242127521,380.36538420502654,452.70422639255014,575.1021692032253,323.39328812692565,506.8415601673684
vanilla,a1e9,friction_mass,2.0,friction_mass_2,5,252.8431981128568,380.110312403432,445.15025157963265,575.640092221268,317.16552351020744,508.1678870198314
vanilla,a1e9,friction_mass_damping,0.5,friction_mass_damping_0p5,5,144.24770717124866,461.697022003353,182.94308462307603,1007.6223550295325,186.7418857872452,793.114774216968
vanilla,a1e9,friction_mass_damping,0.6,friction_mass_damping_0p6,5,241.25546294225865,309.7480869631592,573.043012760981,448.33094859729766,349.14292229602285,466.46859785609666
vanilla,a1e9,friction_mass_damping,0.7,friction_mass_damping_0p7,5,134.0233638138996,295.2069207320508,368.5386932172335,809.2215013088806,217.78743562129185,539.2133399368338
vanilla,a1e9,friction_mass_damping,0.8,friction_mass_damping_0p8,5,195.4994541771013,593.3075110799158,373.5429221407485,1005.9159359699261,279.34872676089196,900.3132000904667
vanilla,a1e9,friction_mass_damping,0.9,friction_mass_damping_0p9,5,68.95960935639224,514.868645481584,90.24834405496381,1073.340072188792,31.48788442833875,786.9206820671316
vanilla,a1e9,friction_mass_damping,1.0,friction_mass_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0
