model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a1e9,friction_damping,0.7,friction_damping_0p7,5,1387.4017651916943,474.16170228112713,1126.2822191526832,396.1249369945674,1197.4164082701886,413.9541377579687,1378.8701751293138
a1e9,friction_damping,0.8,friction_damping_0p8,5,2105.905211604163,675.6860570518315,1946.9799493829025,891.2144163761305,2008.2509373346038,854.2216025004074,1993.0408587403424
a1e9,friction_damping,0.9,friction_damping_0p9,5,2386.8599868784117,611.9800991038899,2293.150632978023,1031.4020878404124,2372.7802495976257,898.403150007307,2215.413628934339
a1e9,friction_damping,1.0,friction_damping_1,5,2767.062848233226,430.60717343207085,2961.961440583383,793.5057370298665,2909.4470818883688,681.2722436684732,2792.4507704870052
a1e9,friction_damping,1.1,friction_damping_1p1,5,3033.596787477973,384.5472420941504,3355.5151554614467,762.7609011754898,3250.754426472524,549.7241258431618,2976.004987966862
a1e9,friction_damping,1.3,friction_damping_1p3,5,2391.7088070947325,819.034177341715,2376.7905531178462,1214.643859618936,2422.354067582585,1003.1790741573456,2528.2436925877832
a1e9,friction_damping,1.5,friction_damping_1p5,5,1643.8767509936558,589.0311372663449,1519.0009711131504,538.5418786640596,1539.174836148008,576.7242684253073,1684.936240537276
a1e9,friction_mass,0.7,friction_mass_0p7,5,1610.255230784784,660.7520740283973,1518.7236712808085,727.5894167311528,1507.943971917054,677.9061496960176,1625.2475687362075
a1e9,friction_mass,0.8,friction_mass_0p8,5,1769.175025875069,579.627967953045,1511.5897092490636,575.3340274056876,1632.6325189944814,664.9198044038868,1728.7323071885974
a1e9,friction_mass,0.9,friction_mass_0p9,5,2304.540753695899,432.23857629682067,2108.1229081015904,843.1140937943813,2309.8107958200603,689.7156984038966,2234.6017119996773
a1e9,friction_mass,1.0,friction_mass_1,5,2856.610260250286,707.2015684616729,3115.481686162568,1024.3682207625275,3016.8735320899673,942.7035178881088,2775.566752250512
a1e9,friction_mass,1.1,friction_mass_1p1,5,2922.9667357233943,407.4158631141936,3209.915956275695,695.9004023492586,3104.6384627918405,624.2418839875008,2876.4137701201594
a1e9,friction_mass,1.3,friction_mass_1p3,5,2331.520923925679,822.8839336454473,2495.555145890634,1172.305242400897,2430.7084377226142,1063.9201777419685,2507.6145771001693
a1e9,friction_mass,1.5,friction_mass_1p5,5,1650.0920502087142,584.066206695086,1551.1257385460517,524.2196621898448,1573.584439981331,546.5580633731238,1756.5175088070628
a1e9,friction_mass_damping,0.7,friction_mass_damping_0p7,5,1719.4000184136898,686.6652348646962,1383.0969248246515,604.7662402697736,1574.8048730612463,745.34086535561,1719.5145062427384
a1e9,friction_mass_damping,0.8,friction_mass_damping_0p8,5,2001.0904703480205,609.9832373373392,1810.218905280936,776.5306826853629,1907.5972300986737,724.4043601390375,1950.3017260095755
a1e9,friction_mass_damping,0.9,friction_mass_damping_0p9,5,2517.035286700807,561.5224979641137,2705.7530732836967,1060.2362005266887,2576.391171057455,863.2603747038733,2495.7287738706923
a1e9,friction_mass_damping,1.0,friction_mass_damping_1,5,2805.417222445219,468.10657664915294,3030.8421112994524,867.1334134651075,2962.392185233945,682.1302636601378,2827.6784355351515
a1e9,friction_mass_damping,1.1,friction_mass_damping_1p1,5,3049.307105609052,561.8696285945019,3366.9793226077963,870.4908086287052,3306.813832651604,823.1465528272465,3178.900531462829
a1e9,friction_mass_damping,1.3,friction_mass_damping_1p3,5,2534.7438154782362,787.4731994979694,2941.394514457681,1203.7710844703163,2655.889477140055,972.5570170077824,2704.827914166504
a1e9,friction_mass_damping,1.5,friction_mass_damping_1p5,5,1808.4702822111328,697.2858374643112,1751.893397259259,682.0111316932964,1791.6154126637164,712.536859512134,1895.9588173284537
a1e9,mass_damping,0.7,mass_damping_0p7,5,2896.0218229799707,672.9237791597587,3089.609383413922,1023.7495082947507,3055.0184347292316,960.3995873581861,2893.596403314259
a1e9,mass_damping,0.8,mass_damping_0p8,5,2780.565033565007,642.9373254836569,3039.88028658808,1003.2645347660773,2958.848070849713,885.3373407810651,2755.4535518565385
a1e9,mass_damping,0.9,mass_damping_0p9,5,2660.095805182816,348.9790021079013,2512.985533316879,607.3485432354112,2685.2684302655107,489.6692536141754,2679.6978614485247
a1e9,mass_damping,1.0,mass_damping_1,5,2995.397450422074,602.884001882216,3239.899994586632,861.6211527576901,3194.40925428703,823.3735040267447,2912.444590050276
a1e9,mass_damping,1.1,mass_damping_1p1,5,2850.5569180534594,476.19725607549753,2937.185828900652,690.7215996318838,2935.4835584159014,673.5568462989958,2863.1955260600794
a1e9,mass_damping,1.3,mass_damping_1p3,5,2800.9619185967886,502.7964299897184,2861.038224655676,790.0815809518945,2911.7475370381244,707.7610324390628,2689.0030735683235
a1e9,mass_damping,1.5,mass_damping_1p5,5,2808.8771163967326,606.3045308747606,3120.668471538327,970.708395496329,2922.1632734812597,844.0260409735088,2797.534216905213
a2p85,friction_damping,0.7,friction_damping_0p7,5,1450.2833120297869,878.7361200415576,1575.0663178004452,1261.5748860572135,1507.9782363929778,1039.3503211744344,1232.2531231796895
a2p85,friction_damping,0.8,friction_damping_0p8,5,1992.1221903283354,1185.619796268307,1977.679900607022,1241.0741042243112,2022.2028258308987,1250.502013019593,1822.640307567902
a2p85,friction_damping,0.9,friction_damping_0p9,5,1894.4191876033772,1037.8515521556678,1894.7330338383065,1232.4367944984879,1941.1451756240608,1224.7327037730995,1702.3007414929334
a2p85,friction_damping,1.0,friction_damping_1,5,2149.047234889439,1044.809450870318,2269.221339552457,1254.7158223696854,2251.3054417579615,1219.5817715718765,2040.4524419979527
a2p85,friction_damping,1.1,friction_damping_1p1,5,2052.199256619978,892.26965730687,2138.4659648561487,1199.9415800218737,2045.759034355214,1118.6545233230295,1993.0821539425876
a2p85,friction_damping,1.3,friction_damping_1p3,5,1500.2957861826162,867.8520685911765,1471.6629014406992,919.5734705108131,1472.6427723290644,889.3159681939352,1297.6401730302568
a2p85,friction_damping,1.5,friction_damping_1p5,5,928.5784505109962,423.57658217043104,834.1961867100688,281.45525690603205,887.089027870695,390.1013867305932,798.1381241969375
a2p85,friction_mass,0.7,friction_mass_0p7,5,1618.9044242860232,975.5445788640399,1721.0247747306269,1244.434227852912,1664.1722099448482,1134.3251115150042,1428.5749180076837
a2p85,friction_mass,0.8,friction_mass_0p8,5,1937.3229584114074,1070.9103555532222,1990.928830307376,1250.0663944805922,2015.5170514416363,1249.6219271265072,1828.0283797088484
a2p85,friction_mass,0.9,friction_mass_0p9,5,1905.4388198199854,1005.8817109665677,1937.782640069415,1221.0850331940696,1988.3021063629917,1176.4166633697382,1829.6395648913503
a2p85,friction_mass,1.0,friction_mass_1,5,2212.5818441671263,1023.5424613346518,2388.5419804459357,1265.4598062123052,2363.6861573573105,1214.8770863018283,2246.891381136266
a2p85,friction_mass,1.1,friction_mass_1p1,5,2011.0868204617022,872.8464774142913,2163.8179389970487,1139.1610983824307,2122.3475753176153,1057.7389748211172,1967.0008620631706
a2p85,friction_mass,1.3,friction_mass_1p3,5,1403.0846177404587,732.2745644804121,1306.382218059438,683.3112620275015,1335.1435995450909,696.673947412634,1338.0060236619704
a2p85,friction_mass,1.5,friction_mass_1p5,5,903.4244890104352,355.9345153897724,839.1054721880564,289.85879963739217,845.8581856623438,300.4090642318141,838.0558212446972
a2p85,friction_mass_damping,0.7,friction_mass_damping_0p7,5,1662.929051334523,980.3418581227992,1789.252385507129,1275.2662021705605,1754.6583399440874,1205.2702400197816,1525.5489286832333
a2p85,friction_mass_damping,0.8,friction_mass_damping_0p8,5,1823.7019903276655,937.2300938599176,1904.928544734677,1204.323015070656,1860.4878378180642,1149.9384278004738,1722.532021343772
a2p85,friction_mass_damping,0.9,friction_mass_damping_0p9,5,2020.5788674852781,1007.408184650973,2180.9909752143867,1238.4004959591894,2119.9391017552057,1152.7446104833439,2000.8802784627635
a2p85,friction_mass_damping,1.0,friction_mass_damping_1,5,2167.301434523513,976.2700620195972,2286.534808362677,1242.4476402198663,2245.65105800989,1147.2927693638726,2170.4366980800205
a2p85,friction_mass_damping,1.1,friction_mass_damping_1p1,5,2083.1496996175724,1011.7664322429932,2091.636651043772,1258.2179180823032,2089.1780656548954,1195.86909157613,1922.1392934522191
a2p85,friction_mass_damping,1.3,friction_mass_damping_1p3,5,1170.6931963999828,511.73213574211917,1102.291896162988,445.65084502092265,1122.3151359698807,471.12493179672396,1083.872247245846
a2p85,friction_mass_damping,1.5,friction_mass_damping_1p5,5,925.6500521085666,377.7548521715223,766.0011817774132,208.18609320283952,831.9425791080524,267.73403423570005,867.1110852305715
a2p85,mass_damping,0.7,mass_damping_0p7,5,2158.609798835645,958.5714938411552,2317.3774074055646,1187.8027514141509,2293.6986227032276,1137.6198157142637,2165.2699681080667
a2p85,mass_damping,0.8,mass_damping_0p8,5,2211.504960838208,1036.7099063238684,2357.621091882179,1244.719149084601,2337.5439221729584,1233.3894684808738,2181.914118897064
a2p85,mass_damping,0.9,mass_damping_0p9,5,2175.104599784446,917.0313689392158,2145.3884373110855,1212.7878431060215,2224.6643737797535,1188.24249704866,2185.308684723937
a2p85,mass_damping,1.0,mass_damping_1,5,2197.345278361173,1141.4595538464287,2314.559853169008,1274.2299965546397,2265.378041586894,1248.5898212427358,2060.7990070838487
a2p85,mass_damping,1.1,mass_damping_1p1,5,2211.5470744080812,1030.4466551807252,2352.7483272933305,1193.8077050638365,2321.297308260158,1202.9960951787962,2167.305239726356
a2p85,mass_damping,1.3,mass_damping_1p3,5,1985.0340597951101,879.662674569623,2108.6829450562022,1226.2806288441807,2088.951553514239,1073.3850479159794,1979.234686519451
a2p85,mass_damping,1.5,mass_damping_1p5,5,2013.2827158475097,999.8266985438798,2059.137058626781,1196.2108649495608,2093.796043258124,1196.7353854897679,1845.8684655691989
a2p95,friction_damping,0.7,friction_damping_0p7,5,2319.387490896205,909.0692310609505,2399.170318365781,992.4532180217963,2387.668142504935,995.8332718649003,2608.930709912148
a2p95,friction_damping,0.8,friction_damping_0p8,5,2601.9612226542777,931.8882147422283,2985.8465670218316,1229.722338472718,2812.101475505636,1077.377689901807,2872.7333833977286
a2p95,friction_damping,0.9,friction_damping_0p9,5,2687.697109369122,958.7771552245342,2948.944288238935,1334.902939960282,2798.014004363624,1150.2713166682138,2807.5223627609225
a2p95,friction_damping,1.0,friction_damping_1,5,2912.8486129647617,828.2660914190909,3466.2943230545993,1143.0873298028353,3227.0574810272738,1025.4515682510757,3035.938259616734
a2p95,friction_damping,1.1,friction_damping_1p1,5,3085.7862673889676,958.8948681041386,3478.5377499387882,1056.0292409046249,3335.3355222089995,1042.0484472109738,3387.4935184262563
a2p95,friction_damping,1.3,friction_damping_1p3,5,2777.8060732702943,1111.7101372829031,2957.8176818947295,1225.9490900670962,2938.7512418544006,1225.6422082531174,2940.6230342453327
a2p95,friction_damping,1.5,friction_damping_1p5,5,2312.235337844748,1250.7794756044211,2297.3819632096806,1289.2766427864472,2366.232619904363,1324.8916025398391,2371.109776958967
a2p95,friction_mass,0.7,friction_mass_0p7,5,2243.921891050605,869.7237687179971,2154.901880408719,899.1578180317663,2257.4574837488262,924.1236935483521,2524.050290464697
a2p95,friction_mass,0.8,friction_mass_0p8,5,2550.6261688160457,904.3529483704424,2757.5307376723454,1097.9909066201303,2737.0330373223264,1028.5445015523255,2788.939960971004
a2p95,friction_mass,0.9,friction_mass_0p9,5,2676.562522921957,1038.4275222552596,2942.773722515603,1359.810246341854,2907.9778067456277,1302.6390247029135,2760.7572419497287
a2p95,friction_mass,1.0,friction_mass_1,5,2798.6749901816233,788.886584244768,3287.3283171681264,1149.7438122109927,3038.733238623062,1014.1439508222574,3033.869643837783
a2p95,friction_mass,1.1,friction_mass_1p1,5,2966.7847452954898,939.2802346695835,3496.442942350818,1146.3238828756603,3215.100552610074,1090.8541749302929,3266.7117329958346
a2p95,friction_mass,1.3,friction_mass_1p3,5,2568.803662721572,1027.75599500718,2711.982091655335,1158.4903246834633,2696.255932616715,1149.8246928595136,2677.2598203412563
a2p95,friction_mass,1.5,friction_mass_1p5,5,2342.0628854149045,1263.654320237447,2524.703985444379,1409.5379894019086,2485.000892995289,1379.3961228510268,2403.661499668939
