axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
actuator_bias,vanilla,2802.572085502356,595.2758014902417,0.0,0.0,0,0
actuator_bias,a1e9,2599.8268474232746,452.74430774415487,94.83298063111663,422.50658002077944,6,10
actuator_bias,a2p85,2175.1524076249193,995.9842508382901,-178.19062574218577,366.48454619214334,1,10
actuator_bias,a2p95,2993.2063353456747,918.9114522129814,-170.3298234753836,307.34124118819284,1,10
actuator_bias,a3p00,2787.9957292941817,429.2670285104906,-206.5876440821358,294.419828884112,1,10
actuator_bias,a3p05,2688.5659292486393,634.9743775270534,-35.31954269535944,422.8641734415552,4,10
actuator_bias,a3p10,3036.0984608974904,317.02142383929475,-61.450272451359716,504.80522780651916,3,10
actuator_bias,a3p20,2253.9175227710352,837.335931657791,-139.71434965228656,311.01370984367776,1,10
actuator_bias,a3p50,2507.6214997421494,847.3076295822781,-125.29385769566177,385.01279204347196,2,10
actuator_bias,a3p70,2523.7897705512896,488.5178842762232,-20.778768338312823,492.0534317522241,4,10
actuator_bias,a4p00,2919.6246263535786,546.3880649483997,-64.4853246870633,419.9668867588072,6,10
actuator_gain,vanilla,2669.696789771994,604.9283920799029,0.0,0.0,0,0
actuator_gain,a1e9,2657.550860777106,532.6953277871844,-13.270227927382559,562.428226058496,4,10
actuator_gain,a2p85,2275.514362727926,1104.5732936970478,-358.41159667242323,385.35331608515645,0,10
actuator_gain,a2p95,3028.334043728513,799.6976954913282,-337.5707115277709,478.2913563393263,0,10
actuator_gain,a3p00,2718.59385679531,402.24556815974404,-299.7111109837681,474.02363502226115,0,10
actuator_gain,a3p05,2681.9815068519756,564.0105343753911,-222.0250598732875,528.6307833739439,1,10
actuator_gain,a3p10,3034.0045014506063,494.9676684306661,-250.44887203549243,393.1029365988842,1,10
actuator_gain,a3p20,2183.754719605039,760.5725565242728,-196.75404985083122,463.77159489394234,2,10
actuator_gain,a3p50,2555.8767885896837,882.1493214374814,-344.90153298470574,445.59210405089124,0,10
actuator_gain,a3p70,2654.502145324658,708.4670431758253,-342.22692208607435,544.699524630782,0,10
actuator_gain,a4p00,2970.5220375674758,452.2309635051472,-277.80748891834213,622.582773021498,0,10
damping,vanilla,3085.7898343588167,724.1712705269022,0.0,0.0,0,0
damping,a1e9,2812.808033503269,466.03058657733135,165.58063495182392,476.6727226169169,9,10
damping,a2p85,2356.863330737899,1146.433701389692,-28.32412032229069,450.5245791834048,3,10
damping,a2p95,2988.833377595531,1025.1267681645377,72.46630993238395,533.3299883549255,9,10
damping,a3p00,2767.724147265916,405.59161682659413,123.2241099001819,423.25403278488346,9,10
damping,a3p05,2792.296174887674,486.18476286631244,144.6629537057577,325.79989259237806,7,10
damping,a3p10,3002.5926210503303,471.75111726263134,267.79132141520836,512.9257949011283,10,10
damping,a3p20,2221.9721787162575,865.4833264462765,173.92683148184287,377.98598773305275,10,10
damping,a3p50,2499.815354839663,843.2270454522026,142.96739350368378,407.0519974823348,9,10
damping,a3p70,2562.3908661136747,536.4880107705006,207.19629966421115,346.9709406538987,9,10
damping,a4p00,2775.0593640325046,648.3519506065754,350.7644614587374,347.8379380287345,10,10
friction,vanilla,2893.8063002921926,718.9175096429769,0.0,0.0,0,0
friction,a1e9,2877.1761861826008,506.02221953077685,9.48968331999441,373.8866465356625,6,10
friction,a2p85,2124.6714384398315,899.3078122863993,396.8948230478579,1031.1784151396137,7,10
friction,a2p95,2877.717901886891,731.0582977151172,524.8311440132156,812.2892326438416,10,10
friction,a3p00,2735.3538634803685,540.6255372979167,217.00332971811486,1039.318413756046,7,10
friction,a3p05,2646.5155153295063,627.3073836331522,298.20992446345224,875.0659140339445,9,10
friction,a3p10,3054.4387022333854,589.8827806127074,338.3458694088842,714.8042645536237,10,10
friction,a3p20,2135.7377999625414,854.2067824094428,489.5242751066945,708.016164905284,10,10
friction,a3p50,2511.837795558692,869.7243660268699,190.7228804729767,640.5032761174245,7,10
friction,a3p70,2577.0788380239055,543.2631927576234,226.42614119207718,909.6603558738134,10,10
friction,a4p00,2838.742282086661,534.5307526903623,225.4321121574306,803.1653578187538,8,10
mass,vanilla,2617.126868047714,490.32007204158134,0.0,0.0,0,0
mass,a1e9,2933.606222586134,571.9068070079973,-266.6956683841207,448.2636649998755,0,10
mass,a2p85,2193.4691587693133,1008.0686422410018,-298.1208732025331,340.3966104320759,0,10
mass,a2p95,2941.6833025026326,849.955410731032,-321.3257380358117,477.15220907508785,0,10
mass,a3p00,2799.092075281716,477.3432581409369,-364.1696069002047,377.3040880002561,0,10
