baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a1e9,actuator_gain,0.5,actuator_gain_0p5,5,78.695550541406,356.94377543594476,-359.12639132157904,716.4334174476528,-83.25694586058198,578.5999808119898
vanilla,a1e9,actuator_gain,0.6,actuator_gain_0p6,5,74.22095533877737,363.1606370357339,-362.69314667421435,721.515535523859,-89.36280245151389,583.2053488737157
vanilla,a1e9,actuator_gain,0.7,actuator_gain_0p7,5,71.74617897833578,357.5963280317752,-364.22468606867955,715.3126484707192,-90.12605592171954,578.9608580042947
vanilla,a1e9,actuator_gain,0.8,actuator_gain_0p8,5,87.57216392615297,405.454658117021,-381.1585417450575,786.2473607979716,-88.68917487141258,629.891918065819
vanilla,a1e9,actuator_gain,0.9,actuator_gain_0p9,5,3.876671581838764,567.9059864857693,-289.67394023612167,1091.1280308660446,-7.8593543438360935,925.3059724007204
vanilla,a1e9,actuator_gain,1.0,actuator_gain_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a1e9,actuator_gain,1.1,actuator_gain_1p1,5,-56.63999259798798,249.07116252757405,-484.9057821026662,465.0540426740601,-265.5509923507005,398.30965704202174
vanilla,a1e9,actuator_gain,1.3,actuator_gain_1p3,5,-127.71753509783579,594.3657028978864,-649.6038057669773,851.304716925743,-368.7837424523416,732.7975050556464
vanilla,a1e9,actuator_gain,1.5,actuator_gain_1p5,5,42.89769116205957,381.6801855380121,-360.2315413016035,749.0917068109736,-74.4367874469136,564.945946833617
vanilla,a1e9,actuator_gain,1.7,actuator_gain_1p7,5,-135.35119990455945,359.2364999528893,-592.918695857757,827.8743051751355,-268.7989032092225,644.7386431607083
vanilla,a1e9,actuator_gain,2.0,actuator_gain_2,5,29.03265337942762,336.81362927556773,-354.0328910130359,677.3401492118959,-113.36966944632972,558.3319453694369
vanilla,a1e9,damping,0.5,damping_0p5,5,347.30761139132983,401.25061012853223,320.73232069054717,468.1658814461377,273.9074000898773,488.9835620775684
vanilla,a1e9,damping,0.6,damping_0p6,5,99.78951048911503,346.08369242830435,-440.8833599478536,664.282896468086,-224.6709260268317,424.67477888394956
vanilla,a1e9,damping,0.7,damping_0p7,5,170.90801256318073,538.2225028948567,-251.42205670082996,532.8849624209621,-32.668255987580736,598.3916650827198
vanilla,a1e9,damping,0.8,damping_0p8,5,10.598015474634712,551.4845350655171,-154.58866814717007,932.8234503471676,-126.22369870142415,820.249481363467
vanilla,a1e9,damping,0.9,damping_0p9,5,-117.5283029916307,704.1909019393879,-768.655511304858,976.9728019343678,-493.12284660719916,871.902212927241
vanilla,a1e9,damping,1.0,damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a1e9,damping,1.1,damping_1p1,5,298.639336218159,343.7537246235963,32.39396798163025,420.23241233400057,138.4137594780478,418.55133460458507
vanilla,a1e9,damping,1.3,damping_1p3,5,174.5292985319937,614.9927753704512,-269.9298390996934,759.9828312789,-77.03482701742514,679.7513501882755
