axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
foot_left_actuator_gain,vanilla,2684.9886342825143,430.15557615905004,0.0,0.0,0,0
foot_left_actuator_gain,a1e9,2731.6782672462564,664.0997751544681,-38.42929483926639,478.6227168983366,2,10
foot_left_actuator_gain,a2p85,2272.5477047243353,1027.474579012529,280.19427009866985,761.0985551935462,6,10
foot_left_actuator_gain,a2p95,2955.1108738159073,936.83770032558,-353.73603620012886,978.1414804072234,3,10
foot_left_actuator_gain,a3p00,2479.4672122341717,321.21792054782816,402.5483018313563,1223.8114998707083,5,10
foot_left_actuator_gain,a3p05,2665.42810777231,545.087472053467,29.472393352676328,774.9077884261991,7,10
foot_left_actuator_gain,a3p10,3035.0206853875575,470.50707774550233,-42.02120134676887,785.3811094932285,5,10
foot_left_actuator_gain,a3p20,2123.8914501124873,681.4906802025197,542.8796945135316,759.5115327516057,8,10
foot_left_actuator_gain,a3p50,2525.299450642896,1047.814114886046,58.10427045235857,792.5927007616934,5,10
foot_left_actuator_gain,a3p70,2713.2938317076455,674.4944944681698,-143.92319583157175,708.6567321973309,5,10
foot_left_actuator_gain,a4p00,2851.1633210740756,519.918792570198,89.1372964323482,806.2204569263929,7,10
foot_left_damping,vanilla,2914.4366518730703,557.0998230915429,0.0,0.0,0,0
foot_left_damping,a1e9,2857.8817849611632,505.40566160897157,108.51511304153573,318.3394390825874,6,10
foot_left_damping,a2p85,2239.741924875263,1062.7003616892423,-36.67562378928052,264.3469583191694,3,10
foot_left_damping,a2p95,2787.6192926826684,833.7595459252583,164.02579121238085,328.4762844087102,10,10
foot_left_damping,a3p00,2690.054759164279,467.75400135946484,18.78745493412871,404.9932759312523,5,10
foot_left_damping,a3p05,2786.951433613414,655.7043251758694,-28.20204759721134,255.38020945339713,4,10
foot_left_damping,a3p10,3164.3833684068272,435.66924658296745,-64.69529078706795,392.5523526112128,3,10
foot_left_damping,a3p20,2204.2550679989167,873.9939847412539,103.14745635880588,316.7720517765178,6,10
foot_left_damping,a3p50,2507.251234213397,822.0767865730032,57.84895958999086,269.604083426815,6,10
foot_left_damping,a3p70,2514.142978887267,621.6237663519487,183.75430121964962,295.53938913449196,9,10
foot_left_damping,a4p00,3018.543072435441,310.48488607267456,-84.65825663700885,381.1544432525919,2,10
foot_left_friction,vanilla,2875.4694825643955,604.1449011510616,0.0,0.0,0,0
foot_left_friction,a1e9,2658.5620066582837,528.2373886380527,216.73490999682275,509.68268989618457,10,10
foot_left_friction,a2p85,2008.2494073075518,888.1317794659598,507.3982549692175,687.2565806126158,7,10
foot_left_friction,a2p95,2903.7267801627545,765.0537420805766,497.6850942865357,803.7537310185122,10,10
foot_left_friction,a3p00,2870.563535088453,430.2738691656853,219.5016505997177,957.7374924672127,5,10
foot_left_friction,a3p05,2785.750831012169,666.436798154312,178.11849106471777,864.6762254585643,9,10
foot_left_friction,a3p10,3007.965579492819,493.6802878366479,413.7498418758629,462.6883658930151,8,10
foot_left_friction,a3p20,2230.358873691729,811.3563367848315,505.25167835546273,636.9505420247932,10,10
foot_left_friction,a3p50,2523.4843906026217,836.763743802592,226.71753034182925,769.9152874952836,7,10
foot_left_friction,a3p70,2577.03026933699,628.6146017104751,185.2063163839383,971.7541492319369,8,10
foot_left_friction,a4p00,3000.5704678546685,519.9956114955512,79.70784480773952,590.9167468641897,4,10
foot_left_mass,vanilla,3008.086907295329,662.3615210151712,0.0,0.0,0,0
foot_left_mass,a1e9,3100.6956423722013,629.41137382885,-59.28884329001694,285.68962798679615,4,10
foot_left_mass,a2p85,2060.5288711897356,894.9532631479959,650.4361994051802,672.9134002199854,10,10
foot_left_mass,a2p95,2792.9333436286665,819.1118963075133,464.8745544381468,969.8015452266342,9,10
foot_left_mass,a3p00,2722.3143034129403,438.7574345682691,437.44919850013156,909.9139588055426,10,10
foot_left_mass,a3p05,2486.2779465111366,483.96523874037035,693.3177561273847,966.5349533170067,10,10
foot_left_mass,a3p10,3142.119962718848,263.5826799734661,285.593581310772,846.7173811206718,6,10
foot_left_mass,a3p20,2033.0391679359404,858.1145963054489,671.0224567480979,1105.3868491880712,10,10
foot_left_mass,a3p50,2553.5864710068386,921.5600655953242,275.66112960518836,566.1937723893526,9,10
foot_left_mass,a3p70,2505.8677486444326,572.3207892237381,481.2913141502876,1064.8371688070883,10,10
foot_left_mass,a4p00,2832.5983788148765,406.4667501854232,423.2341602297814,813.7354387911098,10,10
leg_left_actuator_gain,vanilla,2965.7300816399606,501.86984658051347,0.0,0.0,0,0
leg_left_actuator_gain,a1e9,3027.8845788078797,370.108990230597,-46.95923686566731,398.0390506133048,4,10
leg_left_actuator_gain,a2p85,2086.6200914717347,903.642618615346,354.3605751568929,554.6727043104381,9,10
leg_left_actuator_gain,a2p95,3160.8472027531743,814.49890109897,-129.6517000597171,874.2369866215813,2,10
leg_left_actuator_gain,a3p00,2498.523874226313,316.94199588787274,436.17735340724414,681.4399210280402,10,10
leg_left_actuator_gain,a3p05,2690.3394122412387,486.7488932881138,133.5603324788621,835.9486636574653,8,10
leg_left_actuator_gain,a3p10,2865.951891917042,457.7141859670748,377.6416146553016,655.7203299592389,10,10
leg_left_actuator_gain,a3p20,2048.3543730314054,782.7346726554281,383.9936438607414,633.5527461867166,9,10
leg_left_actuator_gain,a3p50,2490.148162865954,774.6020315184959,254.9745725795621,517.8713643752099,9,10
leg_left_actuator_gain,a3p70,2521.904911257759,668.9180262201945,379.3226040328465,571.0269583945835,10,10
leg_left_actuator_gain,a4p00,2923.5680838044527,545.0075763188057,306.5498247334816,659.2101146772528,10,10
leg_left_damping,vanilla,2822.126334544392,750.5965822401413,0.0,0.0,0,0
leg_left_damping,a1e9,2905.406420523618,588.208466255123,-99.56151930777864,425.16971101186175,1,10
leg_left_damping,a2p85,2157.2942828868267,993.089268520744,-66.60293182254136,384.32263210288124,4,10
leg_left_damping,a2p95,2725.882810290043,671.1749222365597,212.5690082640342,364.04933214212997,9,10
leg_left_damping,a3p00,2539.6363893492726,304.00551253087684,116.2024950473007,415.4859913719805,8,10
leg_left_damping,a3p05,2759.9511359581315,623.8095172376912,-100.52154614015228,450.45588621769923,2,10
leg_left_damping,a3p10,3201.8456272738435,342.6099741941227,-147.98918176511805,520.5501322131283,1,10
leg_left_damping,a3p20,2173.153303660928,896.0908919716602,66.57155860667544,547.715174023096,5,10
leg_left_damping,a3p50,2439.3574468074203,791.165264026138,43.53465587991367,397.9391062457536,5,10
leg_left_damping,a3p70,2645.3934465405177,631.959869765405,-44.22485894286784,293.0146494969198,4,10
leg_left_damping,a4p00,3062.4637844842123,433.96038746833483,-122.71277879503725,499.05087815651325,2,10
leg_left_mass,vanilla,2954.638943470223,342.68066639691125,0.0,0.0,0,0
leg_left_mass,a1e9,2942.269604753862,473.8717487898559,15.195350661697905,328.70356135343525,6,10
leg_left_mass,a2p85,2116.5042443152556,923.3294319252135,384.20984066366583,459.0786283549248,10,10
leg_left_mass,a2p95,2856.876774080188,905.5221655574804,237.89702584181342,878.1817492543609,9,10
leg_left_mass,a3p00,2561.933934654417,278.60488083219286,404.61294742855415,573.1983608612145,9,10
leg_left_mass,a3p05,2821.1322159716847,784.8798984147362,92.14652434401815,543.8373904211236,8,10
leg_left_mass,a3p10,3187.865740544359,442.1900964947451,79.61259452400319,509.3469848273788,7,10
leg_left_mass,a3p20,2192.4561411132154,813.787427539261,360.690753383044,518.577181931663,9,10
leg_left_mass,a3p50,2496.391657483728,957.8779621227934,312.30788971501505,510.2654214542528,9,10
leg_left_mass,a3p70,2552.0717333027906,688.4532850533828,314.73482054909846,877.2229100291154,8,10
leg_left_mass,a4p00,2977.3715914271934,406.40740517097015,220.20060740132652,517.6351336345889,10,10
thigh_left_actuator_gain,vanilla,2978.76160508561,615.856909445695,0.0,0.0,0,0
thigh_left_actuator_gain,a1e9,2862.6082582386907,602.4502645739652,125.87222831709535,423.4737190832792,8,10
thigh_left_actuator_gain,a2p85,2179.719314224396,1075.7609114039226,11.738929745121492,805.6944615706437,6,10
thigh_left_actuator_gain,a2p95,2740.212242129411,733.4174642285254,-198.69125340284506,1051.2350459002173,4,10
thigh_left_actuator_gain,a3p00,2556.391239284277,372.6123806373303,255.87104629704154,760.7448086652312,10,10
thigh_left_actuator_gain,a3p05,2436.9318271684374,507.7679029587728,337.3213496615293,848.4183377989309,10,10
thigh_left_actuator_gain,a3p10,3140.7522452719886,291.0557025114892,-99.53931944010665,688.865484416491,4,10
thigh_left_actuator_gain,a3p20,2123.5030165292924,841.1622114004639,317.2465626144607,662.5956954616728,10,10
thigh_left_actuator_gain,a3p50,2316.53924427555,896.7102866149838,354.07242366901176,585.8011329399176,10,10
thigh_left_actuator_gain,a3p70,2453.259087065493,645.1319564422115,125.98164033885969,551.9357323714901,9,10
thigh_left_actuator_gain,a4p00,2974.5297229921403,721.2567075763574,76.2027290839009,872.0783877406335,6,10
thigh_left_damping,vanilla,2904.3982397643294,540.6073546479462,0.0,0.0,0,0
