timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,xml_body_mass_scale,xml_geom_friction_scale,xml_joint_damping_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return
1772131982,damping_s1_vanilla_nominal,ppo_cont,Walker2d-v4,1,100,0,vanilla,nominal,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,1998.398863494893,929.6223040160925,1853.030531512878,1869.6706209871156,434.41983989267743,3947.413923300408
1772132039,damping_s1_tv_nominal,ppo_cont,Walker2d-v4,1,100,0,tv,nominal,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,2314.3797188922217,1011.033782572468,2245.5765254591392,2260.760894473682,189.54253739277706,3923.799746718318
1772132097,damping_s1_vanilla_damping_0p5,ppo_cont,Walker2d-v4,1,100,1,vanilla,damping_0p5,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.5,2301.4037604070154,1077.6032912507485,2128.015516641035,2257.343642748726,117.55631054863903,3941.077620048472
1772132157,damping_s1_tv_damping_0p5,ppo_cont,Walker2d-v4,1,100,1,tv,damping_0p5,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.5,2259.4628447790355,994.454087415906,2067.6373120123935,2147.917991410064,250.6757079035032,3882.5851587439493
1772132220,damping_s1_vanilla_damping_0p6,ppo_cont,Walker2d-v4,1,100,1,vanilla,damping_0p6,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.6,2540.2171431433208,994.8338718101028,2625.5419152511,2615.712374617727,793.5134743986397,3985.0788112041387
1772132279,damping_s1_tv_damping_0p6,ppo_cont,Walker2d-v4,1,100,1,tv,damping_0p6,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.6,2333.8888089933844,1054.700380217701,2215.61060489401,2302.2835509419247,267.56626293855066,3959.915440526642
1772132334,damping_s1_vanilla_damping_0p7,ppo_cont,Walker2d-v4,1,100,1,vanilla,damping_0p7,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.7,2212.539006399509,992.1132276454287,2094.4272222569825,2114.270219043132,192.32683505862664,3883.5138775597143
1772132395,damping_s1_tv_damping_0p7,ppo_cont,Walker2d-v4,1,100,1,tv,damping_0p7,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.7,2401.891580672988,1063.2854678210983,2287.539959814054,2404.7788242587644,334.00231252565294,3932.537673490057
1772132449,damping_s1_vanilla_damping_0p8,ppo_cont,Walker2d-v4,1,100,1,vanilla,damping_0p8,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.8,2129.605472030441,983.3206460325032,1959.6379369632657,2004.227259635092,289.09429903003866,3897.4878708673477
1772132502,damping_s1_tv_damping_0p8,ppo_cont,Walker2d-v4,1,100,1,tv,damping_0p8,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.8,2173.245067739331,1016.1572445510415,2038.5235276843032,2061.2120575624854,188.01558147330397,3939.8717095045004
1772132558,damping_s1_vanilla_damping_0p9,ppo_cont,Walker2d-v4,1,100,1,vanilla,damping_0p9,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.9,2245.0731429856683,964.1197388974704,2073.5366180895817,2124.7596742066657,576.2977110611112,3957.529287120433
1772132611,damping_s1_tv_damping_0p9,ppo_cont,Walker2d-v4,1,100,1,tv,damping_0p9,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,0.9,2098.999368810135,1061.7257826182176,1783.0507099301244,1925.6815504988326,230.06055942026933,3914.9752195298756
1772132665,damping_s1_vanilla_damping_1p1,ppo_cont,Walker2d-v4,1,100,1,vanilla,damping_1p1,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_vanilla_final__1__1771811167/ppo_cont_vanilla_final.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.1,2133.39687860211,975.092636847265,1946.3128264385919,2018.6616633574165,196.1087481274629,3938.024681191486
1772132720,damping_s1_tv_damping_1p1,ppo_cont,Walker2d-v4,1,100,1,tv,damping_1p1,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model,/home/users/am1015/rl_runs/Walker2d-v4__ppo_cont_tv_final_cap3500__1__1771811496/ppo_cont_tv_final_cap3500.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.1,2246.453093369099,1000.67562043997,2041.3194023309484,2138.0300088824188,264.47082301973245,3908.7001972491566
