model,x,mean,ci95,n
tv_a3200,0.5,807.8709893588011,395.8401046118552,5
tv_a3200,0.6,1136.2232769477237,556.1923539939409,5
tv_a3200,0.7,1416.1542553850368,489.1106494033659,5
tv_a3200,0.8,1758.5380706129267,411.9512857354285,5
tv_a3200,0.9,2217.038694411568,480.5152078909634,5
tv_a3200,1.0,2550.745740027643,387.53334903034136,10
tv_a3200,1.1,2546.8318856120604,760.8938876228872,5
tv_a3200,1.3,2196.7957704131586,961.3262002649835,5
tv_a3200,1.5,1639.7974255325971,824.0761042446005,5
tv_a3200,1.7,1300.7067780867,863.0287232048036,5
tv_a3200,2.0,807.4777021947294,546.7165119800087,5
tv_a3600,0.5,1704.5901825770397,951.0375259372051,5
tv_a3600,0.6,2072.3001577686273,1088.6176928881412,5
tv_a3600,0.7,2241.2615659510657,1066.7502219924831,5
tv_a3600,0.8,2604.5208477743427,1083.017125769171,5
tv_a3600,0.9,2749.6039403921777,918.4284957661376,5
tv_a3600,1.0,2945.178363066433,591.3947760831943,10
tv_a3600,1.1,2904.3299481134936,1006.3527878672481,5
tv_a3600,1.3,2769.0425036164543,1265.837280152123,5
tv_a3600,1.5,2050.1254042015125,1120.4544128199605,5
tv_a3600,1.7,1426.3092863964296,949.78055065828,5
tv_a3600,2.0,671.6793027481026,225.46891009951548,5
tv_a4000,0.5,1490.9966862266278,757.790220954111,5
tv_a4000,0.6,2065.4110402588453,813.4183560740072,5
tv_a4000,0.7,2405.536407685981,796.200654724597,5
tv_a4000,0.8,2733.8938775523025,771.7221997071555,5
tv_a4000,0.9,3157.2933532195702,702.8586019932003,5
tv_a4000,1.0,3287.436936551737,415.50471049203253,10
tv_a4000,1.1,3334.8487945728934,408.3145644080823,5
tv_a4000,1.3,3314.370113285512,675.98629019026,5
tv_a4000,1.5,2721.249566740534,832.3752562356143,5
tv_a4000,1.7,1777.2511719340669,927.4487840373557,5
tv_a4000,2.0,664.4497789684298,235.99338580603293,5
tv_a4400,0.5,820.6314799413758,298.8453423077591,5
tv_a4400,0.6,1117.2061988089267,368.45209448147875,5
tv_a4400,0.7,1435.5598216001,491.19329138452997,5
tv_a4400,0.8,1865.2678335860287,534.4511620895516,5
tv_a4400,0.9,2247.170705677779,550.035326754618,5
tv_a4400,1.0,2750.4866838052667,345.7480379719328,10
tv_a4400,1.1,3023.582800044581,387.9225595080182,5
tv_a4400,1.3,2456.4870165236907,860.3646673753631,5
tv_a4400,1.5,1687.0112300490596,565.8779093548621,5
tv_a4400,1.7,878.1236743599704,227.9423362758555,5
tv_a4400,2.0,515.5161857281224,137.6591261954371,5
tv_a4800,0.5,881.0041422764631,379.6909604385984,5
tv_a4800,0.6,1096.3252525591527,358.43878416812606,5
tv_a4800,0.7,1441.30360546132,387.4071372459239,5
tv_a4800,0.8,1865.8948298644514,303.67215201863627,5
tv_a4800,0.9,2276.1493350631836,317.3334957736785,5
tv_a4800,1.0,2615.710002131815,219.00870933074577,10
tv_a4800,1.1,2878.4746052141354,481.77651176094537,5
tv_a4800,1.3,2424.7929763554234,664.7511966919492,5
tv_a4800,1.5,1899.834740265016,754.513348020662,5
tv_a4800,1.7,1361.6649762087955,875.4365645598973,5
tv_a4800,2.0,833.8506277630364,501.68994649686465,5
tv_p95,0.5,955.3784927618311,417.38872817098826,5
tv_p95,0.6,1376.0688387333612,526.0411681548467,5
tv_p95,0.7,1691.3613906030246,660.7767336940041,5
tv_p95,0.8,2101.3557087131194,498.62501582101623,5
tv_p95,0.9,2416.354552894155,441.13572824952587,5
tv_p95,1.0,2757.653286903599,309.14949515589154,10
tv_p95,1.1,2992.4429230304418,387.0093157214371,5
tv_p95,1.3,2899.761089993753,594.9522528561904,5
tv_p95,1.5,2144.1617961803618,750.6692551017826,5
tv_p95,1.7,1359.6713479376922,764.7042218365041,5
tv_p95,2.0,826.1419309007706,448.9338459470369,5
vanilla,0.5,1291.486039616058,606.731741182062,5
vanilla,0.6,1696.0970268267447,578.7794225486962,5
vanilla,0.7,2195.6831466332414,549.6163753903198,5
vanilla,0.8,2532.0033482673844,564.540489453677,5
vanilla,0.9,2849.3851204817197,628.8458211788746,5
vanilla,1.0,3172.603643082764,429.89801134021377,10
vanilla,1.1,3236.3829129900996,789.8821351192806,5
vanilla,1.3,2319.666638736814,768.7122740703969,5
vanilla,1.5,1676.4689689259365,689.0722556951393,5
vanilla,1.7,1024.9700657028677,306.42679267503553,5
vanilla,2.0,563.4763063427156,225.0822136090562,5
