model,x,mean,ci95,n
tv_a3800,0.5,840.9827663818596,467.79963313837413,5
tv_a3800,0.6,1059.8811550829191,438.81614657185196,5
tv_a3800,0.7,1390.10200738963,426.2667234591152,5
tv_a3800,0.8,1796.9624676871513,453.4699495176114,5
tv_a3800,0.9,2196.1351302134995,492.9793115610934,5
tv_a3800,1.0,2568.3423377471154,399.9115157082399,10
tv_a3800,1.1,2497.356732974268,668.200617095375,5
tv_a3800,1.3,2275.6716774079555,1007.5493101104777,5
tv_a3800,1.5,1742.1009636708452,965.5398743573254,5
tv_a3800,1.7,1291.6028882571852,858.6109789529712,5
tv_a3800,2.0,799.4661464640915,522.3055276698869,5
tv_a3900,0.5,1757.0333136559657,955.4957844617193,5
tv_a3900,0.6,2027.664595984963,1092.170251627569,5
tv_a3900,0.7,2306.688737143699,1159.2958488060558,5
tv_a3900,0.8,2581.4749478477424,1065.501123849566,5
tv_a3900,0.9,2800.8373882851824,959.0069838501909,5
tv_a3900,1.0,2993.468864131996,596.2268745704271,10
tv_a3900,1.1,2763.1217400572796,982.1544285348608,5
tv_a3900,1.3,2722.749826043754,1279.6584452453042,5
tv_a3900,1.5,2009.9746879255788,1092.7371001659499,5
tv_a3900,1.7,1417.7674116566375,969.1231143265687,5
tv_a3900,2.0,687.6573839177411,243.74401612612385,5
tv_a4000,0.5,1506.4176777873201,840.4260428934191,5
tv_a4000,0.6,2164.2198723957745,787.6721941207256,5
tv_a4000,0.7,2448.6347126103055,874.4044857302571,5
tv_a4000,0.8,2810.81487146613,868.1175382580213,5
tv_a4000,0.9,3056.449778382498,733.4232589449199,5
tv_a4000,1.0,3266.230023869327,404.4697174592207,10
tv_a4000,1.1,3330.8497956974143,569.3478626260672,5
tv_a4000,1.3,3335.2782740506095,659.4820017016057,5
tv_a4000,1.5,2693.7868245321356,972.4032733388481,5
tv_a4000,1.7,1761.6535674352222,941.0651888004854,5
tv_a4000,2.0,703.7468723476878,322.4119541971098,5
tv_a4100,0.5,779.251770393452,275.6747625180395,5
tv_a4100,0.6,1238.4450066731054,396.5255766879465,5
tv_a4100,0.7,1551.5140391548725,532.0140134608728,5
tv_a4100,0.8,1969.004570088473,594.6250861519658,5
tv_a4100,0.9,2353.9588802998305,590.7366047404681,5
tv_a4100,1.0,2792.210017328457,345.597626697749,10
tv_a4100,1.1,2963.5093675895487,378.0604862222053,5
tv_a4100,1.3,2457.885593466718,797.0234528467757,5
tv_a4100,1.5,1612.594140771797,527.2199763911826,5
tv_a4100,1.7,897.7409990646918,236.0060757339371,5
tv_a4100,2.0,514.5721042268825,137.80846609684033,5
tv_a4200,0.5,869.3341735402616,355.3807331202238,5
tv_a4200,0.6,1133.2118037958573,358.69864534778213,5
tv_a4200,0.7,1456.9601047555057,382.6602554045535,5
tv_a4200,0.8,1836.8341020462685,356.154122488706,5
tv_a4200,0.9,2329.5841499442745,390.386188613224,5
tv_a4200,1.0,2656.18530119784,248.13246184203214,10
tv_a4200,1.1,2762.2145932558888,375.1287020016862,5
tv_a4200,1.3,2478.819699758273,654.7412549931881,5
tv_a4200,1.5,1920.707218109287,768.4289721429541,5
tv_a4200,1.7,1342.8780068359715,878.5291055142948,5
tv_a4200,2.0,843.6244754001442,529.1716254476866,5
tv_p95,0.5,999.1876044881188,470.07906232347153,5
tv_p95,0.6,1406.5833083833923,589.3437542571284,5
tv_p95,0.7,1746.109203743641,651.78531844529,5
tv_p95,0.8,2096.528575000258,647.7538390427295,5
tv_p95,0.9,2481.4625331749544,528.0058297694229,5
tv_p95,1.0,2789.451222910712,272.62516163498395,10
tv_p95,1.1,2980.282299494746,363.79522620412894,5
tv_p95,1.3,2916.308448468423,628.0087592707234,5
tv_p95,1.5,2085.3675870662346,751.3991673135182,5
tv_p95,1.7,1367.3147643294328,841.333481102756,5
tv_p95,2.0,880.7708037278119,538.0711802442713,5
vanilla,0.5,1290.836878752989,576.268797825726,5
vanilla,0.6,1816.7453392365437,605.7615474841657,5
vanilla,0.7,2283.6895005636106,566.4157484727982,5
vanilla,0.8,2716.7162279653885,551.7998536970141,5
vanilla,0.9,2916.355580952574,552.171973259693,5
vanilla,1.0,3153.273560991992,438.3176661705956,10
vanilla,1.1,3193.0857012618862,866.1745116565002,5
vanilla,1.3,2298.5848986104616,708.3435955245005,5
vanilla,1.5,1660.1410036297675,598.6027601640398,5
vanilla,1.7,1013.6474081907165,284.2033001958603,5
vanilla,2.0,548.8990642324226,210.77375133253096,5
