timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,xml_body_mass_scale,xml_geom_friction_scale,xml_joint_damping_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return
1772827439,a3800_fine_s5_nominal,ppo_cont,Walker2d-v4,5,100,0,tv_a3800,nominal,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,2590.676810869217,1078.577956024096,2606.316784626938,2628.434345190234,727.4063390733276,4069.9178515556764
1772827460,a3800_fine_s5_friction_0p5,ppo_cont,Walker2d-v4,5,100,1,tv_a3800,friction_0p5,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,0.5,1.0,638.120644310345,310.03711465511867,557.3809617717711,548.2435589880622,261.94730256345133,1762.4058908306974
1772827488,a3800_fine_s5_friction_0p6,ppo_cont,Walker2d-v4,5,100,1,tv_a3800,friction_0p6,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,0.6,1.0,1055.808589621994,504.01650948968376,990.807430544814,974.0446667453475,368.19351483017437,3515.8651025582594
1772827522,a3800_fine_s5_friction_0p7,ppo_cont,Walker2d-v4,5,100,1,tv_a3800,friction_0p7,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,0.7,1.0,1499.3283163582364,760.8727381654468,1378.7227897099606,1379.4073348071654,440.3654330971747,3798.7368615580303
1772827563,a3800_fine_s5_friction_0p8,ppo_cont,Walker2d-v4,5,100,1,tv_a3800,friction_0p8,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,0.8,1.0,1858.103572792613,939.5053368595192,1751.2618607154795,1687.6520924605384,671.2543260486495,3997.4926418962027
1772827606,a3800_fine_s5_friction_0p9,ppo_cont,Walker2d-v4,5,100,1,tv_a3800,friction_0p9,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,0.9,1.0,1982.9990079932113,1073.8582560865643,1767.142714772684,1750.002693578578,684.3701586989191,4037.2678006171836
1772827656,a3800_fine_s5_friction_1p0,ppo_cont,Walker2d-v4,5,100,1,tv_a3800,friction_1p0,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.0,2427.299214972331,1072.012308848213,2212.0957625393175,2283.707390566399,691.010046904698,4136.732100304775
1772827709,a3800_fine_s5_friction_1p1,ppo_cont,Walker2d-v4,5,100,1,tv_a3800,friction_1p1,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.1,1.0,2723.6859728292147,968.8526187665906,2723.168191448478,2734.62401549063,704.2498481080389,4223.814888336563
1772827752,a3800_fine_s5_friction_1p3,ppo_cont,Walker2d-v4,5,100,1,tv_a3800,friction_1p3,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.3,1.0,2075.7225900713415,688.3935601950095,1960.521104434355,1978.5613575201733,1047.8440039165696,4105.4817627729335
1772827783,a3800_fine_s5_friction_1p5,ppo_cont,Walker2d-v4,5,100,1,tv_a3800,friction_1p5,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__5__1772823309/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.5,1.0,1240.9628185203148,274.56805880105867,1154.1211104894696,1167.977047838901,791.5245488955117,2174.7776855589113
