timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,xml_body_mass_scale,xml_geom_friction_scale,xml_joint_damping_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return
1772819096,a4400_s1_nominal,ppo_cont,Walker2d-v4,1,100,0,tv_a4400,nominal,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,2001.4857011650395,819.5077227684643,1734.8364458504673,1809.0409716992162,380.94116400435115,4085.1399605375227
1772819135,a4400_s1_friction_0p5,ppo_cont,Walker2d-v4,1,100,1,tv_a4400,friction_0p5,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model.norm_stats.npz,1,1,1.0,0.5,1.0,1189.0447622301697,691.801507432807,957.6519596019084,991.2030622960947,344.98925156037575,3783.1386486075608
1772819166,a4400_s1_friction_0p6,ppo_cont,Walker2d-v4,1,100,1,tv_a4400,friction_0p6,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model.norm_stats.npz,1,1,1.0,0.6,1.0,980.7966290189086,449.20946372859083,923.9899708543783,913.0664734303912,362.98046358173565,3528.440976524121
1772819197,a4400_s1_friction_0p7,ppo_cont,Walker2d-v4,1,100,1,tv_a4400,friction_0p7,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model.norm_stats.npz,1,1,1.0,0.7,1.0,993.5434408692419,361.25674746685024,915.1507190690154,917.7186636070592,542.674736716239,2898.1293139422055
1772819233,a4400_s1_friction_0p8,ppo_cont,Walker2d-v4,1,100,1,tv_a4400,friction_0p8,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model.norm_stats.npz,1,1,1.0,0.8,1.0,1375.0078257993512,764.9074607154985,1016.4484019883764,1102.8535319477787,720.776382930756,4003.5070597594463
1772819275,a4400_s1_friction_0p9,ppo_cont,Walker2d-v4,1,100,1,tv_a4400,friction_0p9,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model.norm_stats.npz,1,1,1.0,0.9,1.0,1628.100885097394,676.049861025272,1477.9355971487316,1497.62342134123,193.1717291243263,3950.9481564554126
1772819322,a4400_s1_friction_1p0,ppo_cont,Walker2d-v4,1,100,1,tv_a4400,friction_1p0,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.0,1993.5615750489244,834.574266998506,1706.9278508487962,1806.5437206870226,367.69126793410857,4085.1371623222335
1772819381,a4400_s1_friction_1p1,ppo_cont,Walker2d-v4,1,100,1,tv_a4400,friction_1p1,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model.norm_stats.npz,1,1,1.0,1.1,1.0,2580.5194810219964,962.0285434271801,2377.492902039113,2443.403857385308,376.34000088806835,4143.298175311934
1772819443,a4400_s1_friction_1p3,ppo_cont,Walker2d-v4,1,100,1,tv_a4400,friction_1p3,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model.norm_stats.npz,1,1,1.0,1.3,1.0,2529.7233745867798,896.3021346043639,2325.9179820815575,2425.506022433534,1402.0453495414456,3969.250913867521
1772819486,a4400_s1_friction_1p5,ppo_cont,Walker2d-v4,1,100,1,tv_a4400,friction_1p5,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model,/home/users/am1015/rl_runs_alpha_phase1/Walker2d-v4__ppo_cont_tv_alpha_a4400__1__1772813181/ppo_cont_tv_alpha_a4400.cleanrl_model.norm_stats.npz,1,1,1.0,1.5,1.0,1664.5638061773677,682.3703052717882,1380.1964904508473,1479.0860933389042,956.0510771657847,3787.44459534147
