kind,model_label,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95
group,tv,friction_1p0,5,3153.7813813902662,804.1769841162237,3291.797259783728,969.946922668825,3274.117121065062,942.0943674572699
group,tv,friction_1p1,5,3162.1743876147193,757.7166999261033,3304.3299328746134,1021.9224768006435,3291.1527367851386,989.8291168519412
group,tv,friction_1p2,5,2732.1767336180537,585.3749275403334,2684.097067733891,847.8929816226137,2715.8840482112005,795.7060595099713
group,tv,friction_1p3,5,2400.8665768889473,751.0301123843219,2308.033013912606,929.7084897217079,2362.6231515427667,921.0644995709962
group,tv,nominal,5,3137.2354250196718,683.3360795539586,3379.1858006833645,931.5018904009155,3338.437223025455,901.2773314692747
group,vanilla,friction_1p0,5,3049.4850813919315,706.9955505510633,3158.4443472385237,1044.635323404734,3222.0263167505154,996.4892430174436
group,vanilla,friction_1p1,5,3225.737786279108,841.5641793772243,3202.384290290908,1078.1778628674417,3295.1611460443446,1004.702559594333
group,vanilla,friction_1p2,5,2700.014656838271,573.3176667837515,2663.4894898412563,753.3326770565421,2654.85454526216,760.757302107545
group,vanilla,friction_1p3,5,2317.541909514722,723.631346446719,2264.164045969238,901.4771569281208,2274.4800126527807,884.056703880601
group,vanilla,nominal,5,3155.1921993094284,730.2023125601714,3224.130755440091,948.3119235726118,3275.5528159885894,891.248785050707
drop,tv,nominal->friction_1p0,5,-16.54595637059456,158.52103153762408,87.38854089963588,127.68800849492479,0.002104353256797295,0.04369668183570042
drop,vanilla,nominal->friction_1p0,5,105.70711791749746,228.29233055505267,65.68640820156797,183.85202725839818,0.03323591584128027,0.07976041563714374
gain,vanilla_vs_tv,nominal->friction_1p0,5,122.25307428809201,341.8766717707977,-21.702132698067906,267.1377807586086,74.18871310749107,239.266878469948
drop,tv,nominal->friction_1p1,5,-24.938962595047904,209.2108122535484,74.85586780875,342.79723425180987,-0.007018630606435762,0.0698352849449848
drop,vanilla,nominal->friction_1p1,5,-70.54558696967888,170.95720713524105,21.74646514918313,147.52330311721278,-0.015047888020234915,0.05573113740038471
gain,vanilla_vs_tv,nominal->friction_1p1,5,-45.606624374630975,247.91317723159506,-53.109402659566875,377.9834963964177,-49.047067671226465,87.66401775210191
drop,tv,nominal->friction_1p2,5,405.0586914016178,455.57118654429235,695.0887329494732,655.2033314098784,0.12078103438426462,0.11016391977964485
drop,vanilla,nominal->friction_1p2,5,455.1775424711576,670.3194645923845,560.6412655988347,770.1697941182085,0.12428790303713363,0.1555800562541558
gain,vanilla_vs_tv,nominal->friction_1p2,5,50.11885106953982,224.70266989591465,-134.44746735063845,279.15439499024205,-32.848378935953484,114.71920689997317
drop,tv,nominal->friction_1p3,5,736.368848130724,868.8990993924448,1071.1527867707584,998.6116350301892,0.21662663416872424,0.21109291749796819
drop,vanilla,nominal->friction_1p3,5,837.6502897947064,910.4514609628478,959.966709470853,971.2077198009297,0.24402979035241126,0.22197424585260428
gain,vanilla_vs_tv,nominal->friction_1p3,5,101.28144166398238,134.1785665388712,-111.18607729990526,225.53965304522004,106.18688406329557,42.136016034828295
