model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a2p20,bfoot_mass,0.1,bfoot_mass_0p1,1,1386.6828169824905,0.0,1381.9471543273262,0.0,1383.1601613868993,0.0,1386.6828169824905
a2p20,bfoot_mass,0.2,bfoot_mass_0p2,1,1397.0454988776705,0.0,1406.806373767702,0.0,1400.7921961038471,0.0,1397.0454988776705
a2p20,bfoot_mass,0.3,bfoot_mass_0p3,1,1374.1930514254507,0.0,1378.8874222083145,0.0,1375.480965384219,0.0,1374.1930514254507
a2p20,bfoot_mass,0.4,bfoot_mass_0p4,1,1369.9311104352164,0.0,1377.9675947796086,0.0,1378.586458440699,0.0,1369.9311104352164
a2p20,bfoot_mass,0.5,bfoot_mass_0p5,1,1296.0054648054784,0.0,1366.273697446496,0.0,1368.7088162064676,0.0,1296.0054648054784
a2p20,bfoot_mass,0.6,bfoot_mass_0p6,1,1369.5714110284748,0.0,1365.0082254799527,0.0,1368.4321728590871,0.0,1369.5714110284748
a2p20,bfoot_mass,0.7,bfoot_mass_0p7,1,1356.7135258356268,0.0,1382.2753219084987,0.0,1368.417585480021,0.0,1356.7135258356268
a2p20,bfoot_mass,0.8,bfoot_mass_0p8,1,1393.8598216242037,0.0,1395.416347073487,0.0,1393.7649750487822,0.0,1393.8598216242037
a2p20,bfoot_mass,0.9,bfoot_mass_0p9,1,1379.1392478530952,0.0,1371.6914074970534,0.0,1376.0003576797942,0.0,1379.1392478530952
a2p20,bfoot_mass,1.0,bfoot_mass_1,1,1383.0251045409386,0.0,1390.804214260379,0.0,1387.5386635713635,0.0,1383.0251045409386
a2p20,bfoot_mass,1.1,bfoot_mass_1p1,1,1385.84957672267,0.0,1390.127452461367,0.0,1393.7304526134249,0.0,1385.84957672267
a2p20,bfoot_mass,1.3,bfoot_mass_1p3,1,1388.5687066799915,0.0,1386.928024576628,0.0,1388.076114397708,0.0,1388.5687066799915
a2p20,bfoot_mass,1.5,bfoot_mass_1p5,1,1387.1065547142325,0.0,1390.7690739248267,0.0,1387.862704719597,0.0,1387.1065547142325
a2p20,bfoot_mass,1.7,bfoot_mass_1p7,1,1395.4749836567773,0.0,1392.3890748802464,0.0,1396.0730381318751,0.0,1395.4749836567773
