model_label,axis,factor,scenario_label,n,drop_mean_return_mean,drop_mean_return_ci95,drop_median_return_mean,drop_median_return_ci95,drop_iqm_return_mean,drop_iqm_return_ci95,rel_drop_mean_return_mean,rel_drop_mean_return_ci95
a2p20,bfoot_mass,0.1,bfoot_mass_0p1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bfoot_mass,0.2,bfoot_mass_0p2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bfoot_mass,0.3,bfoot_mass_0p3,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bfoot_mass,0.4,bfoot_mass_0p4,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bfoot_mass,0.5,bfoot_mass_0p5,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bfoot_mass,0.6,bfoot_mass_0p6,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bfoot_mass,0.7,bfoot_mass_0p7,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bfoot_mass,0.8,bfoot_mass_0p8,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bfoot_mass,0.9,bfoot_mass_0p9,5,9.112614923408136,11.490578541513457,5.217756291101705,11.338945973865016,7.782705734078855,11.351770835036247,0.0033277030438567377,0.003972267608634337
a2p20,bfoot_mass,1.0,bfoot_mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bfoot_mass,1.1,bfoot_mass_1p1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bfoot_mass,1.3,bfoot_mass_1p3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bfoot_mass,1.5,bfoot_mass_1p5,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bfoot_mass,1.7,bfoot_mass_1p7,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bfoot_mass,2.0,bfoot_mass_2,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bshin_mass,0.1,bshin_mass_0p1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bshin_mass,0.2,bshin_mass_0p2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bshin_mass,0.3,bshin_mass_0p3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bshin_mass,0.4,bshin_mass_0p4,5,-5.372670976015707,6.468511681009148,-3.951236895602051,5.023386676590608,-4.854770845367921,6.0092383737529875,-0.0034341206352395586,0.004123368002431955
a2p20,bshin_mass,0.5,bshin_mass_0p5,5,-14.485285899423843,8.93501171955767,-9.168993186703755,10.686709558236029,-12.637476579446774,9.612469753468742,-0.006789564669235923,0.0033058351103974377
a2p20,bshin_mass,0.6,bshin_mass_0p6,5,-14.485285899423843,8.93501171955767,-9.168993186703755,10.686709558236029,-12.637476579446774,9.612469753468742,-0.006789564669235923,0.0033058351103974377
a2p20,bshin_mass,0.7,bshin_mass_0p7,5,-14.485285899423843,8.93501171955767,-9.168993186703755,10.686709558236029,-12.637476579446774,9.612469753468742,-0.006789564669235923,0.0033058351103974377
a2p20,bshin_mass,0.8,bshin_mass_0p8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bshin_mass,0.9,bshin_mass_0p9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bshin_mass,1.0,bshin_mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bshin_mass,1.1,bshin_mass_1p1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bshin_mass,1.3,bshin_mass_1p3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bshin_mass,1.5,bshin_mass_1p5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bshin_mass,1.7,bshin_mass_1p7,5,-5.372670976015707,6.468511681009148,-3.951236895602051,5.023386676590608,-4.854770845367921,6.0092383737529875,-0.0034341206352395586,0.004123368002431955
a2p20,bshin_mass,2.0,bshin_mass_2,5,-14.485285899423843,8.93501171955767,-9.168993186703755,10.686709558236029,-12.637476579446774,9.612469753468742,-0.006789564669235923,0.0033058351103974377
a2p20,bthigh_mass,0.1,bthigh_mass_0p1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bthigh_mass,0.2,bthigh_mass_0p2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bthigh_mass,0.3,bthigh_mass_0p3,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bthigh_mass,0.4,bthigh_mass_0p4,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bthigh_mass,0.5,bthigh_mass_0p5,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bthigh_mass,0.6,bthigh_mass_0p6,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bthigh_mass,0.7,bthigh_mass_0p7,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bthigh_mass,0.8,bthigh_mass_0p8,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bthigh_mass,0.9,bthigh_mass_0p9,5,9.112614923408136,11.490578541513457,5.217756291101705,11.338945973865016,7.782705734078855,11.351770835036247,0.0033277030438567377,0.003972267608634337
a2p20,bthigh_mass,1.0,bthigh_mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bthigh_mass,1.1,bthigh_mass_1p1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bthigh_mass,1.3,bthigh_mass_1p3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bthigh_mass,1.5,bthigh_mass_1p5,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bthigh_mass,1.7,bthigh_mass_1p7,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,bthigh_mass,2.0,bthigh_mass_2,5,14.485285899423843,8.93501171955767,9.168993186703755,10.686709558236029,12.637476579446774,9.612469753468742,0.006732578589374686,0.003275522731114982
a2p20,ffoot_mass,0.1,ffoot_mass_0p1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,ffoot_mass,0.2,ffoot_mass_0p2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,ffoot_mass,0.3,ffoot_mass_0p3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
