axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
bfoot_actuator_gain,vanilla,1.0,0.0,0.0,0.0,0,0
bfoot_actuator_gain,a2p20,1.0,0.0,nan,nan,0,0
bfoot_actuator_gain,a2p40,1.0,0.0,nan,nan,0,0
bfoot_actuator_gain,a2p55,1.0,0.0,0.0,0.0,0,15
bfoot_actuator_gain,a2p65,1.0,0.0,nan,nan,0,0
bfoot_actuator_gain,a2p70,1.0,0.0,0.0,0.0,0,15
bfoot_actuator_gain,a2p75,1.0,0.0,nan,nan,0,0
bfoot_actuator_gain,a2p80,1366.01785641381,0.0,-84.04517879986696,0.0,0,15
bfoot_actuator_gain,a3p00,1335.0295645189199,0.0,nan,nan,0,0
bfoot_actuator_gain,a3p05,1379.302673322873,0.0,nan,nan,0,0
bfoot_actuator_gain,a3p10,1.0,0.0,0.0,0.0,0,15
bfoot_actuator_gain,a3p20,1.0,0.0,nan,nan,0,0
bfoot_actuator_gain,a3p40,1.0,0.0,0.0,0.0,0,15
bfoot_actuator_gain,a3p70,1.0,0.0,nan,nan,0,0
bfoot_damping,vanilla,1.0,0.0,0.0,0.0,0,0
bfoot_damping,a2p20,1.0,0.0,nan,nan,0,0
bfoot_damping,a2p40,1.0,0.0,nan,nan,0,0
bfoot_damping,a2p55,1.0,0.0,0.0,0.0,0,15
bfoot_damping,a2p65,1.0,0.0,nan,nan,0,0
bfoot_damping,a2p70,1.0,0.0,0.0,0.0,0,15
bfoot_damping,a2p75,1.0,0.0,nan,nan,0,0
bfoot_damping,a2p80,1350.8495760823766,0.0,-226.53226487286096,0.0,4,15
bfoot_damping,a3p00,1348.0156325278076,0.0,nan,nan,0,0
bfoot_damping,a3p05,1372.0069890813743,0.0,nan,nan,0,0
bfoot_damping,a3p10,1492.2357029248526,0.0,-22.887772719991155,0.0,1,15
bfoot_damping,a3p20,1.0,0.0,nan,nan,0,0
bfoot_damping,a3p40,1.0,0.0,0.0,0.0,0,15
bfoot_damping,a3p70,1.0,0.0,nan,nan,0,0
bfoot_friction,vanilla,1.0,0.0,0.0,0.0,0,0
bfoot_friction,a2p20,1.0,0.0,nan,nan,0,0
bfoot_friction,a2p40,1.0,0.0,nan,nan,0,0
bfoot_friction,a2p55,1.0,0.0,0.0,0.0,0,15
bfoot_friction,a2p65,1.0,0.0,nan,nan,0,0
bfoot_friction,a2p70,1.0,0.0,0.0,0.0,0,15
bfoot_friction,a2p75,1.0,0.0,nan,nan,0,0
bfoot_friction,a2p80,1.0,0.0,0.0,0.0,0,15
bfoot_friction,a3p00,1327.6953896195369,0.0,nan,nan,0,0
bfoot_friction,a3p05,1370.4250955029581,0.0,nan,nan,0,0
bfoot_friction,a3p10,1472.440181548237,0.0,11.52842039672505,0.0,12,15
bfoot_friction,a3p20,1.0,0.0,nan,nan,0,0
bfoot_friction,a3p40,1.0,0.0,0.0,0.0,0,15
bfoot_friction,a3p70,1.0,0.0,nan,nan,0,0
bshin_actuator_gain,vanilla,1.0,0.0,0.0,0.0,0,0
bshin_actuator_gain,a2p20,1.0,0.0,nan,nan,0,0
bshin_actuator_gain,a2p40,1.0,0.0,nan,nan,0,0
bshin_actuator_gain,a2p55,1.0,0.0,0.0,0.0,0,15
bshin_actuator_gain,a2p65,1.0,0.0,nan,nan,0,0
bshin_actuator_gain,a2p70,1.0,0.0,0.0,0.0,0,15
bshin_actuator_gain,a2p75,1.0,0.0,nan,nan,0,0
bshin_actuator_gain,a2p80,1267.197037889668,0.0,-536.3632630535419,0.0,4,15
bshin_actuator_gain,a3p00,1389.1739929521218,0.0,nan,nan,0,0
bshin_actuator_gain,a3p05,1363.5935032792488,0.0,nan,nan,0,0
bshin_actuator_gain,a3p10,1489.4148506618253,0.0,-584.6838779628114,0.0,2,15
bshin_actuator_gain,a3p20,1.0,0.0,nan,nan,0,0
bshin_actuator_gain,a3p40,1.0,0.0,0.0,0.0,0,15
bshin_actuator_gain,a3p70,1.0,0.0,nan,nan,0,0
bshin_damping,vanilla,1.0,0.0,0.0,0.0,0,0
bshin_damping,a2p20,1.0,0.0,nan,nan,0,0
bshin_damping,a2p40,1.0,0.0,nan,nan,0,0
bshin_damping,a2p55,1.0,0.0,0.0,0.0,0,15
bshin_damping,a2p65,1.0,0.0,nan,nan,0,0
bshin_damping,a2p70,1.0,0.0,0.0,0.0,0,15
bshin_damping,a2p75,1.0,0.0,nan,nan,0,0
bshin_damping,a2p80,1.0,0.0,0.0,0.0,0,15
bshin_damping,a3p00,1332.3188508469339,0.0,nan,nan,0,0
bshin_damping,a3p05,1378.3043339129945,0.0,nan,nan,0,0
bshin_damping,a3p10,1475.5037514475766,0.0,-407.38334012957796,0.0,1,15
bshin_damping,a3p20,1.0,0.0,nan,nan,0,0
bshin_damping,a3p40,1.0,0.0,0.0,0.0,0,15
bshin_damping,a3p70,1.0,0.0,nan,nan,0,0
bshin_friction,vanilla,1.0,0.0,0.0,0.0,0,0
bshin_friction,a2p20,1.0,0.0,nan,nan,0,0
bshin_friction,a2p40,1.0,0.0,nan,nan,0,0
bshin_friction,a2p55,1.0,0.0,0.0,0.0,0,15
bshin_friction,a2p65,1.0,0.0,nan,nan,0,0
bshin_friction,a2p70,1.0,0.0,0.0,0.0,0,15
bshin_friction,a2p75,1.0,0.0,nan,nan,0,0
bshin_friction,a2p80,1.0,0.0,0.0,0.0,0,15
bshin_friction,a3p00,1340.7767209249414,0.0,nan,nan,0,0
bshin_friction,a3p05,1382.1602237129966,0.0,nan,nan,0,0
bshin_friction,a3p10,1463.3956639384799,0.0,16.56289333225136,0.0,14,15
bshin_friction,a3p20,1.0,0.0,nan,nan,0,0
bshin_friction,a3p40,1.0,0.0,0.0,0.0,0,15
bshin_friction,a3p70,1.0,0.0,nan,nan,0,0
bthigh_actuator_gain,vanilla,1.0,0.0,0.0,0.0,0,0
bthigh_actuator_gain,a2p20,1.0,0.0,nan,nan,0,0
bthigh_actuator_gain,a2p40,1.0,0.0,nan,nan,0,0
bthigh_actuator_gain,a2p55,1.0,0.0,0.0,0.0,0,15
bthigh_actuator_gain,a2p65,1.0,0.0,nan,nan,0,0
bthigh_actuator_gain,a2p70,1.0,0.0,0.0,0.0,0,15
bthigh_actuator_gain,a2p75,1.0,0.0,nan,nan,0,0
bthigh_actuator_gain,a2p80,1356.7180615033753,0.0,-542.8674839576379,0.0,0,15
bthigh_actuator_gain,a3p00,1366.0178804297489,0.0,nan,nan,0,0
bthigh_actuator_gain,a3p05,1387.6167235922662,0.0,nan,nan,0,0
bthigh_actuator_gain,a3p10,1491.4323618059802,0.0,-492.5986194563106,0.0,1,15
bthigh_actuator_gain,a3p20,1.0,0.0,nan,nan,0,0
bthigh_actuator_gain,a3p40,1.0,0.0,0.0,0.0,0,15
bthigh_actuator_gain,a3p70,1.0,0.0,nan,nan,0,0
bthigh_damping,vanilla,1.0,0.0,0.0,0.0,0,0
bthigh_damping,a2p20,1.0,0.0,nan,nan,0,0
bthigh_damping,a2p40,1.0,0.0,nan,nan,0,0
bthigh_damping,a2p55,1.0,0.0,0.0,0.0,0,15
bthigh_damping,a2p65,1.0,0.0,nan,nan,0,0
bthigh_damping,a2p70,1558.4589654307829,0.0,-1254.4520463774775,0.0,1,15
bthigh_damping,a2p75,1.0,0.0,nan,nan,0,0
bthigh_damping,a2p80,1.0,0.0,0.0,0.0,0,15
bthigh_damping,a3p00,1384.4670496195072,0.0,nan,nan,0,0
bthigh_damping,a3p05,1377.6025647051392,0.0,nan,nan,0,0
bthigh_damping,a3p10,1476.7005973044386,0.0,-548.6952417547527,0.0,0,15
