model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a2p20,bfoot_actuator_gain,0.0,bfoot_actuator_gain_0,1,1.0,0.0,30.569194999318587,0.0,1573.0443674697485,0.0,1.0
a2p20,bfoot_actuator_gain,0.1,bfoot_actuator_gain_0p1,1,1.0,0.0,49.42613974582554,0.0,1585.7007122537398,0.0,1.0
a2p20,bfoot_actuator_gain,0.2,bfoot_actuator_gain_0p2,1,1.0,0.0,42.98386870180938,0.0,1594.7329252248924,0.0,1.0
a2p20,bfoot_actuator_gain,0.3,bfoot_actuator_gain_0p3,1,1.0,0.0,81.71537328895683,0.0,1592.9506183987378,0.0,1.0
a2p20,bfoot_actuator_gain,0.4,bfoot_actuator_gain_0p4,1,1.0,0.0,36.43993244343704,0.0,1618.332168086546,0.0,1.0
a2p20,bfoot_actuator_gain,0.5,bfoot_actuator_gain_0p5,1,1.0,0.0,32.77038897026549,0.0,1610.523283168061,0.0,1.0
a2p20,bfoot_actuator_gain,0.6,bfoot_actuator_gain_0p6,1,1.0,0.0,38.12594449996593,0.0,1614.9070864695968,0.0,1.0
a2p20,bfoot_actuator_gain,0.7,bfoot_actuator_gain_0p7,1,1.0,0.0,34.37323447903534,0.0,1612.3677536548435,0.0,1.0
a2p20,bfoot_actuator_gain,0.8,bfoot_actuator_gain_0p8,1,1.0,0.0,21.73956224023555,0.0,1626.4996049686142,0.0,1.0
a2p20,bfoot_actuator_gain,0.9,bfoot_actuator_gain_0p9,1,1.0,0.0,22.16948671019817,0.0,1623.6420531732615,0.0,1.0
a2p20,bfoot_actuator_gain,1.0,bfoot_actuator_gain_1,1,1.0,0.0,28.038488684478992,0.0,1627.0709074757663,0.0,1.0
a2p20,bfoot_actuator_gain,1.1,bfoot_actuator_gain_1p1,1,1.0,0.0,21.963268766817567,0.0,1647.5780042482343,0.0,1.0
a2p20,bfoot_actuator_gain,1.3,bfoot_actuator_gain_1p3,1,1.0,0.0,14.99852359171414,0.0,1636.7417587001546,0.0,1.0
a2p20,bfoot_actuator_gain,1.5,bfoot_actuator_gain_1p5,1,1.0,0.0,20.363426738990754,0.0,1636.9021920051578,0.0,1.0
a2p20,bfoot_actuator_gain,1.7,bfoot_actuator_gain_1p7,1,1.0,0.0,20.9713557629804,0.0,1638.5321079135751,0.0,1.0
