model_label,axis,factor,scenario_label,n,drop_mean_return_mean,drop_mean_return_ci95,drop_median_return_mean,drop_median_return_ci95,drop_iqm_return_mean,drop_iqm_return_ci95,rel_drop_mean_return_mean,rel_drop_mean_return_ci95
a2p20,bfoot_actuator_gain,0.0,bfoot_actuator_gain_0,1,0.0,0.0,-2.5307063148395947,0.0,54.02654000601774,0.0,0.0,0.0
a2p20,bfoot_actuator_gain,0.1,bfoot_actuator_gain_0p1,1,0.0,0.0,-21.387651061346546,0.0,41.370195222026496,0.0,0.0,0.0
a2p20,bfoot_actuator_gain,0.2,bfoot_actuator_gain_0p2,1,0.0,0.0,-14.945380017330386,0.0,32.33798225087389,0.0,0.0,0.0
a2p20,bfoot_actuator_gain,0.3,bfoot_actuator_gain_0p3,1,0.0,0.0,-53.676884604477834,0.0,34.120289077028474,0.0,0.0,0.0
a2p20,bfoot_actuator_gain,0.4,bfoot_actuator_gain_0p4,1,0.0,0.0,-8.401443758958045,0.0,8.7387393892202,0.0,0.0,0.0
a2p20,bfoot_actuator_gain,0.5,bfoot_actuator_gain_0p5,1,0.0,0.0,-4.731900285786502,0.0,16.54762430770529,0.0,0.0,0.0
a2p20,bfoot_actuator_gain,0.6,bfoot_actuator_gain_0p6,1,0.0,0.0,-10.08745581548694,0.0,12.163821006169428,0.0,0.0,0.0
a2p20,bfoot_actuator_gain,0.7,bfoot_actuator_gain_0p7,1,0.0,0.0,-6.334745794556348,0.0,14.703153820922807,0.0,0.0,0.0
a2p20,bfoot_actuator_gain,0.8,bfoot_actuator_gain_0p8,1,0.0,0.0,6.298926444243442,0.0,0.5713025071520406,0.0,0.0,0.0
a2p20,bfoot_actuator_gain,0.9,bfoot_actuator_gain_0p9,1,0.0,0.0,5.86900197428082,0.0,3.42885430250476,0.0,0.0,0.0
a2p20,bfoot_actuator_gain,1.0,bfoot_actuator_gain_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p20,bfoot_actuator_gain,1.1,bfoot_actuator_gain_1p1,1,0.0,0.0,6.075219917661425,0.0,-20.507096772468003,0.0,0.0,0.0
a2p20,bfoot_actuator_gain,1.3,bfoot_actuator_gain_1p3,1,0.0,0.0,13.039965092764852,0.0,-9.670851224388343,0.0,0.0,0.0
