baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a2p55,bfoot_actuator_gain,0.0,bfoot_actuator_gain_0,1,0.0,0.0,-11.528691947436101,0.0,-11.475354551848113,0.0
vanilla,a2p55,bfoot_actuator_gain,0.1,bfoot_actuator_gain_0p1,1,0.0,0.0,6.149675483369375,0.0,-29.675981899538556,0.0
vanilla,a2p55,bfoot_actuator_gain,0.2,bfoot_actuator_gain_0p2,1,0.0,0.0,-3.5171714285993616,0.0,-19.642742012992812,0.0
vanilla,a2p55,bfoot_actuator_gain,0.3,bfoot_actuator_gain_0p3,1,0.0,0.0,5.380992267403421,0.0,-18.62259476166969,0.0
vanilla,a2p55,bfoot_actuator_gain,0.4,bfoot_actuator_gain_0p4,1,0.0,0.0,-9.75538292415363,0.0,-16.793272099005208,0.0
vanilla,a2p55,bfoot_actuator_gain,0.5,bfoot_actuator_gain_0p5,1,0.0,0.0,-9.661507416648114,0.0,-31.366140338912146,0.0
vanilla,a2p55,bfoot_actuator_gain,0.6,bfoot_actuator_gain_0p6,1,0.0,0.0,0.4065041547861199,0.0,-13.946156460448947,0.0
vanilla,a2p55,bfoot_actuator_gain,0.7,bfoot_actuator_gain_0p7,1,0.0,0.0,7.165627241739017,0.0,-8.29789595411171,0.0
vanilla,a2p55,bfoot_actuator_gain,0.8,bfoot_actuator_gain_0p8,1,0.0,0.0,3.857704847737079,0.0,2.57299642001999,0.0
vanilla,a2p55,bfoot_actuator_gain,0.9,bfoot_actuator_gain_0p9,1,0.0,0.0,4.529140416860109,0.0,-13.801833953594496,0.0
vanilla,a2p55,bfoot_actuator_gain,1.0,bfoot_actuator_gain_1,1,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p55,bfoot_actuator_gain,1.1,bfoot_actuator_gain_1p1,1,0.0,0.0,-13.47080084293103,0.0,4.197633145896134,0.0
vanilla,a2p55,bfoot_actuator_gain,1.3,bfoot_actuator_gain_1p3,1,0.0,0.0,-16.41764102093253,0.0,8.557013409137198,0.0
vanilla,a2p55,bfoot_actuator_gain,1.5,bfoot_actuator_gain_1p5,1,0.0,0.0,4.060432093731983,0.0,21.59601268687652,0.0
vanilla,a2p55,bfoot_actuator_gain,1.7,bfoot_actuator_gain_1p7,1,0.0,0.0,2.2105140087983557,0.0,30.631706201215138,0.0
vanilla,a2p55,bfoot_actuator_gain,2.0,bfoot_actuator_gain_2,1,0.0,0.0,-7.728048411623057,0.0,72.05470645943274,0.0
vanilla,a2p55,bfoot_damping,0.0,bfoot_damping_0,1,0.0,0.0,0.37476487474753384,0.0,97.73756787879597,0.0
vanilla,a2p55,bfoot_damping,0.1,bfoot_damping_0p1,1,0.0,0.0,-7.093161861865802,0.0,88.57973512133458,0.0
vanilla,a2p55,bfoot_damping,0.2,bfoot_damping_0p2,1,0.0,0.0,-1.5494523825619666,0.0,77.6432838717908,0.0
vanilla,a2p55,bfoot_damping,0.3,bfoot_damping_0p3,1,0.0,0.0,2.630220068327638,0.0,45.132962336364244,0.0
vanilla,a2p55,bfoot_damping,0.4,bfoot_damping_0p4,1,0.0,0.0,-2.1189934264384753,0.0,35.3103385101565,0.0
vanilla,a2p55,bfoot_damping,0.5,bfoot_damping_0p5,1,0.0,0.0,12.619673376201433,0.0,21.7480164307035,0.0
