baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a2p20,bfoot_actuator_gain,0.0,bfoot_actuator_gain_0,5,61.956469061474536,777.3444158150808,25.745264763469912,833.2229892301893,25.996263370783208,829.8808288800877
vanilla,a2p20,bfoot_actuator_gain,0.1,bfoot_actuator_gain_0p1,5,71.52872461467459,651.4223441224829,32.79530047397052,711.1622075085877,39.57627936282957,703.6488456058842
vanilla,a2p20,bfoot_actuator_gain,0.2,bfoot_actuator_gain_0p2,5,52.73115078214291,548.615588180117,51.4043652813617,562.1081090474454,53.493658170996696,565.0857298031285
vanilla,a2p20,bfoot_actuator_gain,0.3,bfoot_actuator_gain_0p3,5,52.040460392912244,460.474456131972,68.64119022502855,429.40651775775433,71.91079010416293,432.8857399996821
vanilla,a2p20,bfoot_actuator_gain,0.4,bfoot_actuator_gain_0p4,5,68.06803029034805,299.317197245755,76.16870413410933,305.72050022371883,75.43280927666538,304.2229346076382
vanilla,a2p20,bfoot_actuator_gain,0.5,bfoot_actuator_gain_0p5,5,58.09371682502338,184.6094776285878,57.346923068364184,185.104547071397,58.40454829395367,188.86846583206804
vanilla,a2p20,bfoot_actuator_gain,0.6,bfoot_actuator_gain_0p6,5,68.4444702523253,135.71325230563457,65.34205949612756,153.42525026866883,61.46625515137239,153.2471470982714
vanilla,a2p20,bfoot_actuator_gain,0.7,bfoot_actuator_gain_0p7,5,46.80650807184757,62.15944871609571,35.151234560247346,80.51308137704906,37.37165426673114,74.6262449276791
vanilla,a2p20,bfoot_actuator_gain,0.8,bfoot_actuator_gain_0p8,5,35.96804242497815,52.1503572045707,30.88849481976258,57.493275972428954,32.82490308070014,56.45915698373134
vanilla,a2p20,bfoot_actuator_gain,0.9,bfoot_actuator_gain_0p9,5,0.8179696354843145,14.166790102233199,-1.3254469551459351,19.07934093890078,1.549666082367412,18.15619905538857
vanilla,a2p20,bfoot_actuator_gain,1.0,bfoot_actuator_gain_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p20,bfoot_actuator_gain,1.1,bfoot_actuator_gain_1p1,5,22.024699830805503,27.352316582700286,21.986904790891366,21.836231080014635,21.675123045807503,20.902594041552646
vanilla,a2p20,bfoot_actuator_gain,1.3,bfoot_actuator_gain_1p3,5,28.566420478226927,31.662685134921684,37.19600681613046,39.31039931808371,31.961003382779428,35.20120052688142
