axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
friction,vanilla,1802.864619732139,729.5035397706192,0.0,0.0,0,0
friction,a1e9,2314.4022904266644,754.8196923370783,-148.0836303183073,247.0552432384351,2,10
friction,a2p20,1781.591742616686,738.0770902701316,-43.378908858538196,113.03541302479434,3,10
friction,a2p40,1879.6107326863632,723.5600531598733,-37.11369072862308,108.8081825930982,1,10
friction,a2p55,2228.8902524826653,1000.2631720960708,-101.17059672137214,233.6696388456956,2,10
friction,a2p65,1818.0553826494966,842.7791321786377,-76.9541463203324,148.82225901143448,1,10
friction,a2p70,1457.4773154392597,86.49553338466576,-0.7953938959724383,85.13309102436378,6,10
friction,a2p75,1406.7696302516433,47.03955696187454,-17.162361336960362,102.11263795674093,3,10
friction,a2p80,1757.9624349817434,753.4453538530049,45.89846008794912,185.6389567238219,7,10
gear,vanilla,1833.5687815063125,736.7866969197125,0.0,0.0,0,0
gear,a1e9,2240.405143845169,773.7344185236656,-203.78686829651488,413.01273364312436,1,10
gear,a2p20,1798.1952132446436,769.2607505265656,-47.71952602824962,918.7087855784769,4,10
gear,a2p40,1876.0229116708547,772.5221661068566,-68.41948579044951,185.05677666286323,2,10
gear,a2p55,2203.6907660331885,944.472145304366,-263.3877687887873,706.4709993022416,0,10
gear,a2p65,1749.0778144045016,705.276563915244,8.72656380185867,240.82948018653875,3,10
gear,a2p70,1458.465906455011,78.0053500134761,290.16847790811187,575.7935060833215,9,10
gear,a2p75,1407.0574958256966,46.07565953594178,283.3853447121355,604.5802550743823,9,10
gear,a2p80,1820.0417895532905,855.9665659329355,-85.01169271733194,962.0812467755798,4,10
gravity,vanilla,1343.821900982982,418.7540258460025,0.0,0.0,0,0
gravity,a1e9,1405.7968937791632,452.91969678501374,9.507609513364168,228.89033095214026,5,10
gravity,a2p20,1293.4282560662716,431.335750810996,-1.814843842331157,286.2711543868964,7,10
gravity,a2p40,1296.1893292984234,419.2919181610064,-91.91772030591028,156.99045148382436,3,10
gravity,a2p55,1623.3443529813458,675.6588790723262,-48.37622817583232,139.41907869745205,5,10
gravity,a2p65,1259.765425790809,503.24469317704126,83.486678344612,133.61582749800684,10,10
gravity,a2p70,1115.2134062902228,89.19689466779646,49.71583481179878,178.0086525908178,8,10
gravity,a2p75,1082.153595272874,48.936378794819596,32.40880189999801,186.38929873859223,5,10
gravity,a2p80,1352.2135830679913,716.7179423804972,13.52138789284416,264.942629171881,6,10
mass,vanilla,1827.7395964871491,725.2091644890115,0.0,0.0,0,0
mass,a1e9,2304.165200036763,772.9338806794023,-191.37748663268198,295.3209870829314,0,10
mass,a2p20,1777.8505985757226,780.8323763404968,92.83817632812611,438.56150867195555,7,10
mass,a2p40,1870.6472579364818,698.5144769572795,5.967233413749364,172.18130476608232,5,10
mass,a2p55,2184.8877206358043,977.2723194068675,-89.98084198243944,284.8536155959272,5,10
mass,a2p65,1760.5420340780329,735.2039828172074,52.29855755827996,168.18579404076803,6,10
mass,a2p70,1446.5773746197797,89.74316153902039,189.73166104919488,266.696358499051,10,10
mass,a2p75,1407.622668098227,43.66801255376516,136.56854946046963,321.337251339534,10,10
mass,a2p80,1829.1161127980351,858.7031733564035,-106.27890783153332,537.771401338154,1,10
