model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
vanilla,action_noise,0.0,action_noise_0,5,1826.4785691551672,733.5819185407854,1859.5919334829673,798.7437083667194,1861.8879053446417,798.2683827728802,1467.8747690450807
vanilla,action_noise,0.05,action_noise_0p05,5,1855.2959412885623,794.9785803175073,1861.867862423164,812.5834710523712,1863.9112266275629,812.1824831040421,1466.1731554609635
vanilla,action_noise,0.1,action_noise_0p1,5,1811.3185902659275,749.7724192225835,1828.2150122894272,790.3827002502907,1828.7858685785818,787.8445618638509,1443.217016188796
vanilla,action_noise,0.15,action_noise_0p15,5,1716.11415053232,726.6693860852395,1789.2793993855405,770.624608535229,1783.1661413508396,759.8765933260325,1369.989981303125
vanilla,action_noise,0.2,action_noise_0p2,5,1704.6580329185406,717.2328657549855,1748.51477692694,765.600432515445,1742.3538628546917,755.5023960556518,1356.2542030223783
vanilla,action_noise,0.25,action_noise_0p25,5,1638.3761125448805,625.4858535344371,1695.2577065577545,738.2936206402113,1694.586091721371,738.4690475786471,1325.4374078726776
vanilla,action_noise,0.3,action_noise_0p3,5,1514.0632442235915,511.9180047856562,1609.2945007305866,687.9921565486588,1580.6017957445647,630.372053669852,1262.5257491884124
vanilla,action_noise,0.35,action_noise_0p35,5,1404.2429782909317,432.921684408436,1534.5719821053467,652.2088084224704,1495.7245515976197,576.3409575156013,1223.1212332092475
vanilla,action_noise,0.4,action_noise_0p4,5,1340.0004761472537,419.74149830821864,1448.686750006545,622.951906737098,1431.3418100289796,591.9053826155779,1151.8518811465526
vanilla,action_noise,0.45,action_noise_0p45,5,1244.6588334560206,368.1891129477535,1309.9037616248847,497.0627634534097,1303.179114764911,480.6867662388544,1082.7918165052374
vanilla,action_noise,0.5,action_noise_0p5,5,1117.2231744335784,304.66639649939196,1201.1767747121262,419.81098010967276,1182.0477119086463,387.1947860289168,1004.6436669597964
vanilla,action_noise_bernoulli,0.0,action_noise_bernoulli_0,5,1844.173702556093,819.7424864702907,1858.928260335121,802.5210657677491,1860.2837183239048,802.8157311652158,1453.962422622011
vanilla,action_noise_bernoulli,0.05,action_noise_bernoulli_0p05,5,1454.6450927722692,483.95045019089633,1502.1072731482977,578.5634596039887,1501.4512866015,578.9168838308575,1216.6633069347265
vanilla,action_noise_bernoulli,0.1,action_noise_bernoulli_0p1,5,1077.0820587011988,109.82032764704604,1085.3072578114916,123.81659334858456,1090.3169606707515,130.37681759081806,1040.3887651455316
vanilla,action_noise_bernoulli,0.15,action_noise_bernoulli_0p15,4,825.2612512963349,72.10312639911842,808.4200627790972,53.93675478764271,827.9025408018063,38.188213838849855,853.3785654276696
vanilla,state_noise,0.0,state_noise_0,5,1845.902881112857,787.7613515804335,1853.5695437641007,796.5901868493186,1854.9995714944405,795.1460108092666,1462.4225390981294
vanilla,state_noise,0.05,state_noise_0p05,5,1817.363484759937,739.0961198769487,1840.7676030090345,782.3830612015213,1841.6933465603524,787.5223198528179,1459.6242292187283
vanilla,state_noise,0.1,state_noise_0p1,5,1732.9818424688888,616.055625644465,1802.0837298437677,742.8670423907683,1799.5806815598328,738.6357694755422,1433.8896673963402
vanilla,state_noise,0.15,state_noise_0p15,5,1584.824970241701,415.52343446932144,1694.1137486210002,633.9111298334554,1676.6622485864445,589.9562196816609,1391.4854093374277
vanilla,state_noise,0.2,state_noise_0p2,5,1552.5955068953845,445.8456666967315,1606.8253282559924,552.5035248637563,1609.2762721732972,553.1014071651251,1345.9582573648759
vanilla,state_noise,0.25,state_noise_0p25,5,1289.5263588910598,57.72132911888849,1339.3697776722086,136.72377275889264,1300.9775669814549,72.25015253207916,1280.4561498184732
vanilla,state_noise,0.3,state_noise_0p3,5,1222.3295710209964,48.5704234944302,1221.8619037081949,48.71197186273034,1236.5899989235152,69.2422803060824,1220.2093072762375
vanilla,state_noise,0.35,state_noise_0p35,5,1039.2741010205677,162.23255513211262,1005.2564263751052,247.1579783610625,1023.0215937899029,203.9382574091657,1097.9264438368436
vanilla,state_noise,0.4,state_noise_0p4,5,950.7027763997419,173.37732191970935,924.1538896597938,226.81979893923878,933.2205570786143,213.1735114677023,1009.3963314084807
vanilla,state_noise,0.45,state_noise_0p45,5,843.0543850861555,188.35797054901556,861.0096287251984,181.6376478809115,842.0209114807463,212.16157109609148,900.2617906769811
vanilla,state_noise,0.5,state_noise_0p5,5,740.6651442703612,254.7045356464075,741.2602605868507,259.4728671520062,739.7548157980812,261.9628014581499,847.9370719627468
