axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
friction,vanilla,2042.3654336342333,781.8965944107964,0.0,0.0,0,0
friction,a1e9,1414.168733752345,75.61832222441404,26.704798793598947,124.58438329142966,7,10
friction,a2p85,1815.9461380920015,856.7660114351992,-12.484064213859847,174.5435113126517,5,10
friction,a2p95,2095.867192911536,800.1388616774423,-26.687862910713164,188.0184899056444,5,10
friction,a3p00,1418.5611692640528,48.140043494768676,38.706488002172605,119.36118416128946,7,10
friction,a3p05,1387.274115457516,49.0951177259041,32.387177782322865,133.04739082619977,7,10
friction,a3p10,1842.9503736722413,732.3864646596177,13.734258297307298,109.47129111727145,4,10
friction,a3p20,1732.437461123934,627.7998858780904,-45.52865067538839,229.08342649661705,4,10
friction,a3p50,1359.1862772656286,26.59763996578687,15.324364280577,103.18785314538152,5,10
friction,a3p70,1447.2898440021168,76.48058929971133,-20.114436254510885,110.60957486306886,4,10
friction,a4p00,2383.985459483845,1124.0685164462948,-54.141127044635994,158.26610347431532,3,10
gear,vanilla,2059.634534556498,771.2497549480995,0.0,0.0,0,0
gear,a1e9,1491.589260874734,216.29642533870125,411.72777893852236,733.5354672775711,9,10
gear,a2p85,1818.8772171657176,860.9436802108902,277.3118219176048,945.6412637808237,10,10
gear,a2p95,2035.2654164449755,722.9705542258556,78.19684051341625,1069.948129737791,7,10
gear,a3p00,1448.8946467716846,94.42429700741319,490.18528756971716,683.435633017693,10,10
gear,a3p05,1394.244561529642,66.7955952815825,473.498144302834,621.2918513226547,9,10
gear,a3p10,1869.2216763818299,761.7781153315777,194.42448049184767,413.7240021888148,10,10
gear,a3p20,1720.9184318881767,624.6930895069872,266.63932499456155,940.4644162433564,9,10
gear,a3p50,1374.3118394399285,31.557267435754994,513.1335124925196,641.2112825486734,10,10
gear,a3p70,1436.0757949783567,79.58380170926475,486.44971352933965,678.1845600401023,10,10
gear,a4p00,2372.2529160794647,1066.5776931398516,-152.09531417456665,857.2518028550212,1,10
gravity,vanilla,1383.4334725575525,418.4634069425863,0.0,0.0,0,0
gravity,a1e9,931.1615456968191,122.99498112168702,103.2816929947913,257.3375469230147,7,10
gravity,a2p85,1233.2936610684287,555.2918621457759,45.02117002140703,337.8237835723436,7,10
gravity,a2p95,1611.660918273227,646.3324565846717,46.84275969662337,270.8307619343326,6,10
gravity,a3p00,1030.319007913258,126.75166899609253,21.164288968265755,303.6014340525245,5,10
gravity,a3p05,956.93149252351,129.92795451674718,28.304694682463055,299.5530979013639,6,10
gravity,a3p10,1313.7231751266268,447.5298157996998,71.4450606030587,155.167588166548,8,10
gravity,a3p20,1204.915499705854,381.7430121439438,61.620512432020895,287.1424859285245,8,10
gravity,a3p50,956.2352541023268,80.50702384255618,81.1661687487501,236.39547490027226,6,10
gravity,a3p70,933.9703611706803,231.07732021814743,90.2529378351491,257.19815546204075,7,10
gravity,a4p00,1529.2584430833203,727.4904063686727,65.08673499108541,376.05452819172325,10,10
mass,vanilla,2090.14729109308,812.0828069681637,0.0,0.0,0,0
mass,a1e9,1445.2607366736424,129.34018113121817,324.98092791557826,421.3893189459317,10,10
mass,a2p85,1831.3944049163565,882.131948859565,116.81722331440385,697.833166352824,7,10
mass,a2p95,2105.3611411353418,825.361605906813,60.59176741405897,727.6326329456008,6,10
mass,a3p00,1428.2970953975027,127.06689690602657,351.423519528336,498.0059681067728,10,10
mass,a3p05,1433.9481095544634,44.55042323747606,260.76502826485864,420.5188978909292,9,10
mass,a3p10,1871.3555582270462,764.8616576982655,122.05592771984013,335.64646967851843,9,10
mass,a3p20,1740.8368293764674,615.2264923932834,127.48116991231461,593.8426596510907,9,10
mass,a3p50,1370.900723580698,28.23930762678331,362.5415327798144,374.13248907111154,10,10
mass,a3p70,1396.919071308972,90.70108606881364,326.5381903619474,441.68897948212464,10,10
mass,a4p00,2351.8226682138625,1068.2259160610993,-41.805341827113374,626.5258299038418,5,10
