axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
friction,vanilla,1738.5386491878312,657.4649000213993,0.0,0.0,0,0
friction,a1e9,1735.1492018635654,398.9836458384173,116.23922633091482,204.782489976383,10,10
friction,a2p70,1327.5232856003925,0.0,18.108555483469694,0.0,9,10
friction,a3p00,1421.9714872008121,117.26040869379464,112.3058811484646,268.7621199609019,10,10
friction,a3p05,1397.4341521477186,51.139835862290106,15.941212705619416,99.32249557931354,6,10
friction,a3p10,1365.9738552145832,71.6278444921444,109.2210058496443,190.9182521151402,10,10
friction,a3p20,1434.5629714454103,83.42469756527106,103.32068364457996,192.04107620387,10,10
friction,a3p40,1391.4597917519268,95.39822495351046,93.9849773203003,208.88804292098843,10,10
friction,a3p70,1416.260077896753,85.5868261695483,108.96295663415712,186.12956417086184,10,10
gear,vanilla,1698.6977626357527,584.2038077790346,0.0,0.0,0,0
gear,a1e9,1845.2851942175294,512.0741224277017,62.807755338059835,195.90360320769832,8,10
gear,a2p70,1338.1691679922785,0.0,280.023111686661,0.0,10,10
gear,a3p00,1411.3321893043574,108.63805839087144,254.63937096736913,792.9803760521387,10,10
gear,a3p05,1423.8196555514367,63.769096121526985,-35.491319054929,348.3076004918917,4,10
gear,a3p10,1393.6981485717056,51.91921524869678,265.13720762443603,559.8576425037468,10,10
gear,a3p20,1441.7822012092715,79.21957944626003,250.73773174943443,492.28273630930727,10,10
gear,a3p40,1402.342514455446,78.62680112422422,256.0055826550945,577.774213890203,10,10
gear,a3p70,1407.4545777450098,96.59126524918331,271.3273027047752,643.0378682627145,10,10
gravity,vanilla,1054.9400031465284,85.07149127260485,0.0,0.0,0,0
gravity,a1e9,1177.3147176777456,127.62085020857604,-69.05129393251978,145.13001525690615,1,11
gravity,a2p70,979.5147257067571,0.0,-54.266243919381445,0.0,2,11
gravity,a3p00,1066.9671953813227,132.93020296436998,-63.5573405225369,392.40650190133294,5,11
gravity,a3p05,952.787992932581,175.2891297822925,-109.1539098582421,206.59282373629657,3,11
gravity,a3p10,797.1772491936117,104.37007614853076,16.18598186648351,291.27540981649076,7,11
gravity,a3p20,1072.4102234358295,141.34416925553504,-60.343970895831944,325.580257254885,5,11
gravity,a3p40,1020.3906646736307,146.57826090043415,-26.071611705062818,292.3752574886025,5,11
gravity,a3p70,997.9723010167581,147.66008724755656,-59.81368371353967,336.78896872831564,4,11
mass,vanilla,1626.7203081739963,461.6983621253704,0.0,0.0,0,0
mass,a1e9,1795.3253579724671,467.6775805552042,12.900962883662965,203.49060521885536,3,10
mass,a2p70,1333.0207759277694,0.0,135.58408118968754,0.0,8,10
mass,a3p00,1429.2634719213029,105.75583782224118,155.04408191279384,444.2049382167776,7,10
mass,a3p05,1425.7778504269784,52.66913682429982,-8.039400284924337,233.59306078092587,3,10
mass,a3p10,1397.3806141068549,57.68472943835169,154.8693880515362,310.44557349453845,7,10
mass,a3p20,1438.9605538377832,86.4769172103079,101.17024040541521,260.33266498910666,7,10
mass,a3p40,1399.1000128012843,90.53164499906943,143.1010861222204,294.16243827233603,7,10
mass,a3p70,1384.2130963731418,104.9813273831985,118.14063263102602,289.41140639350914,6,10
