baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a1e9,friction,0.5,friction_0p5,4,79.13508358905159,97.94603161354956,54.133608046092604,57.548467262306,45.04237910858512,38.35772052952102
vanilla,a1e9,friction,0.6,friction_0p6,4,188.491683534007,338.3893869716065,13.528943813758303,41.316913031104136,33.32028595241212,21.649015894912765
vanilla,a1e9,friction,0.7,friction_0p7,4,104.71205401677145,186.90797269252386,6.233263380040171,25.468794642965538,8.004953501745149,24.55950766451135
vanilla,a1e9,friction,0.8,friction_0p8,4,161.7787898356711,300.31589818734824,19.448227243933104,26.56897373200425,31.241105468055366,36.8476172170737
vanilla,a1e9,friction,0.9,friction_0p9,4,131.54296815882287,214.65847955005177,24.291733834930938,9.286705507673096,31.98097050791472,23.111393841259158
vanilla,a1e9,friction,1.0,friction_1,4,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a1e9,friction,1.1,friction_1p1,4,184.38660146709208,340.46308661078604,35.41846455615479,40.46416065813033,48.38396470615993,65.69356734237826
vanilla,a1e9,friction,1.3,friction_1p3,4,74.94087868975254,141.6218272525002,-104.40128462724209,218.6298216163623,-67.54881402989332,141.838668026428
vanilla,a1e9,friction,1.5,friction_1p5,4,87.57965235327549,130.14716471065714,-13.830383224762613,84.89731678572907,-4.897795568699678,58.8740835246272
vanilla,a1e9,friction,1.7,friction_1p7,4,27.80013679082049,37.355224543034176,10.9315633235355,14.694015956118355,-32.60651767269542,93.12295710544862
vanilla,a1e9,friction,2.0,friction_2,4,122.0244148738837,260.0198276317726,-0.3982937340363151,37.685393918922045,17.003901302849954,55.13908174199585
vanilla,a1e9,gear,0.5,gear_0p5,4,65.17861029222996,36.099984373264036,60.53525117848949,72.95661426857919,44.880210849814375,73.08234150996903
vanilla,a1e9,gear,0.6,gear_0p6,4,173.2612596869291,315.3955568438447,237.094580670841,304.2152055480703,185.29349058165556,352.62310355877094
vanilla,a1e9,gear,0.7,gear_0p7,4,179.27414129196438,325.59061726727754,283.80912259289147,487.7440590744423,231.16025871519415,422.8872183393035
vanilla,a1e9,gear,0.8,gear_0p8,4,17.270769320074578,41.85332981514882,-28.465738061887293,42.26359257300798,-37.49562035376661,43.44013020752475
vanilla,a1e9,gear,0.9,gear_0p9,4,-29.914576383355893,26.46991804894361,-33.24768109773862,36.64311082127869,-42.52204310945558,15.181305245154377
vanilla,a1e9,gear,1.0,gear_1,4,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a1e9,gear,1.1,gear_1p1,4,66.98130275057378,88.88753195432189,-21.13571758321524,80.39805379371235,53.224308581762386,60.14085280031661
vanilla,a1e9,gear,1.3,gear_1p3,4,43.69169849802876,101.90518945929938,-14.73972100806128,135.98458909820883,-1.7848897475358285,121.63005556247596
vanilla,a1e9,gear,1.5,gear_1p5,4,-127.18150542550981,103.53757727811379,-94.32560204783334,150.3282707322356,-155.06659738557147,239.83669179435742
vanilla,a1e9,gear,1.7,gear_1p7,4,177.03466430456834,500.2241583916085,179.93564771811432,375.5677926085118,210.01809515732918,434.67539019844884
vanilla,a1e9,gear,2.0,gear_2,4,62.48118904509528,419.0721686451612,-42.42979753053166,481.7565232482474,8.531094498431372,483.38593638776865
vanilla,a1e9,gravity,0.0,gravity_0,4,-39.52787720168354,28.453213612678482,-34.37501796243572,67.48356869467713,-51.9295711969711,95.78018112384981
vanilla,a1e9,gravity,0.5,gravity_0p5,4,-108.40918797537748,141.8544596853898,-91.62564088575289,211.68747594019922,-74.0634359833179,156.7329564967415
vanilla,a1e9,gravity,0.6,gravity_0p6,4,-118.09435938057314,167.15919543025674,-82.26601014858801,168.12159820611657,-87.99355371219423,172.15023830714873
vanilla,a1e9,gravity,0.7,gravity_0p7,4,-80.96419446584846,133.88444721074734,-47.02611679348871,107.1705898064633,-45.290311824483126,86.79498212713617
vanilla,a1e9,gravity,0.8,gravity_0p8,4,-113.76043521096304,179.60669584813814,-84.34188129390037,179.92964030369046,-90.59027708240478,171.98025284809304
vanilla,a1e9,gravity,0.9,gravity_0p9,4,-42.49070512585999,59.83061347682731,-53.513890981275665,84.38231437335374,-36.70030575601345,43.505400893809856
vanilla,a1e9,gravity,1.0,gravity_1,4,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a1e9,gravity,1.1,gravity_1p1,4,-16.877368196873988,40.55482117660898,13.120809585324366,22.524862823581802,5.6047474453959865,15.353275743999074
vanilla,a1e9,gravity,1.3,gravity_1p3,4,-164.81672003876875,253.80738589335064,-264.273021212456,501.00067771952644,-198.27871447252838,358.28029286000543
vanilla,a1e9,gravity,1.5,gravity_1p5,4,-93.99536369567096,175.62372388058085,-122.24081193406496,240.70143062276938,-94.10534430137892,176.9562379126605
vanilla,a1e9,gravity,1.7,gravity_1p7,4,29.19525111902979,145.7353038421788,-83.67685725341173,174.90774310073635,-65.10067461768705,174.55996237370945
vanilla,a1e9,gravity,2.0,gravity_2,4,-9.82327308512788,269.92030776921035,-79.12102137736017,163.9744660488554,-51.352318587626826,186.76436301380886
vanilla,a1e9,mass,0.5,mass_0p5,4,99.11580341387526,487.9232477601252,225.19961795763345,456.9591650047186,142.58597973035168,473.8207269232612
vanilla,a1e9,mass,0.6,mass_0p6,4,-60.63511079371864,101.51910885287604,43.765290586064054,19.93672282813758,50.35822109114571,35.16374675619134
vanilla,a1e9,mass,0.7,mass_0p7,4,-58.67578459243697,170.6400947761988,-68.94602345722882,212.66142982685517,-45.099771487081625,161.93181619259073
vanilla,a1e9,mass,0.8,mass_0p8,4,-37.55474284559233,95.6952087022265,56.48442137352828,80.61646684342449,18.26923564942632,35.08685467095006
vanilla,a1e9,mass,0.9,mass_0p9,4,-26.92946816482487,103.61067729406216,-43.58278843131461,148.916407014739,-55.476372643750096,168.03713178507238
vanilla,a1e9,mass,1.0,mass_1,4,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a1e9,mass,1.1,mass_1p1,4,-81.76162474103575,98.56180718948104,-34.43580880225085,30.970154183206297,-53.06627471107379,60.532659491845884
vanilla,a1e9,mass,1.3,mass_1p3,4,-81.77980411887722,103.25730953725932,-70.68242644900744,91.33098661192228,-75.98405552733504,96.35679672142734
vanilla,a1e9,mass,1.5,mass_1p5,4,-65.74789796215265,132.7484994805706,-58.471845924003134,73.83846772967235,-73.62115704373497,85.32841040309638
vanilla,a1e9,mass,1.7,mass_1p7,4,91.63961733643697,238.60426561056403,-25.575527880920816,69.43271258222211,62.76216867279507,177.69892899442726
vanilla,a1e9,mass,2.0,mass_2,4,351.33864130495584,502.3458329851899,555.1230924068409,489.7258064909041,496.513387302487,502.42760582335086
vanilla,a2p70,friction,0.5,friction_0p5,1,44.837787879288044,0.0,41.57328715431436,0.0,38.94226052273916,0.0
vanilla,a2p70,friction,0.6,friction_0p6,1,18.673834206806987,0.0,21.69895802139945,0.0,17.587597743377046,0.0
vanilla,a2p70,friction,0.7,friction_0p7,1,5.57432124257889,0.0,14.759271417708533,0.0,11.383016295117159,0.0
vanilla,a2p70,friction,0.8,friction_0p8,1,-6.596744243907551,0.0,-13.786378013405056,0.0,-8.9090262795321,0.0
vanilla,a2p70,friction,0.9,friction_0p9,1,15.307570560048362,0.0,-0.3824773646531412,0.0,-2.763328715030866,0.0
vanilla,a2p70,friction,1.0,friction_1,1,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p70,friction,1.1,friction_1p1,1,13.029690295698856,0.0,24.359708177371886,0.0,15.935363246686848,0.0
vanilla,a2p70,friction,1.3,friction_1p3,1,22.026994897985332,0.0,26.49521831558104,0.0,23.184930094261517,0.0
vanilla,a2p70,friction,1.5,friction_1p5,1,26.983354793265335,0.0,22.61313301562018,0.0,19.890703028836242,0.0
