model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a1e9,action_noise,0.05,action_noise_0p05,5,1726.7243917365784,410.7536824385363,1825.404346213943,504.0330795514841,1809.2637836882247,495.9316053225188,1612.3958999461804
a1e9,action_noise,0.1,action_noise_0p1,5,1755.5092965748456,445.3410783357942,1827.9940750083576,532.8845080807565,1814.7913718232728,515.4666255660482,1656.9399485830133
a1e9,action_noise,0.15,action_noise_0p15,5,1652.357397917829,349.5274487373138,1784.2075014077843,512.1240581468337,1768.7230898236617,494.4232270987473,1573.258450340588
a1e9,action_noise,0.2,action_noise_0p2,5,1647.8536761192277,388.81422204697435,1750.100042432301,498.9262601403068,1736.8716143896854,489.9208336560765,1533.8687520359056
a1e9,action_noise,0.25,action_noise_0p25,5,1601.0598988130937,387.4093677054886,1703.5468526292163,501.79673120911775,1690.3684727811262,488.85309261490755,1505.9885870245855
a1e9,action_noise,0.3,action_noise_0p3,5,1547.3930977175398,364.1934987947277,1612.0861197309264,450.5972987512845,1617.372873250421,456.22113785434885,1460.121895206007
a1e9,action_noise,0.35,action_noise_0p35,5,1444.7478165737305,390.8745763612029,1489.022640533005,423.9622579361093,1481.0708923960779,421.19570447498444,1280.0041337470193
a1e9,action_noise,0.4,action_noise_0p4,5,1363.311692269107,309.49885870657386,1436.694658956268,395.5025672248326,1423.7092977154423,399.56741562616975,1274.0098664350205
a1e9,action_noise,0.45,action_noise_0p45,5,1227.4377124490813,228.76665749659315,1282.850832491765,362.69076960571937,1273.0857706004851,309.98453314459624,1153.763852173931
a1e9,action_noise,0.5,action_noise_0p5,5,1205.0278680224587,304.2157408916585,1305.803433929467,431.1650509197895,1310.8122073219101,438.55194647223414,1128.2673733991599
a1e9,action_noise_bernoulli,0.05,action_noise_bernoulli_0p05,5,1465.6852496365323,329.4633063685458,1566.7797708786788,444.14522167299884,1539.3002190815537,409.02646529754855,1391.4768954502488
a1e9,action_noise_bernoulli,0.1,action_noise_bernoulli_0p1,5,1230.5868280896198,287.0052700477728,1304.1922223236386,355.72725751213176,1286.916113949382,343.24926294219034,1145.4012990635517
a1e9,action_noise_bernoulli,0.15,action_noise_bernoulli_0p15,5,971.2569080254325,152.36528486523358,1076.131857371241,273.68442056539607,1037.6967939275269,234.30443395118093,959.4592268303013
a1e9,action_noise_bernoulli,0.2,action_noise_bernoulli_0p2,5,683.1012353084468,34.353845103425016,713.4808849327835,38.15466614072551,704.9536246058681,38.5114155478741,678.163475758749
a1e9,action_noise_bernoulli,0.25,action_noise_bernoulli_0p25,5,591.3993972724718,104.03833620299505,614.9230625656209,137.98617627147289,608.4734429701153,126.64292544026036,552.6249167161764
a1e9,action_noise_bernoulli,0.3,action_noise_bernoulli_0p3,5,396.1590686466875,64.58950942952868,402.1106691288705,89.3262599187502,397.9920824085915,82.9124339011355,407.34908262935306
a1e9,action_noise_bernoulli,0.35,action_noise_bernoulli_0p35,5,294.1820746842861,41.52462326914327,292.81124888805914,55.63142644170036,299.6237384805997,39.29878769200661,285.1956071373857
a1e9,action_noise_bernoulli,0.4,action_noise_bernoulli_0p4,5,182.57548929849452,62.70176498525394,178.20101266741472,102.99028486998562,173.80901620389437,82.42271283495924,189.8484853921885
a1e9,action_noise_bernoulli,0.45,action_noise_bernoulli_0p45,5,102.32985415116825,49.69985705716688,101.39624520572815,59.99334757382435,102.28534836363391,54.2838275177645,99.77848236871652
a1e9,action_noise_bernoulli,0.5,action_noise_bernoulli_0p5,5,27.7864763669234,53.715011354782575,14.857010161018128,71.16582657915399,23.31763782191975,59.316710213737586,18.72347732068143
a1e9,state_noise,0.05,state_noise_0p05,5,1729.5237747860428,393.50303338183414,1845.244427965524,531.3813705172657,1820.9487888416086,501.76756041700884,1658.6108646182226
a1e9,state_noise,0.1,state_noise_0p1,5,1737.880155457485,436.3287554791108,1794.982249120883,500.4400991376587,1797.519928388622,501.81920126218836,1657.688389663111
a1e9,state_noise,0.15,state_noise_0p15,5,1703.2790669884787,481.1082305878661,1763.671103102611,537.2917196008897,1754.5820654767545,520.658539771023,1549.3340983422995
a1e9,state_noise,0.2,state_noise_0p2,5,1635.4813925488793,403.5416427341811,1707.9325771794297,482.974336489049,1691.3637686611978,468.3251236701395,1549.1773421335117
a1e9,state_noise,0.25,state_noise_0p25,5,1565.6829019924023,396.22163082581807,1618.1359122998085,453.67313736856966,1610.8682624960095,448.8007410152473,1526.311107751015
a1e9,state_noise,0.3,state_noise_0p3,5,1465.424641459283,355.83410012289585,1534.869009272718,432.8321750872815,1511.516578363259,408.72690133579124,1395.467799896546
a1e9,state_noise,0.35,state_noise_0p35,5,1264.69189399959,195.74017678809432,1358.5771033164747,301.79735715047644,1337.190512292561,278.6781606572769,1243.7200972218232
a1e9,state_noise,0.4,state_noise_0p4,5,1170.395415049384,184.880708305505,1267.062154497927,306.8869449039007,1254.3068136547295,284.63698662163404,1144.2877238168094
a1e9,state_noise,0.45,state_noise_0p45,5,1069.5524342145661,167.59609685775186,1155.4016767655698,258.6044746007125,1130.1790226621472,235.69631111723328,1055.0316335382017
a1e9,state_noise,0.5,state_noise_0p5,5,971.5891831026438,151.6556514636671,1049.168183247116,226.2264552459339,1027.6526424967315,201.6108836848419,943.7927700017375
a2p70,action_noise,0.05,action_noise_0p05,1,1321.422689103063,0.0,1316.0991854964313,0.0,1318.569467230181,0.0,1321.422689103063
a2p70,action_noise,0.1,action_noise_0p1,1,1315.4936925700663,0.0,1312.4270058843697,0.0,1313.7280836849486,0.0,1315.4936925700663
a2p70,action_noise,0.15,action_noise_0p15,1,1275.6534476282143,0.0,1281.479825281012,0.0,1284.3186004613817,0.0,1275.6534476282143
a2p70,action_noise,0.2,action_noise_0p2,1,1272.3738282294073,0.0,1274.558407401224,0.0,1272.4099550174458,0.0,1272.3738282294073
a2p70,action_noise,0.25,action_noise_0p25,1,1227.0122697863994,0.0,1229.759391809695,0.0,1226.8454433724232,0.0,1227.0122697863994
a2p70,action_noise,0.3,action_noise_0p3,1,1165.0554226381698,0.0,1178.2363909935807,0.0,1173.3781852294337,0.0,1165.0554226381698
a2p70,action_noise,0.35,action_noise_0p35,1,1105.0281385398894,0.0,1111.227820522016,0.0,1112.824415576622,0.0,1105.0281385398894
a2p70,action_noise,0.4,action_noise_0p4,1,1046.2289496782491,0.0,1065.33506673789,0.0,1058.6663414698965,0.0,1046.2289496782491
a2p70,action_noise,0.45,action_noise_0p45,1,982.4053390235797,0.0,986.5443343072727,0.0,988.0067987016552,0.0,982.4053390235797
a2p70,action_noise,0.5,action_noise_0p5,1,928.1069650532148,0.0,942.887845041417,0.0,934.2215423673326,0.0,928.1069650532148
a2p70,action_noise_bernoulli,0.05,action_noise_bernoulli_0p05,1,1170.8891676111284,0.0,1166.658999525372,0.0,1169.8690878442478,0.0,1170.8891676111284
a2p70,action_noise_bernoulli,0.1,action_noise_bernoulli_0p1,1,937.6787306566788,0.0,979.0405318057758,0.0,988.5335866249668,0.0,937.6787306566788
a2p70,action_noise_bernoulli,0.15,action_noise_bernoulli_0p15,1,816.2480605467915,0.0,815.3297463402433,0.0,813.4617962185692,0.0,816.2480605467915
a2p70,action_noise_bernoulli,0.2,action_noise_bernoulli_0p2,1,680.2914750272724,0.0,681.6825023759628,0.0,683.0054239135217,0.0,680.2914750272724
a2p70,action_noise_bernoulli,0.25,action_noise_bernoulli_0p25,1,572.9587737777229,0.0,565.2594480642506,0.0,575.9264850722069,0.0,572.9587737777229
a2p70,action_noise_bernoulli,0.3,action_noise_bernoulli_0p3,1,424.5330693912918,0.0,427.46300137168583,0.0,432.50455748681134,0.0,424.5330693912918
a2p70,action_noise_bernoulli,0.35,action_noise_bernoulli_0p35,1,324.6562349122048,0.0,331.19357005925053,0.0,338.1461634546205,0.0,324.6562349122048
a2p70,action_noise_bernoulli,0.4,action_noise_bernoulli_0p4,1,218.02461274489707,0.0,226.99099272791318,0.0,218.68006223281492,0.0,218.02461274489707
a2p70,action_noise_bernoulli,0.45,action_noise_bernoulli_0p45,1,142.26833941756794,0.0,147.30924130477524,0.0,143.10862310693273,0.0,142.26833941756794
