baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a2p20,action_noise,0.0,action_noise_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p20,action_noise,0.05,action_noise_0p05,5,-15.471642068503707,58.115934967783154,6.678667983037849,17.57982850808647,11.057981174280167,20.048572415038347
vanilla,a2p20,action_noise,0.1,action_noise_0p1,5,11.54982454011847,51.294096024262295,9.371297617595065,58.05487868636766,13.13673595080645,54.726350715584296
vanilla,a2p20,action_noise,0.15,action_noise_0p15,5,8.999562596423583,91.59311796670815,15.394852378608949,65.33842256363474,18.953961113090553,61.109645490994104
vanilla,a2p20,action_noise,0.2,action_noise_0p2,5,-0.8785847735318384,96.83303365872847,17.231358590133368,80.45684694144228,16.496545437364876,80.01617177560595
vanilla,a2p20,action_noise,0.25,action_noise_0p25,5,-33.15262699551372,170.57594922903462,-2.624226982748314,153.02384502693397,0.5586781807309762,159.06082117364022
vanilla,a2p20,action_noise,0.3,action_noise_0p3,5,-131.50687819496028,400.10592864315157,-35.92399344704158,222.39460458591182,-44.05300620497819,238.96090747475714
vanilla,a2p20,action_noise,0.35,action_noise_0p35,5,-50.46889521709786,453.66610287982394,-24.639816886999416,272.1275300662248,-30.15064018271255,281.89989172377005
vanilla,a2p20,action_noise,0.4,action_noise_0p4,5,-101.39188653634601,663.5706416608906,-59.97858773327148,403.5756805854787,-115.36260378059838,515.5157415508822
vanilla,a2p20,action_noise,0.45,action_noise_0p45,5,-181.16034447250632,840.5714850859341,-255.55971201406823,808.3138104187497,-218.98418528586836,756.1011544752304
vanilla,a2p20,action_noise,0.5,action_noise_0p5,5,-170.18589225840424,822.959374994768,-224.3878901636536,808.0941755072683,-200.07714851804403,780.3254768417045
vanilla,a2p20,action_noise_bernoulli,0.0,action_noise_bernoulli_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p20,action_noise_bernoulli,0.05,action_noise_bernoulli_0p05,5,-206.02013723442792,749.0338502815064,-273.1245060824544,775.5053497136165,-243.34896964895765,717.3266315690479
vanilla,a2p20,action_noise_bernoulli,0.1,action_noise_bernoulli_0p1,5,-134.3220238557166,1177.3796127313276,-272.6386679018296,1150.3963676242386,-220.04598104898545,1145.4591891362386
vanilla,a2p20,action_noise_bernoulli,0.15,action_noise_bernoulli_0p15,5,-202.33875340817855,1451.7989715733004,-299.860464368651,1426.7426649108909,-255.52585914847268,1462.5656018317627
vanilla,a2p20,action_noise_bernoulli,0.2,action_noise_bernoulli_0p2,5,-125.63642015243883,1473.163686948847,-129.92489421395763,1525.414953693775,-130.5186203668931,1509.2092670045638
vanilla,a2p20,action_noise_bernoulli,0.25,action_noise_bernoulli_0p25,5,-72.78661889005473,1574.3474386265057,-87.78233239848673,1625.775930477486,-84.14852996552618,1613.0618293759592
vanilla,a2p20,action_noise_bernoulli,0.3,action_noise_bernoulli_0p3,5,-84.75035142322903,1572.6796387526915,-101.22763223584995,1590.1649294793058,-98.67221692092453,1593.5752463938709
vanilla,a2p20,action_noise_bernoulli,0.35,action_noise_bernoulli_0p35,5,-58.72921869813408,1613.4467101630223,-51.27376958111704,1632.5477708851508,-47.252101886090124,1638.637846241345
vanilla,a2p20,action_noise_bernoulli,0.4,action_noise_bernoulli_0p4,5,-77.86655639396531,1575.415079353158,-71.8883250982296,1596.6321536208593,-76.01465107133663,1584.1530364687464
vanilla,a2p20,action_noise_bernoulli,0.45,action_noise_bernoulli_0p45,5,-78.69668388478863,1564.786184819672,-70.82176249133572,1543.528333381237,-77.98392554471188,1565.0507741111448
vanilla,a2p20,action_noise_bernoulli,0.5,action_noise_bernoulli_0p5,5,-57.13545698718976,1560.4655280803638,-50.44744750741097,1554.1178318768505,-54.31604369708198,1570.0024979949092
vanilla,a2p20,state_noise,0.0,state_noise_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p20,state_noise,0.05,state_noise_0p05,5,3.8524519194937965,36.765115125570546,3.997428400561785,49.93421323138879,8.142674158329509,45.349829533742785
vanilla,a2p20,state_noise,0.1,state_noise_0p1,5,-62.136867478790826,221.34544000080936,-10.700842137833707,126.39126476373512,-7.489222110332048,125.9834510175884
vanilla,a2p20,state_noise,0.15,state_noise_0p15,5,-92.86909329645732,357.66630457835345,-55.286613319832895,291.39392094469986,-58.81094364992041,299.441571735809
vanilla,a2p20,state_noise,0.2,state_noise_0p2,5,-190.58793588858362,769.0553366221316,-175.68642514731724,680.8355996556053,-178.07813519658944,697.2346314911023
vanilla,a2p20,state_noise,0.25,state_noise_0p25,5,-118.15926824963272,976.0955854622486,-176.25028049876977,863.9493098244275,-159.97556030929076,855.1731574537833
vanilla,a2p20,state_noise,0.3,state_noise_0p3,5,-139.9278178884078,1239.286480929966,-226.56729650059287,1255.1976972157465,-174.01065578102094,1241.79094341098
vanilla,a2p20,state_noise,0.35,state_noise_0p35,5,-43.85599197578195,1447.842733015738,-76.44025565507873,1385.6414083441598,-23.384640190410074,1432.1408953612352
