axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
friction_mass,vanilla,2749.9241149750733,528.5212182045851,0.0,0.0,0,0
friction_mass,a2p85,2138.2454931347465,1043.425416947728,476.67298981149025,1256.2977034876835,14,14
friction_mass,a2p95,3032.417300461849,822.07010309961,-239.57473037988,1072.966768782794,2,14
friction_mass,a3p00,2816.9111870549423,480.3056097438753,-52.74007907712947,727.2282707516675,3,14
friction_mass,a3p05,2718.1871939946773,470.36741019966144,97.24668487776913,995.5228534657291,11,14
friction_mass,a3p10,2958.272185411044,353.6469504361427,-200.83710870337308,635.8853252393576,1,14
friction_mass,a3p20,2243.998914333437,834.2517675222089,306.33615936659123,722.0930564626534,13,14
friction_mass,a3p50,2648.534676454338,833.5803661227465,-80.71494049087993,423.09716339375944,7,14
friction_mass,a3p70,2678.8879818424316,579.570956577811,105.29485332222698,852.139903921107,10,14
friction_mass,a4p00,3020.2925456978564,459.8158007867789,-173.73867617098296,686.7012531760531,2,14
friction_mass_damping,vanilla,2814.7930330732797,447.4281385889799,0.0,0.0,0,0
friction_mass_damping,a2p85,2146.2782768870347,940.7809392388432,513.5696112194968,1168.60155971222,14,14
friction_mass_damping,a2p95,2838.9166506418837,921.619319534271,-11.541570714626333,1143.0885994093208,5,14
friction_mass_damping,a3p00,2519.2348480747314,489.42998557426745,279.9715650217769,713.7288615729847,12,14
friction_mass_damping,a3p05,2636.993142029637,537.9477332067657,236.2907811489394,989.1098624615179,14,14
friction_mass_damping,a3p10,2970.3652236107723,431.5371320437695,-116.42885373517719,383.4126217841329,2,14
friction_mass_damping,a3p20,2057.6780747217726,745.9186670982054,572.5515338594374,594.8986469739002,14,14
friction_mass_damping,a3p50,2518.577288137186,883.7514142665997,171.9839681351602,608.3640808545521,11,14
friction_mass_damping,a3p70,2701.101668676918,654.5250203768468,147.6554749205133,663.6986459970003,13,14
friction_mass_damping,a4p00,2946.182171333537,575.8741632788034,18.867789202764527,729.4589349397216,4,14
mass_damping,vanilla,2936.6222570005275,582.8306659046962,0.0,0.0,0,0
mass_damping,a2p85,2197.8237771374775,1075.7552947091588,712.7219808705712,1263.4802512641704,14,14
mass_damping,a2p95,2820.837447811122,819.7222734191868,300.1558982094053,1082.7795309839178,14,14
mass_damping,a3p00,2597.208287688632,306.38663644606197,371.9849300513496,641.811415769881,13,14
mass_damping,a3p05,2714.547887696822,553.7078373932538,429.99290289350205,1094.4466833828926,14,14
mass_damping,a3p10,3057.83901937826,271.3654061305021,1.6769285214438026,627.8440250453343,5,14
mass_damping,a3p20,2300.5392130458617,856.2366530016917,551.6248152368061,698.7328665315981,14,14
mass_damping,a3p50,2582.201334942177,894.6504016565701,172.663346295872,519.8475581762007,11,14
mass_damping,a3p70,2474.997087486155,635.2688974379365,495.89640011840294,702.26123069459,14,14
mass_damping,a4p00,2784.014310728754,388.837466253842,321.8450249863503,714.9366537816152,14,14
