model_label,axis,factor,scenario_label,n,drop_mean_return_mean,drop_mean_return_ci95,drop_median_return_mean,drop_median_return_ci95,drop_iqm_return_mean,drop_iqm_return_ci95,rel_drop_mean_return_mean,rel_drop_mean_return_ci95
a2p85,friction_mass,0.1,friction_mass_0p1,5,2006.1467576969076,1066.2664678955932,2023.2462741246338,1291.5963030493924,2072.794231244561,1216.6543695195962,0.9111428323902908,0.0536725731877012
a2p85,friction_mass,0.2,friction_mass_0p2,5,1955.9839528771686,1034.969996214602,1988.266568276768,1232.7714339017484,2030.5072224875519,1176.8498431648104,0.887249921909309,0.05627381474945561
a2p85,friction_mass,0.3,friction_mass_0p3,5,1796.0788723845224,996.1718670510691,1888.0991985337155,1247.808746452918,1936.6609885146722,1169.8238446754945,0.8068254020508036,0.06911492420718277
a2p85,friction_mass,0.4,friction_mass_0p4,5,1453.3120328237494,862.829503169866,1658.8773743920106,1217.600320108689,1657.7474941858775,1103.1111167717709,0.6583255768367453,0.0949284426444798
a2p85,friction_mass,0.5,friction_mass_0p5,5,1113.8803385545107,806.589479890317,1343.546027827611,1293.4771235342894,1354.831196003839,1109.3378180442294,0.48393062606338705,0.1407002525439216
a2p85,friction_mass,0.6,friction_mass_0p6,5,741.2047285369049,624.0178924346162,942.8253865135096,971.7764493263671,935.9087130183412,810.4948577819825,0.33300671160038103,0.16552835469851765
a2p85,friction_mass,0.7,friction_mass_0p7,5,440.03755798766014,592.2447662453319,508.0466009693587,1161.0365586707035,507.9146191099068,959.6844379313573,0.1682102017587917,0.1506093235951427
a2p85,friction_mass,0.8,friction_mass_0p8,5,-54.38152008762563,890.7785775887218,-108.67560030733748,1437.6281396234267,-51.86258072000246,1301.8195471111871,-0.08894959976514766,0.2886741592421498
a2p85,friction_mass,0.9,friction_mass_0p9,5,-500.2041181564662,409.7080849029111,-703.9661179613374,726.3491546740685,-644.6289076539848,558.3732851693214,-0.2893534087225298,0.18263559333786283
a2p85,friction_mass,1.0,friction_mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
