baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a2p85,friction_mass,0.1,friction_mass_0p1,5,599.9369860699675,1420.4693248480403,891.9944951291134,2174.2298285895463,715.4586638171367,1863.2081735003426
vanilla,a2p85,friction_mass,0.2,friction_mass_0p2,5,557.6388397342945,1364.186804316534,857.5788720267917,2075.4079808962483,691.8265272724195,1788.7014671831912
vanilla,a2p85,friction_mass,0.3,friction_mass_0p3,5,577.0182572191612,1367.2973967133582,826.8430069011565,2118.157328517083,653.0571414194898,1807.339375036237
vanilla,a2p85,friction_mass,0.4,friction_mass_0p4,5,611.7181860002536,1247.096258825085,862.9150737862905,2110.2071964891643,732.4473707151378,1783.8613423141778
vanilla,a2p85,friction_mass,0.5,friction_mass_0p5,5,521.0110488647755,1247.2106632615096,820.4105902344284,2149.964243312682,644.0626048302979,1784.5388641185255
vanilla,a2p85,friction_mass,0.6,friction_mass_0p6,5,412.09438429693193,903.421161422986,742.4758345966106,1776.2941447902901,551.3344440994407,1389.5814123672837
vanilla,a2p85,friction_mass,0.7,friction_mass_0p7,5,123.84928084643987,1140.1238840195906,565.5149195778529,1944.5136562416228,305.22140137603236,1759.010572622674
vanilla,a2p85,friction_mass,0.8,friction_mass_0p8,5,399.6809433338416,1336.1513661415079,831.6453617940558,2168.509804242179,608.4955284125309,1968.2328544178265
vanilla,a2p85,friction_mass,0.9,friction_mass_0p9,5,403.2974855882723,719.475802804201,564.2895988148694,1459.8290889511613,559.143661598936,1116.5395680365398
vanilla,a2p85,friction_mass,1.0,friction_mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p85,friction_mass,1.1,friction_mass_1p1,5,74.35264967388278,1018.2491179883438,589.0649569481296,1706.138090325475,415.31622455732565,1402.860067580575
vanilla,a2p85,friction_mass,1.3,friction_mass_1p3,5,565.2673173060151,1521.3623067846966,843.1090920788813,2267.848846098157,676.9586320202524,1970.996610288763
vanilla,a2p85,friction_mass,1.5,friction_mass_1p5,5,608.611510495458,1455.1085496960818,884.4610981279982,2187.4848008795434,716.6130755629113,1884.2317804967197
