model_label,axis,factor,scenario_label,n,drop_mean_return_mean,drop_mean_return_ci95,drop_median_return_mean,drop_median_return_ci95,drop_iqm_return_mean,drop_iqm_return_ci95,rel_drop_mean_return_mean,rel_drop_mean_return_ci95
a2p85,friction_damping,0.0,friction_damping_0,5,1986.116963240243,981.4307242787376,2073.8485455829327,1235.4345822188177,2101.0157035534635,1198.6585098922656,0.8805940370955628,0.0706162621121439
a2p85,friction_damping,0.1,friction_damping_0p1,5,1999.5477666900842,971.469078374234,2091.676820689409,1232.3300329111955,2121.68378483186,1195.5284563783837,0.8927555717561727,0.05539340337914683
a2p85,friction_damping,0.2,friction_damping_0p2,5,1996.1337334045886,968.965127674622,2089.450595039393,1225.0350406164362,2117.267495778001,1189.460917677933,0.8902896864351358,0.06033785866458633
a2p85,friction_damping,0.3,friction_damping_0p3,5,1946.9917726148924,969.5809702269663,2047.421894083173,1234.5879623085941,2069.0365105511823,1196.2088692653276,0.8599911408394665,0.08097076133547287
a2p85,friction_damping,0.4,friction_damping_0p4,5,1830.2583031697031,901.5801491996662,1967.1014610634386,1200.672081968998,1976.1816212187637,1148.8045718207043,0.8082903688738267,0.0835295671595302
a2p85,friction_damping,0.5,friction_damping_0p5,5,1407.9820988233946,610.3791540915851,1630.2967970489358,974.9358414955279,1616.953680461271,886.9731660747544,0.6470653306348643,0.07680809176920887
a2p85,friction_damping,0.6,friction_damping_0p6,5,878.218663779584,323.4351610898506,890.7534243633006,535.5140478931871,985.3614540898849,474.7807750128985,0.45479619429490736,0.13997694137708713
a2p85,friction_damping,0.7,friction_damping_0p7,5,516.4406789997678,428.42872657571303,512.3813304317157,310.3991439309132,580.1201668786771,420.8659361479234,0.2988838648847805,0.1965170509706564
a2p85,friction_damping,0.8,friction_damping_0p8,5,411.4119329814636,250.34000654442855,567.7966431826089,467.82695529873837,513.7321949985983,434.73910205947396,0.23372861923335497,0.13067033990380214
a2p85,friction_damping,0.9,friction_damping_0p9,5,122.84462232008438,243.42596436511903,-12.940251264694712,252.8883933164854,127.86553903022158,321.44870149713,0.09595018109984796,0.1509128968381119
a2p85,friction_damping,1.0,friction_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p85,friction_damping,1.1,friction_damping_1p1,5,143.31006360299807,357.81709912941926,239.20981167338633,523.5886151363625,277.66815636152046,516.6414345379436,0.03850998942981559,0.1310941348266527
a2p85,friction_damping,1.3,friction_damping_1p3,5,750.8778552306698,480.0723785352375,916.0822413004486,589.1274215859006,920.5719753524274,591.1376554484806,0.33589786601381844,0.16956171093037264
a2p85,friction_damping,1.5,friction_damping_1p5,5,1337.6116828420597,830.9919427254532,1548.8516405790178,1171.2532103715077,1563.0657643481713,1121.293725458975,0.5541801097745673,0.162556611209678
a2p85,friction_damping,1.7,friction_damping_1p7,5,1509.4781381709854,927.5960842859832,1680.710415897781,1225.9374012072303,1682.6867216582148,1175.476423597658,0.6309962362321583,0.16014247917490795
a2p85,friction_damping,2.0,friction_damping_2,5,1539.380736767473,925.0167801375849,1643.6600195327705,1186.1253172808179,1671.3163786669597,1147.4772148903387,0.657175934476244,0.15831812656905103
a2p95,friction_damping,0.0,friction_damping_0,5,2795.0772883250984,821.1498593995,3050.404302462043,1020.8209307822624,3003.7486869554004,975.9834045294773,0.929925646377664,0.028944238792795222
a2p95,friction_damping,0.1,friction_damping_0p1,5,2763.2722353938607,805.6707897539907,3024.629722813449,1008.1695532436269,2977.652052911652,959.7650946222625,0.920575272312725,0.026034489729457
a2p95,friction_damping,0.2,friction_damping_0p2,5,2730.103642065801,798.5195078338039,2988.8999145259254,996.6652975683431,2941.3858573812217,948.117340188538,0.9095317442070951,0.027198486405569666
a2p95,friction_damping,0.3,friction_damping_0p3,5,2645.4179435561136,754.1978003594736,2925.2782755626154,980.3225227626466,2878.1015180975937,921.6737339477311,0.8838360824060997,0.018983083316543154
a2p95,friction_damping,0.4,friction_damping_0p4,5,2443.8522320360244,670.8629840922057,2732.763649561771,883.4078753723469,2703.592414069096,849.557867456549,0.8193223217881954,0.04142957347105829
a2p95,friction_damping,0.5,friction_damping_0p5,5,1940.1674369591467,550.7322734075384,2346.872214981479,823.527264218588,2276.768923468341,740.4734990756656,0.6589865296727926,0.07234687159817517
a2p95,friction_damping,0.6,friction_damping_0p6,5,1398.6605756317178,515.8598161476431,1746.8657774235994,762.1913505001103,1687.7551237833882,656.0867578448236,0.4925069625304109,0.162179675452593
a2p95,friction_damping,0.7,friction_damping_0p7,5,828.0519865534931,404.34040057291287,991.0232211101204,626.4854427838316,955.6184822838968,538.9885399375223,0.32775936506195064,0.20556654129016247
a2p95,friction_damping,0.8,friction_damping_0p8,5,618.2561120807253,131.4483528774166,731.5102945886374,405.800931733163,706.7570162871018,256.68347655476913,0.2427017766101982,0.12648490097742798
a2p95,friction_damping,0.9,friction_damping_0p9,5,455.6627020267297,252.9064032880051,445.62130066752235,701.3600656761963,515.018179744447,394.69911286394995,0.17668607951406173,0.1176693744655268
a2p95,friction_damping,1.0,friction_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p95,friction_damping,1.1,friction_damping_1p1,5,-64.8595401848423,198.18236386669955,-139.23296633615627,459.54867729040683,-153.94800907538465,338.78433722866174,-0.004591642538721047,0.09051565972810502
a2p95,friction_damping,1.3,friction_damping_1p3,5,264.9133023409842,492.2951712786816,372.44946408908163,524.6545313178709,327.3935420388667,557.4226424544482,0.12303628132883489,0.18017172725074035
a2p95,friction_damping,1.5,friction_damping_1p5,5,534.3635996309222,923.905321020051,703.7979055536114,913.9384420259277,641.4618147773197,989.4242356967833,0.23078370721144653,0.31581025997134865
a2p95,friction_damping,1.7,friction_damping_1p7,5,943.6905017679298,733.0074082777493,1084.0292943237205,741.6254882355449,1019.2645130803045,819.5185668894862,0.3683146189303682,0.27570794821372346
