baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a2p85,friction_damping,0.0,friction_damping_0,5,680.506701769558,1486.8841422475907,873.4009435676769,2087.826971845213,701.3644565902384,1909.9333136360497
vanilla,a2p85,friction_damping,0.1,friction_damping_0p1,5,667.7516727109958,1481.4738090708345,856.3776164518928,2095.489938698126,683.1199510211026,1914.790777466144
vanilla,a2p85,friction_damping,0.2,friction_damping_0p2,5,637.3874909925041,1484.3331377406791,821.2210552959244,2092.1854346328287,648.8611792059713,1914.9682227539213
vanilla,a2p85,friction_damping,0.3,friction_damping_0p3,5,604.6474229099529,1473.6151383225676,788.9583415598462,2081.300591897205,621.8323020387255,1905.1678891784386
vanilla,a2p85,friction_damping,0.4,friction_damping_0p4,5,554.2379238747064,1373.4841966577824,749.455277027272,2038.581638759817,589.4073539773735,1851.2883281873521
vanilla,a2p85,friction_damping,0.5,friction_damping_0p5,5,696.6738579487042,1182.7681106576965,896.792793496396,1913.8271121318492,734.3191647086358,1707.8750684176002
vanilla,a2p85,friction_damping,0.6,friction_damping_0p6,5,710.6996973736365,525.0848530516557,1243.8180934560228,1033.7687394418015,980.3798199282699,965.4539720232399
vanilla,a2p85,friction_damping,0.7,friction_damping_0p7,5,886.2507155195065,599.8330455497168,1350.6461659067259,697.5999014551694,1104.1947271072004,704.7820141358914
vanilla,a2p85,friction_damping,0.8,friction_damping_0p8,5,421.4682049933173,396.81664940699864,342.78760893370344,787.9475900274543,431.74283042805655,585.3524100995104
vanilla,a2p85,friction_damping,0.9,friction_damping_0p9,5,442.32611315670283,624.7401748420809,883.23073293175,1081.8758707368704,594.3090822763122,992.2110410859266
vanilla,a2p85,friction_damping,1.0,friction_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p85,friction_damping,1.1,friction_damping_1p1,5,-567.9576773618384,795.7072810973507,-932.7562410259734,1115.5917430270551,-921.684555082136,1086.416293619512
vanilla,a2p85,friction_damping,1.3,friction_damping_1p3,5,-291.19804687346635,863.0075906476835,-3.451241383983688,1159.351999747556,-254.8633028918526,1091.4466126530317
vanilla,a2p85,friction_damping,1.5,friction_damping_1p5,5,-92.39433821709835,1155.5136533902194,168.39168587938343,1987.8911818276742,-60.36028366808132,1730.583562309866
vanilla,a2p85,friction_damping,1.7,friction_damping_1p7,5,468.7866421355678,1370.6610065896293,705.0778173833113,2198.9428559477997,525.2276903540751,1951.138645760804
vanilla,a2p85,friction_damping,2.0,friction_damping_2,5,824.0490853970939,1434.4127745577525,989.333066682157,2078.325337359414,820.2148606949002,1887.4084786171313
vanilla,a2p95,friction_damping,0.0,friction_damping_0,5,-128.4536233152973,1312.5990995258348,-103.1548133114331,1676.1331893653082,-201.36852681169907,1606.5910759398137
vanilla,a2p95,friction_damping,0.1,friction_damping_0p1,5,-95.97279599278059,1282.7562520104389,-76.57528567214732,1654.2836854067482,-172.8483170586891,1577.8001293629845
vanilla,a2p95,friction_damping,0.2,friction_damping_0p2,5,-96.58241766870802,1277.2208353660278,-78.22826419060807,1652.3110367294696,-175.25718239724978,1575.893451988839
vanilla,a2p95,friction_damping,0.3,friction_damping_0p3,5,-93.77874803126869,1224.185382153286,-88.89803991959647,1623.4193315570212,-187.23270550768612,1537.1880272690798
vanilla,a2p95,friction_damping,0.4,friction_damping_0p4,5,-59.35600499161492,1134.6852061996578,-16.20691147106104,1565.1635037329268,-138.0034388729583,1496.7328234070565
vanilla,a2p95,friction_damping,0.5,friction_damping_0p5,5,164.48851981295235,847.1852287779581,180.21737556385284,1328.4216275394267,74.50392170156601,1270.1285787455931
vanilla,a2p95,friction_damping,0.6,friction_damping_0p6,5,190.25778552150283,399.0482327425832,387.7057403957242,955.3789621388281,277.98615023476657,750.2779359878424
vanilla,a2p95,friction_damping,0.7,friction_damping_0p7,5,574.6394079657811,618.048120631197,872.0042752283213,1084.6177550714328,728.6964117019805,929.3466949053883
vanilla,a2p95,friction_damping,0.8,friction_damping_0p8,5,214.6240258940556,277.2136901555796,179.07395752767493,752.3728931104044,238.7180091395531,408.25199021139963
vanilla,a2p95,friction_damping,0.9,friction_damping_0p9,5,109.50803345005761,227.1853299986963,424.669180999533,778.7619371521887,207.15644156208683,443.2974724875313
vanilla,a2p95,friction_damping,1.0,friction_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p95,friction_damping,1.1,friction_damping_1p1,5,-359.788073573998,449.4911328685563,-554.3134630164308,796.4644144701632,-490.06838964523087,587.4979007095388
vanilla,a2p95,friction_damping,1.3,friction_damping_1p3,5,194.76650601621913,1292.9932919493708,540.1815358273832,1597.596672642355,338.3151304217081,1569.170613176462
vanilla,a2p95,friction_damping,1.5,friction_damping_1p5,5,710.8537449940393,1295.1428620167285,1013.4454209047897,1438.9218024668578,861.2436659027705,1508.561270178249
vanilla,a2p95,friction_damping,1.7,friction_damping_1p7,5,1034.5742785386235,1116.5088468769125,1301.7589389573718,1463.490964765917,1188.6498989319855,1459.5506879189143
