model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a2p85,action_replace,0.0,action_replace_0,5,2727.916191177401,1101.3208170524135,2874.454511225953,1399.6563133799295,2843.3842566165176,1262.631420823465,2840.460508541711
a2p85,action_replace,0.05,action_replace_0p05,5,1462.358826208728,732.9508133582051,1344.9904235375027,693.0507019627996,1397.4160316581867,785.0753888192902,1322.2222208935366
a2p85,action_replace,0.1,action_replace_0p1,5,763.3857338923648,273.8413532526985,713.5283391077588,257.2621581532598,728.593896041529,252.5365604866103,727.5479196508827
a2p85,action_replace,0.15,action_replace_0p15,5,580.6126559201563,141.0242434291894,569.4052846771019,127.97865703774231,578.0319951589038,137.77521242474393,586.292504807816
a2p85,action_replace,0.2,action_replace_0p2,5,490.270609247062,112.24643152706922,468.0779980458022,118.38910881133134,461.4207914794999,106.42384326768219,497.9916279743507
a2p85,action_replace,0.25,action_replace_0p25,5,408.3757956689701,127.35279730874645,402.1986585396405,122.57170976615829,408.2276793297157,123.4914361820167,413.45550126760605
a2p85,action_replace,0.3,action_replace_0p3,5,342.12018866496345,71.54357529678408,333.02407901160103,61.18656176916647,335.14931740562577,65.00098625277757,357.53050665988184
a2p85,action_replace,0.35,action_replace_0p35,5,310.0808439676433,66.09088091812129,309.4970952168244,72.07962795866884,311.6870142044777,71.62471417424106,335.4181734789832
a2p85,action_replace,0.4,action_replace_0p4,5,292.4134495282608,73.03548309742705,295.15669368256624,71.49683661380966,295.71867369697463,74.40046983954451,315.54421941936613
a2p85,action_replace,0.45,action_replace_0p45,5,238.09150875266772,69.42677791377659,251.7819548870686,105.86790305098665,246.88336873143734,91.98016428069873,255.53498231304602
a2p85,action_replace,0.5,action_replace_0p5,5,211.9357433656074,75.90552641871274,213.4070333178041,85.9681737983546,207.40251547927306,84.66479859069528,242.39837854866178
a2p95,action_replace,0.0,action_replace_0,5,3521.1531721992096,976.9312612491958,3705.5850679690725,1221.0349349118196,3673.5221260424905,1127.8095647570665,3892.482041653237
a2p95,action_replace,0.05,action_replace_0p05,5,2060.081165047285,806.9856068450293,2054.7910162666367,846.669427571607,2082.6599315889866,862.0858276071056,2234.535442547279
a2p95,action_replace,0.1,action_replace_0p1,5,936.4776527200041,182.57979888451766,762.6891289177408,118.93750350419492,790.6580523688883,119.63024588591902,963.9434616024724
a2p95,action_replace,0.15,action_replace_0p15,5,586.9174851189689,112.77202674960543,520.3945349364832,99.78956933808752,534.4101831352368,102.63089527478564,573.0103325166943
a2p95,action_replace,0.2,action_replace_0p2,5,435.5967710704761,93.8496448976176,429.507659431117,105.87052789434557,426.7987630601548,97.25394039871969,412.7170295339959
a2p95,action_replace,0.25,action_replace_0p25,5,400.4379832900805,89.37500810379908,409.8917807515083,114.17074969729433,398.2183363483012,100.77622648086832,372.2230415396411
a2p95,action_replace,0.3,action_replace_0p3,5,369.7377024492658,62.751654062037375,369.44987498065296,44.66769675706814,371.3261916223832,58.33716713288507,352.07252766875666
a2p95,action_replace,0.35,action_replace_0p35,5,322.5395318770153,31.744398552312035,317.9510121230326,31.791406421598055,318.7084715693285,35.738119622779905,320.67218269692927
a2p95,action_replace,0.4,action_replace_0p4,5,290.0835608585956,72.4996650585697,284.9335338987694,59.90719758992874,287.8506302831073,71.48720011241977,290.5694136032017
a2p95,action_replace,0.45,action_replace_0p45,5,248.0087061746201,52.614344535541655,261.79328063110665,63.051914804537454,255.91707994150147,58.710873322524215,264.01717820555905
a2p95,action_replace,0.5,action_replace_0p5,5,226.3958660553955,50.349458905976334,247.59081059349668,70.32408413126745,239.18736521502788,71.73899426194139,226.08376640211034
a3p00,action_replace,0.0,action_replace_0,5,3107.376849953952,875.6533274082213,3057.646716045019,939.2316267825772,3111.3971716610044,911.7940321706836,3184.7401710941353
