axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
friction_damping,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
friction_damping,a2p85,2728.3646382078014,1101.7106939248702,-212.23587210565503,1079.2561782500961,7,15
friction_damping,a2p95,3522.2633263969497,977.512060387133,-434.31379336723035,1295.6057932174526,2,15
friction_damping,a3p00,3108.4061880840386,876.5186281137096,-375.8774125534238,982.5067539381994,2,15
friction_damping,a3p05,3675.4619853854265,565.4812472782344,-645.2396937920558,1056.3305394297352,0,15
friction_damping,a3p10,3396.697399035628,302.74571751758356,-222.36563489104938,839.8695665232378,5,15
friction_damping,a3p20,3095.002744820385,977.5860821366688,-394.2044188552131,1261.6519359746583,3,15
friction_damping,a3p50,2853.4689479030903,1024.2941866145318,-309.69885262592743,1104.6802559639978,5,15
friction_damping,a3p70,2723.840504801772,823.1132628658279,-185.9743235082415,1087.2364440242854,5,15
friction_damping,a4p00,3671.7505221241277,324.516188845224,-700.2723857014516,875.867297053821,0,15
