model_label,axis,factor,scenario_label,n,drop_mean_return_mean,drop_mean_return_ci95,drop_median_return_mean,drop_median_return_ci95,drop_iqm_return_mean,drop_iqm_return_ci95,rel_drop_mean_return_mean,rel_drop_mean_return_ci95
a2p85,friction_damping,0.0,friction_damping_0,5,2541.4948685531044,1104.0067068099015,2675.772071231256,1393.4679161217525,2650.808531810918,1260.6103124311262,0.9127212663981819,0.04631554057220239
a2p85,friction_damping,0.1,friction_damping_0p1,5,2561.1267496050773,1108.780863425165,2707.6056438806045,1408.9080284185195,2676.3739266206458,1271.3140708721305,0.9206984668534013,0.044261963384299954
a2p85,friction_damping,0.2,friction_damping_0p2,5,2545.4332311935786,1118.0518860835273,2695.1471703175744,1423.2730403329092,2661.1867636486604,1283.6383955054607,0.9100009742182351,0.06063694355429962
a2p85,friction_damping,0.3,friction_damping_0p3,5,2502.6828390775404,1102.3657185011978,2660.038945837269,1406.1059351725823,2622.816964411264,1267.3027743523967,0.8933304651134625,0.06729712783212546
a2p85,friction_damping,0.4,friction_damping_0p4,5,1850.5978401066338,1109.4788912177773,1885.0862492432364,1600.1530780526061,1840.1582071464466,1449.6327637090144,0.7213295236795827,0.28570736455914597
a2p85,friction_damping,0.5,friction_damping_0p5,5,1221.0239689724895,721.4604428354894,1065.7631384534518,1359.3194554763643,1180.136384872258,1175.1863312907108,0.5199651044031881,0.2645268488512813
a2p85,friction_damping,0.6,friction_damping_0p6,5,706.0526357633424,951.7089652410097,937.3082026498126,1334.7620106050674,837.4156698405222,1152.4053603622592,0.35370857546572754,0.3493664855741149
a2p85,friction_damping,0.7,friction_damping_0p7,5,541.2408657123729,745.2056701191469,838.388138914787,1298.6980737724905,690.4895497686427,1022.5132466626073,0.27519524854781807,0.2801193387719172
a2p85,friction_damping,0.8,friction_damping_0p8,5,458.8490836014222,439.81893361717164,521.1023506990052,796.9817199738745,559.7386554444489,623.2657155736902,0.20192599666608907,0.14673184521396754
a2p85,friction_damping,0.9,friction_damping_0p9,5,187.83409962397462,302.46283446242944,232.48695639820826,447.33548283413865,224.12484984300977,403.5344539094699,0.10289261892113674,0.11713251961668589
a2p85,friction_damping,1.0,friction_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2p85,friction_damping,1.1,friction_damping_1p1,5,-37.87822313900747,349.5722088938915,-49.6029608568826,424.8616471347026,-48.62212545397406,360.1682561526266,-0.040787497562245444,0.11562993383725277
a2p85,friction_damping,1.3,friction_damping_1p3,5,1290.844510045906,953.5173384743023,1615.6617796199291,1149.7803799934547,1512.3864121546694,1055.050440034485,0.4444510326157533,0.18054177991038556
a2p85,friction_damping,1.5,friction_damping_1p5,5,1726.9857900128795,995.4346105687896,2023.564703928329,1321.8375063073029,1982.7835946134765,1187.9500748996861,0.5953181469811669,0.1398084616494591
a2p85,friction_damping,1.7,friction_damping_1p7,5,2080.0868595992993,1071.0126178790274,2285.8953712652738,1396.1476134135703,2240.987346240662,1251.1900166642854,0.7153277622377743,0.11617212638726332
a2p85,friction_damping,2.0,friction_damping_2,5,2072.718770882237,1064.3719468831098,2237.99897123369,1305.214394711853,2200.325435225658,1182.7111302807714,0.7267520304744792,0.12396913886765137
a2p95,friction_damping,0.0,friction_damping_0,5,3342.6467294373774,975.8185311144841,3526.3550050130775,1219.9975834134539,3494.729377847718,1126.750911790617,0.941610371837682,0.025864299739694476
a2p95,friction_damping,0.1,friction_damping_0p1,5,3315.748082055669,960.1739446342519,3498.7257512484293,1209.118396275994,3467.2770315066155,1114.4370258646018,0.9357190860786571,0.020821287781138422
a2p95,friction_damping,0.2,friction_damping_0p2,5,3296.972990567721,950.3926186997821,3481.5518371640865,1201.6405633370343,3450.193263826549,1106.2928566652126,0.931459293527986,0.018875284913985685
a2p95,friction_damping,0.3,friction_damping_0p3,5,3175.740932795385,882.7006126891247,3349.633614743616,1108.423009840001,3332.2492551635523,1029.3959467865686,0.9008808583176954,0.01542948738574283
a2p95,friction_damping,0.4,friction_damping_0p4,5,2421.2055823086143,1298.63355742696,2552.751670402227,1582.7952001189065,2516.027516769613,1501.0843838849823,0.7152078792343171,0.3117221809195774
