baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a2p85,friction_damping,0.0,friction_damping_0,5,291.2882234800439,1426.715097039026,140.04111955106364,2030.0941297189843,171.3168566821515,1753.9542199430646
vanilla,a2p85,friction_damping,0.1,friction_damping_0p1,5,278.433393142959,1442.7418863270245,120.79734642265194,2048.5169675394536,154.20867474190354,1771.5709234293554
vanilla,a2p85,friction_damping,0.2,friction_damping_0p2,5,276.2947822842963,1472.6373798925392,106.85699477631678,2090.4783673881134,148.95205825209442,1808.3218536838604
vanilla,a2p85,friction_damping,0.3,friction_damping_0p3,5,-432.27102972608407,2010.3202547563885,-651.485810869901,2528.049296088214,-609.0766520799767,2313.966564215123
vanilla,a2p85,friction_damping,0.4,friction_damping_0p4,5,75.82359984916611,1457.6484286891423,22.63102636646563,2065.1180532476706,75.11747443775948,1769.698831277807
vanilla,a2p85,friction_damping,0.5,friction_damping_0p5,5,-135.92881497966374,1200.2815997820724,70.44696765452473,1854.0145487631364,-33.495095803970024,1608.16215503494
vanilla,a2p85,friction_damping,0.6,friction_damping_0p6,5,253.75615072107377,1278.0495084380577,52.92943511817316,1539.422003886839,169.64494863733927,1386.6888829752777
vanilla,a2p85,friction_damping,0.7,friction_damping_0p7,5,163.9998304588969,930.1370425761108,-87.81592325466723,1389.650918527163,95.43148659529325,1211.6957621192107
vanilla,a2p85,friction_damping,0.8,friction_damping_0p8,5,-148.47621582797947,320.15167535838515,-380.13295936037434,496.57280653969934,-364.97813415765324,402.2923672378082
vanilla,a2p85,friction_damping,0.9,friction_damping_0p9,5,-275.611300829088,220.0036357124219,-322.7731155895758,510.65672857527943,-359.6470858742276,333.72431729236695
vanilla,a2p85,friction_damping,1.0,friction_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p85,friction_damping,1.1,friction_damping_1p1,5,-609.755558289679,649.222980129157,-766.2228654163366,1015.2276815844076,-669.3786609034577,831.680229608467
vanilla,a2p85,friction_damping,1.3,friction_damping_1p3,5,-1954.3227185556848,564.5951043465877,-2634.1191845500884,1396.688971154215,-2369.220379406249,1010.0231363979475
vanilla,a2p85,friction_damping,1.5,friction_damping_1p5,5,-1218.5553036127185,858.181109231461,-1682.3737875097618,1330.3861137759473,-1644.7956622930535,1186.350204583953
vanilla,a2p85,friction_damping,1.7,friction_damping_1p7,5,-152.1110814332923,1013.2462350174503,-312.3312025937636,1740.5996771997814,-244.87260212095262,1452.9952191670466
vanilla,a2p85,friction_damping,2.0,friction_damping_2,5,403.8979617329285,1344.9107364556157,219.2252443476804,1955.5629685415622,265.00723101391804,1662.9292178599023
vanilla,a2p95,friction_damping,0.0,friction_damping_0,5,-509.86363740422956,1516.50109231382,-710.5418142307581,2012.0251396003641,-672.6039893546479,1765.1550745703175
vanilla,a2p95,friction_damping,0.1,friction_damping_0p1,5,-476.1879393076326,1493.1129510176997,-670.3227609451726,1987.0669505619915,-636.6944301440665,1742.3494237556606
vanilla,a2p95,friction_damping,0.2,friction_damping_0p2,5,-475.24497708984575,1482.365093967187,-679.5476720701952,1986.0068231723258,-640.0544419257942,1734.9067514902772
vanilla,a2p95,friction_damping,0.3,friction_damping_0p3,5,-1105.3291234439282,1580.1425564391316,-1341.0804797762478,2087.1991637763053,-1318.508942832265,1865.435534362544
vanilla,a2p95,friction_damping,0.4,friction_damping_0p4,5,-494.7841423528139,2138.138635482612,-645.0343947925252,2595.8328601783996,-600.7518351854069,2415.7609542843493
vanilla,a2p95,friction_damping,0.5,friction_damping_0p5,5,-250.43399542537145,684.5071753513624,-44.827868050498274,1253.5966056170075,-56.33326635915878,1093.1937452976777
vanilla,a2p95,friction_damping,0.6,friction_damping_0p6,5,-365.9020391310278,788.8575134870455,-467.1891551136233,1281.5137894940096,-438.109821468649,1113.946132364734
vanilla,a2p95,friction_damping,0.7,friction_damping_0p7,5,-450.35309158842756,678.0404745158427,-793.4468438821112,1100.161924665485,-634.7423367948027,857.646508122877
vanilla,a2p95,friction_damping,0.8,friction_damping_0p8,5,-259.3961469778359,736.3010074944641,-538.2351869618608,1116.3591874350636,-372.29387443480545,881.1060036283453
vanilla,a2p95,friction_damping,0.9,friction_damping_0p9,5,-402.51234635355775,656.610919303466,-547.6540157954603,986.7780266196961,-577.2628943024995,888.5701581848255
vanilla,a2p95,friction_damping,1.0,friction_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p95,friction_damping,1.1,friction_damping_1p1,5,-745.3823342613989,841.0722737080795,-910.1627014187521,750.9346530148539,-783.3035783205189,796.0094777793472
vanilla,a2p95,friction_damping,1.3,friction_damping_1p3,5,-723.5840804159343,1023.7939001242596,-990.6725654176322,723.2461291508979,-946.8444757995687,867.6545412754037
vanilla,a2p95,friction_damping,1.5,friction_damping_1p5,5,-729.963309825171,1984.5348051413232,-1349.3412785552355,2034.7447020369389,-1125.2962363125382,1966.9923905436824
vanilla,a2p95,friction_damping,1.7,friction_damping_1p7,5,423.13380195150296,2026.569836629863,169.35114569342667,2394.6883329073685,237.65009819392944,2253.4349403145325
vanilla,a2p95,friction_damping,2.0,friction_damping_2,5,51.09646111721558,1803.538663285636,-150.66619456739554,2234.803318076781,-111.97664510848044,2016.6428903743044
vanilla,a3p00,friction_damping,0.0,friction_damping_0,5,-83.88167973135337,822.0866984009277,-51.85884950730538,850.2183393715615,-98.89902700450594,798.0558493981067
vanilla,a3p00,friction_damping,0.1,friction_damping_0p1,5,-49.07475094889819,782.8418699313992,-11.690797068171014,819.1009099492725,-63.652509980733065,762.8976258354644
vanilla,a3p00,friction_damping,0.2,friction_damping_0p2,5,-52.37035223236175,763.8087033054746,-30.08472560810933,809.1351927130785,-76.30291228559926,749.0034934720208
vanilla,a3p00,friction_damping,0.3,friction_damping_0p3,5,-742.3795239753912,934.9668823568346,-754.4240784446952,1116.35734244544,-803.5791146810193,1071.238011526263
vanilla,a3p00,friction_damping,0.4,friction_damping_0p4,5,-820.2796685228934,1056.6980515354737,-795.4801184870238,1143.0760936342524,-840.4761294360424,1100.7162904369143
vanilla,a3p00,friction_damping,0.5,friction_damping_0p5,5,-1161.633978317909,735.711791795773,-880.9383273145028,769.012782520908,-1024.6205847014603,656.9519240808804
vanilla,a3p00,friction_damping,0.6,friction_damping_0p6,5,-1034.7526350102412,1056.950501401489,-946.6094704739629,1115.685960221751,-981.7488172927475,1075.6725834289298
vanilla,a3p00,friction_damping,0.7,friction_damping_0p7,5,-809.4382014443944,884.1267438039977,-749.0924370610257,1002.5233071990907,-769.843492349436,1051.5638474078387
vanilla,a3p00,friction_damping,0.8,friction_damping_0p8,5,-271.68487483367244,385.23269626520374,-348.1578831981399,644.7990047993295,-356.1846367486849,601.9663144682592
vanilla,a3p00,friction_damping,0.9,friction_damping_0p9,5,-299.54864404019753,367.1237770199933,-130.2980420702994,351.4415707591093,-273.30817174906423,381.32969285501554
vanilla,a3p00,friction_damping,1.0,friction_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p00,friction_damping,1.1,friction_damping_1p1,5,-304.1274475406982,553.6397304601511,-355.0415101703087,333.9099615373446,-316.00936350508306,439.22718225252225
vanilla,a3p00,friction_damping,1.3,friction_damping_1p3,5,-1019.4557599191824,1139.328171353455,-1219.7342203227215,1146.3629420030766,-1130.8122317655775,1170.990559172426
vanilla,a3p00,friction_damping,1.5,friction_damping_1p5,5,-349.107788105088,1911.4337786302196,-389.8681795399054,1933.6694190158541,-469.2390126950854,1948.9855327190555
vanilla,a3p00,friction_damping,1.7,friction_damping_1p7,5,682.5083846328105,1860.3297530021096,885.8135311623826,1780.572475181661,815.2933348514459,1782.0677124838182
vanilla,a3p00,friction_damping,2.0,friction_damping_2,5,677.0657316881128,1483.322159810489,661.8324859769891,1621.5872493485504,657.0214715051621,1561.0350794156245
vanilla,a3p05,friction_damping,0.0,friction_damping_0,5,-606.9368051265877,1200.586826316593,-615.4719132445614,1420.466883813021,-660.9908005106188,1278.6162318146721
vanilla,a3p05,friction_damping,0.1,friction_damping_0p1,5,-627.1801276562744,1138.1724113233824,-585.6945216833548,1405.7880738420974,-651.7512471308181,1254.794406256521
vanilla,a3p05,friction_damping,0.2,friction_damping_0p2,5,-584.8130895494139,1123.515102988356,-550.375284908505,1404.2420682565964,-609.3821260962688,1243.4306736003489
vanilla,a3p05,friction_damping,0.3,friction_damping_0p3,5,-1249.669727558344,1360.6674276831227,-1265.813389386017,1657.6056556709225,-1326.2529784304995,1502.0224226787695
vanilla,a3p05,friction_damping,0.4,friction_damping_0p4,5,-1062.6047011607648,1177.3514276335197,-1130.310337508711,1502.1027207433383,-1174.6452050518672,1327.607909881128
vanilla,a3p05,friction_damping,0.5,friction_damping_0p5,5,-1037.0393250851168,1213.0308495674008,-1118.968180080426,1457.4832671238546,-1122.6228464773462,1428.3959591856506
vanilla,a3p05,friction_damping,0.6,friction_damping_0p6,5,-379.29917657809904,968.401230744065,-5.720928222982093,809.2571765342449,-157.53965091683966,973.5455562572287
vanilla,a3p05,friction_damping,0.7,friction_damping_0p7,5,-262.90653589078227,1145.3269449794466,-29.02250402660661,1209.5139769083946,-141.78775576421873,1263.6590917911403
vanilla,a3p05,friction_damping,0.8,friction_damping_0p8,5,-193.91774926903003,566.9479274719744,-22.95656583298005,515.4157408889357,-264.12164298868595,471.1582315982694
vanilla,a3p05,friction_damping,0.9,friction_damping_0p9,5,-348.20355638558607,105.05385158562248,-162.10200546550976,476.70951884932106,-331.74867034851,362.7643759820847
vanilla,a3p05,friction_damping,1.0,friction_damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0
