model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a2p85,friction_damping,0.0,friction_damping_0,5,186.86976965469734,6.976774757821011,199.56165866393303,11.648393623197425,193.1278077927792,9.981149625404791,188.7609055517621
a2p85,friction_damping,0.1,friction_damping_0p1,5,167.23788860272444,11.985618025790384,167.72808601458453,12.25052399215663,167.56241298305153,12.164080242364717,170.82551950743718
a2p85,friction_damping,0.2,friction_damping_0p2,5,182.9314070142225,38.65686812030137,180.1865595776148,40.61665685022481,182.74957595503662,41.40193381573641,186.9778744901314
a2p85,friction_damping,0.3,friction_damping_0p3,5,225.68179913026097,44.72191477953956,215.29478405792042,59.320531742961116,221.11937519243324,54.68026489392123,227.7495670897612
a2p85,friction_damping,0.4,friction_damping_0p4,5,877.7667981011676,1209.9797072686636,990.2474806519531,1506.0777023669245,1003.778132457251,1497.7763399964515,273.72925826869147
a2p85,friction_damping,0.5,friction_damping_0p5,5,1507.340669235312,1237.9619475472111,1809.5705914417376,1762.4288776073224,1663.7999547314394,1586.525277606321,1285.3025430124324
a2p85,friction_damping,0.6,friction_damping_0p6,5,2022.312002444459,1609.3596617768496,1938.0255272453767,1735.381113632884,2006.5206697631752,1683.2473466968888,1824.1012802356963
a2p85,friction_damping,0.7,friction_damping_0p7,5,2187.123772495429,1482.4592631675869,2036.9455909804026,1674.8130524015376,2153.446789835055,1586.9053888239346,2084.37501618991
a2p85,friction_damping,0.8,friction_damping_0p8,5,2269.5155546063793,1201.6339274295246,2354.2313791961838,1401.4103872675687,2284.1976841592486,1302.806936672346,2140.7557001630285
a2p85,friction_damping,0.9,friction_damping_0p9,5,2540.530538583827,1238.9270597913594,2642.846773496981,1320.160325582741,2619.8114897606874,1314.3181126153008,2555.353504505394
a2p85,friction_damping,1.0,friction_damping_1,5,2728.3646382078014,1101.7106939248702,2875.333729895189,1400.3666833856194,2843.9363396036974,1263.100264929716,2840.7724155519195
a2p85,friction_damping,1.1,friction_damping_1p1,5,2766.242861346809,1020.5697560204428,2924.9366907520716,1213.5299582430819,2892.5584650576716,1165.1343053645146,2849.721453522499
a2p85,friction_damping,1.3,friction_damping_1p3,5,1437.5201281618956,730.178528686883,1259.6719502752603,592.6880206886137,1331.5499274490278,667.0082327720361,1303.7988168257225
a2p85,friction_damping,1.5,friction_damping_1p5,5,1001.378848194922,457.47348245562364,851.7690259668605,320.16660005666404,861.1527449902209,325.14319963739877,909.6423461780875
a2p85,friction_damping,1.7,friction_damping_1p7,5,648.2777786085023,157.92897964878847,589.4383586299157,139.32916165724822,602.9489933630352,141.71858201190568,598.6101200625149
a2p85,friction_damping,2.0,friction_damping_2,5,655.6458673255645,359.07383152305334,637.3347586614993,322.32155561898503,643.6109043780393,334.20305999958043,478.09547633189527
a2p95,friction_damping,0.0,friction_damping_0,5,179.6165969595717,3.9026680019376925,179.73885975727018,3.9139698568038512,179.62593060226757,3.8859435980054235,179.2161829549057
a2p95,friction_damping,0.1,friction_damping_0p1,5,206.5152443412805,38.95640484637354,207.36811352191916,41.2555503090263,207.07827694336956,40.22725301914196,205.94367263934282
a2p95,friction_damping,0.2,friction_damping_0p2,5,225.2903358292283,56.055610924237335,224.5420276062619,56.66979708155801,224.16204462343603,56.313180591129154,226.59556024028652
a2p95,friction_damping,0.3,friction_damping_0p3,5,346.52239360156443,112.89524599247594,356.46025002673235,125.78574594642777,342.106053286433,110.92526706527987,355.38906449893483
a2p95,friction_damping,0.4,friction_damping_0p4,5,1101.0577440883353,1318.0064802470254,1153.342194368121,1467.5487002788725,1158.3277916803725,1466.6792593436758,513.2713504638418
a2p95,friction_damping,0.5,friction_damping_0p5,5,2186.7341769787517,1076.4923390399658,2525.055890611873,1385.8425449369763,2471.3807530225386,1341.7188102482598,2425.974664910894
a2p95,friction_damping,0.6,friction_damping_0p6,5,2196.552500781506,1296.4452108979392,2248.667071888739,1490.3501133569207,2229.1848685034747,1490.428198116683,2268.48451274018
a2p95,friction_damping,0.7,friction_damping_0p7,5,2366.669538637252,1175.614541291349,2162.074805228117,1479.6933422026991,2253.691935291247,1309.5233786486542,2490.7535515992167
a2p95,friction_damping,0.8,friction_damping_0p8,5,2952.4943116456707,1236.4292629573224,3026.8892864698564,1357.341614602631,3107.300912728384,1326.810416156251,3385.7285906268244
a2p95,friction_damping,0.9,friction_damping_0p9,5,3207.5281812485046,1234.448318540822,3248.7260081662553,1258.299589724547,3232.6146501787034,1250.5667294787772,3668.4251769324947
a2p95,friction_damping,1.0,friction_damping_1,5,3522.2633263969497,977.512060387133,3706.093864770348,1221.1745721275104,3674.355308449985,1128.1254452840515,3893.958940372922
a2p95,friction_damping,1.1,friction_damping_1p1,5,3424.514773564237,1288.2265419577225,3611.7569896248156,1490.4909047416036,3609.052516486898,1482.7664535082872,3968.822302716207
a2p95,friction_damping,1.3,friction_damping_1p3,5,3462.157454490794,1197.9997131307289,3733.878704282876,1388.207935311751,3584.3447999019963,1257.2301164773808,3974.9858363816707
a2p95,friction_damping,1.5,friction_damping_1p5,5,2283.869530171617,1266.1937195527805,2015.5616697965456,1209.612455337678,2211.071139817024,1232.9641480925004,2197.2373276288877
a2p95,friction_damping,1.7,friction_damping_1p7,5,2017.4213501824452,1331.0231941212853,1901.8808417922646,1406.055285739456,1915.8906625242053,1397.4036096063578,1968.0587400430675
a2p95,friction_damping,2.0,friction_damping_2,5,1096.7430548989992,1181.6800032195426,1098.2034546215825,1185.4137867010554,1097.0459971019288,1183.574224290958,540.431565108608
a3p00,friction_damping,0.0,friction_damping_0,5,191.74141631953688,13.266413957671176,190.45415101900923,12.053197364708494,191.47474274571624,12.842950865810563,195.27392831602901
