baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a2p85,action_noise,0.0,action_noise_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p85,action_noise,0.05,action_noise_0p05,5,-83.18329530070164,295.0604908292812,-19.616653900913253,698.8082703557845,-102.50974796754672,507.247506849183
vanilla,a2p85,action_noise,0.1,action_noise_0p1,5,110.73650084796832,262.0947589625582,-67.96302545557928,693.5402870681171,4.579312210410626,438.98305261287186
vanilla,a2p85,action_noise,0.2,action_noise_0p2,5,-294.26657252997745,409.8131233468276,-299.5647167033343,466.2555533684883,-353.76594080191137,469.412789887168
vanilla,a2p85,action_noise,0.3,action_noise_0p3,5,-171.40004369793343,396.7918640173511,-280.4742360950396,353.52907737592415,-249.27828719616073,448.7325551250713
vanilla,a2p85,action_noise,0.5,action_noise_0p5,5,316.49961416296566,785.4159516089934,337.3337641717943,1120.1414877432953,340.69862401903873,968.361624563522
vanilla,a2p95,action_noise,0.0,action_noise_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p95,action_noise,0.05,action_noise_0p05,5,-53.98728176327245,318.93157971284387,-40.59297624618398,709.5942009311746,-64.57226869138177,587.5122135691123
vanilla,a2p95,action_noise,0.1,action_noise_0p1,5,-93.7731367414146,540.7329504662745,-241.42291031631308,946.5194971825192,-191.7821529693756,714.8403862254303
vanilla,a2p95,action_noise,0.2,action_noise_0p2,5,-196.33334247858753,402.97282049446574,-158.85934378969586,218.70242683848474,-263.2775262683828,325.76698643607494
vanilla,a2p95,action_noise,0.3,action_noise_0p3,5,-281.14534162813504,318.7625159652278,-307.1569536441517,324.5624347709953,-358.7118144294823,369.85058891123884
vanilla,a2p95,action_noise,0.5,action_noise_0p5,5,-280.7883009178301,1393.6908861405634,-370.47750088457633,2040.4071420450136,-372.6941613121745,1690.288631904259
vanilla,a3p00,action_noise,0.0,action_noise_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p00,action_noise,0.05,action_noise_0p05,5,52.05796651048176,306.7172312336943,290.09562578309533,482.43467758910793,168.92002652019815,493.14565504977276
vanilla,a3p00,action_noise,0.1,action_noise_0p1,5,7.483076897351111,372.39013432054946,44.26528125370182,599.8837262953373,-4.033787501335655,514.9963659971447
vanilla,a3p00,action_noise,0.2,action_noise_0p2,5,-157.7583267913896,362.30918568257374,-199.29489403068797,461.6299851299719,-241.72428854400317,467.50273189122834
vanilla,a3p00,action_noise,0.3,action_noise_0p3,5,-235.04992811021066,461.8424788350842,15.92308913439715,651.9213626656607,-150.19538222240436,477.45372897377626
vanilla,a3p00,action_noise,0.5,action_noise_0p5,5,260.2823806240273,1130.0270303417653,716.554896710097,1023.8946313576192,422.6146879125728,1101.3248498335297
vanilla,a3p05,action_noise,0.0,action_noise_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p05,action_noise,0.05,action_noise_0p05,5,-182.41842711047525,278.7064433562475,-112.4722144810114,800.1348112534389,-170.41175288213708,612.3264928339048
vanilla,a3p05,action_noise,0.1,action_noise_0p1,5,29.077804569130375,453.6617273634583,58.827644131097806,859.1983524216437,38.11495460658334,690.558836044299
vanilla,a3p05,action_noise,0.2,action_noise_0p2,5,-240.14233093928982,403.48187223115394,-190.26644259715067,638.4174946495484,-322.12328109615527,494.18863461035176
vanilla,a3p05,action_noise,0.3,action_noise_0p3,5,-552.2441239231283,368.7188871387631,-591.0671690108871,696.3956971153741,-615.5459672129243,680.5284330877753
vanilla,a3p05,action_noise,0.5,action_noise_0p5,5,-388.96893310676296,1034.5514779608723,-149.4725516377016,979.7885528980709,-274.52116113002114,978.0728064091999
vanilla,a3p10,action_noise,0.0,action_noise_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p10,action_noise,0.05,action_noise_0p05,5,8.48267649799286,540.6834846037244,208.29783591249938,912.3513948200709,-120.59847876697094,774.9875448369937
vanilla,a3p10,action_noise,0.1,action_noise_0p1,5,184.98142078298648,334.2049528793287,338.4849817059241,569.2189080052327,58.862792008163524,455.10990398406176
vanilla,a3p10,action_noise,0.2,action_noise_0p2,5,-26.828487940078457,579.2311319734365,247.90510346348537,1094.967528531644,-140.065816827449,802.6859812575069
vanilla,a3p10,action_noise,0.3,action_noise_0p3,5,57.39640158036441,320.18994125935774,89.13611536198418,711.4122958518337,-116.92115467805233,302.19684381084045
vanilla,a3p10,action_noise,0.5,action_noise_0p5,5,230.75122203248625,963.8181430103224,378.0952218833357,1064.0843355351274,91.92583905351071,1037.1269321743894
vanilla,a3p20,action_noise,0.0,action_noise_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p20,action_noise,0.05,action_noise_0p05,5,-153.36121497790737,298.11088663981303,-125.73743829434598,681.1044070115249,-153.23374006254707,519.2253186642129
vanilla,a3p20,action_noise,0.1,action_noise_0p1,5,-88.92194582612487,265.91941312261537,-223.75143276376002,642.9813452876388,-195.72505534757556,453.07725569949343
vanilla,a3p20,action_noise,0.2,action_noise_0p2,5,-229.97386525399688,463.40047670741,-396.62671871210966,333.42658583795935,-438.7909073520376,387.7572330915996
vanilla,a3p20,action_noise,0.3,action_noise_0p3,5,-656.89181862358,709.3537037234408,-1067.2948044410757,1186.2408713606521,-992.2019338120314,1006.9660184877862
vanilla,a3p20,action_noise,0.5,action_noise_0p5,5,-488.3189142327956,750.852056743073,-679.499223962728,867.3450558536124,-679.5250128977276,752.309717002316
vanilla,a3p50,action_noise,0.0,action_noise_0,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p50,action_noise,0.05,action_noise_0p05,5,16.823142317665905,446.5732915428056,211.18771557037923,854.8328651831464,67.90356366910801,666.2019849055084
vanilla,a3p50,action_noise,0.1,action_noise_0p1,5,31.657921816657698,535.4439130218343,172.78617712508913,976.6766717753585,3.263861879803062,683.9758852688709
vanilla,a3p50,action_noise,0.2,action_noise_0p2,5,-186.41528305069178,684.8605671495038,-223.65438619996922,716.5236649695948,-328.64861740708784,673.8662406370433
vanilla,a3p50,action_noise,0.3,action_noise_0p3,5,-328.20342691303097,776.084329854013,-467.2012683591206,913.0157799447959,-565.7614561396371,862.4970548917147
vanilla,a3p50,action_noise,0.5,action_noise_0p5,5,485.97194623055265,1428.484714794464,715.6997153622394,1450.0401692780129,594.4181450665222,1422.3950506797232
vanilla,a3p70,action_noise,0.0,action_noise_0,5,0.0,0.0,0.0,0.0,0.0,0.0
