model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a2p85,action_noise,0.0,action_noise_0,5,2727.916191177401,1101.3208170524135,2874.454511225953,1399.6563133799295,2843.3842566165176,1262.631420823465,2840.460508541711
a2p85,action_noise,0.05,action_noise_0p05,5,2707.3141729079907,1155.9231595925808,2880.9891177710597,1414.804634417459,2810.280326150256,1367.2833837073956,2812.0642858108276
a2p85,action_noise,0.1,action_noise_0p1,5,2858.4744911387033,1294.6049374125269,2931.8881917346985,1432.8730341674798,2934.9403630964266,1417.9736531996846,3039.462336127921
a2p85,action_noise,0.2,action_noise_0p2,5,2553.303042578438,1155.636252301463,2758.6521098566436,1363.5247965576136,2734.9747420274407,1335.2976848722267,2556.3888501434913
a2p85,action_noise,0.3,action_noise_0p3,5,2658.940319294171,1307.293423430495,2891.0097604611474,1480.2067941744217,2878.7754807956935,1460.9196407247673,2683.7264761161628
a2p85,action_noise,0.5,action_noise_0p5,5,1974.5651668133833,1063.1751280143371,1965.5332094116816,1241.5102912393334,2005.9949610845063,1234.2802574977675,1745.6316860588438
a2p95,action_noise,0.0,action_noise_0,5,3521.1531721992096,976.9312612491958,3705.5850679690725,1221.0349349118196,3673.5221260424905,1127.8095647570665,3892.482041653237
a2p95,action_noise,0.05,action_noise_0p05,5,3529.7471674672283,1091.3686917592806,3691.143352168909,1234.9895976802281,3678.3556748523943,1226.1187462182747,3849.9571506472553
a2p95,action_noise,0.1,action_noise_0p1,5,3447.2018345711294,960.8018835694224,3589.5588636170846,1073.2931138153092,3568.7167673426143,1075.5399480495098,3876.4346408088277
a2p95,action_noise,0.2,action_noise_0p2,5,3444.473253651637,907.1875479670388,3730.4880395134023,1180.8464233340715,3655.6010259869436,1101.6138149732951,3833.0205318094045
a2p95,action_noise,0.3,action_noise_0p3,5,3342.4320023857786,1024.4866549862165,3695.457599655155,1236.0811818127681,3599.4798229883454,1151.2965108021376,3658.886319049616
a2p95,action_noise,0.5,action_noise_0p5,5,2170.5142327543963,678.6503067692643,2088.852501098431,1009.844768955998,2122.740045179267,892.9774380848773,2098.073533341956
a3p00,action_noise,0.0,action_noise_0,5,3107.376849953952,875.6533274082213,3057.646716045019,939.2316267825772,3111.3971716610044,911.7940321706836,3184.7401710941353
a3p00,action_noise,0.05,action_noise_0p05,5,3222.0160934957257,823.5154120962969,3373.893602274134,897.3614288288519,3349.723015682488,886.2712660316956,3398.5189042676993
a3p00,action_noise,0.1,action_noise_0p1,5,3134.6817259646377,811.0115656255929,3227.308703263046,838.361557497584,3194.3401784291673,830.1967479157482,3152.671977020536
a3p00,action_noise,0.2,action_noise_0p2,5,3069.2719470935776,759.6512605573487,3042.114137348356,913.6123905522356,3115.0293093298365,837.8999813285561,3015.279684127499
a3p00,action_noise,0.3,action_noise_0p3,5,2974.7510936584454,560.7779591062219,3370.599290509649,765.1094851970438,3245.871300813937,725.3421348119626,3020.715478722463
a3p00,action_noise,0.5,action_noise_0p5,5,2297.808592050996,417.58101000850195,2527.94654676905,777.4461299425849,2355.9239400225274,622.6034190714173,2313.9629289246254
a3p05,action_noise,0.0,action_noise_0,5,3674.0692366691364,564.6022498575102,3620.645040933009,643.785802609776,3687.6569183643783,551.7883223995215,3723.4907061877198
a3p05,action_noise,0.05,action_noise_0p05,5,3554.232086589952,642.7240760988534,3534.3240868980183,742.1519651789794,3586.650982983527,685.5869154125634,3538.280133691512
a3p05,action_noise,0.1,action_noise_0p1,5,3722.9688403516,433.501248831122,3804.869391028432,423.938674879004,3812.7486672404602,410.7820905574817,3732.268211234887
a3p05,action_noise,0.2,action_noise_0p2,5,3553.580329660861,605.2057683231448,3614.1409136698835,698.9728687680079,3610.8900634810575,653.9305690230437,3716.3292368686675
a3p05,action_noise,0.3,action_noise_0p3,5,3224.249284560711,661.7246616112961,3326.6073572523555,973.670258574086,3356.7804625267904,894.9995311640967,3363.1972631543663
a3p05,action_noise,0.5,action_noise_0p5,5,2215.2496650353896,664.8233621807437,2224.9174233092417,801.902590087298,2235.0478376833075,753.2810780923737,2237.7291608967384
a3p10,action_noise,0.0,action_noise_0,5,3395.8265577326747,302.1966366837438,3467.301305140856,816.0163842511492,3642.816087022597,447.8650749035993,3453.507479536142
a3p10,action_noise,0.05,action_noise_0p05,5,3466.890511261959,382.8881416216313,3701.7504014993747,460.55433093319994,3591.6234257569113,440.082173162356,3489.8711070733
a3p10,action_noise,0.1,action_noise_0p1,5,3600.6297776289953,217.6010280742317,3931.1829928111047,158.56158816985769,3788.6556733002594,180.91116484033049,3635.6366657277285
a3p10,action_noise,0.2,action_noise_0p2,5,3488.651493723611,335.15091440542824,3898.968723938366,414.85577714681256,3748.1066964079837,353.010524220084,3514.7141322385555
a3p10,action_noise,0.3,action_noise_0p3,5,3555.6471311277433,278.7037535920648,3853.4669058330737,201.7821186736195,3810.5644437198816,225.34587768366998,3547.014377227422
a3p10,action_noise,0.5,action_noise_0p5,5,2556.727141238178,380.46698900146816,2599.1414610381257,638.9278089644051,2556.6540065250583,572.1677874995737,2457.882356219586
a3p20,action_noise,0.0,action_noise_0,5,3094.064868294818,976.812846089035,3350.953926057819,1121.790646594917,3294.3363231990284,1098.0985359926249,3363.048654694309
a3p20,action_noise,0.05,action_noise_0p05,5,3003.2849303482017,940.0429293549547,3251.3677482094927,1068.5670947393533,3210.5084006377674,1078.7253902857587,3190.198092954081
a3p20,action_noise,0.1,action_noise_0p1,5,3024.964721582027,993.3764755220369,3252.599199258384,1099.3480659406705,3185.588062120952,1091.069059136128,3237.8196158328224
a3p20,action_noise,0.2,action_noise_0p2,5,2983.744426971836,1129.3099304488646,3138.0895226797347,1178.217477754779,3100.9018420598263,1185.9451167578568,3170.902641702476
a3p20,action_noise,0.3,action_noise_0p3,5,2539.5972214859416,1115.926858802079,2580.688606946977,1345.880767535245,2586.8039007623347,1296.1153716692613,2557.1026038622263
a3p20,action_noise,0.5,action_noise_0p5,5,1535.8953155350387,437.97785292811164,1425.1996361090253,433.8513599388593,1436.7233907502516,439.9035013751251,1535.4318892304236
a3p50,action_noise,0.0,action_noise_0,5,2852.7685398865024,1023.4732654610793,2799.686345326222,1125.993887942503,2865.862330467623,1084.7099559016694,2854.7414332116437
a3p50,action_noise,0.05,action_noise_0p05,5,2932.1729592354595,1009.0128901818857,3037.0253213426213,1197.8090413359098,3003.1717116380164,1136.0413574693757,2945.2663457562853
a3p50,action_noise,0.1,action_noise_0p1,5,2904.2482608164946,929.0058614086514,3097.869228415636,1079.5893268940265,2956.102986616925,1026.0509931441113,2829.676672568478
a3p50,action_noise,0.2,action_noise_0p2,5,2786.0066807668254,940.5774334533559,2759.794274460278,1140.7616150039914,2782.5701392733704,1100.0407024160668,2675.5684591855415
a3p50,action_noise,0.3,action_noise_0p3,5,2626.989284788175,1023.4750736649635,2629.514562297335,1273.3469218444345,2584.770385703323,1222.5478252949865,2426.8367734643602
a3p50,action_noise,0.5,action_noise_0p5,5,2268.889847590072,902.6087450618709,2269.130994702396,1018.8606135122734,2282.192555983095,1025.1290198203035,1999.524134785978
a3p70,action_noise,0.0,action_noise_0,5,2723.5096164879033,822.8260665943222,2548.6322863750133,1283.8235153980863,2652.2372977268815,1135.6138009785627,2794.8627313203538
a3p70,action_noise,0.05,action_noise_0p05,5,2726.499672437802,659.3221126464018,2661.1054948643527,1276.0821548721021,2730.7473240967097,931.4233254032412,2815.7200618890856
a3p70,action_noise,0.1,action_noise_0p1,5,2871.9664623026656,472.02152614601187,3232.2130694939815,878.4532926216513,3019.8770730785545,632.5907772590826,2972.1392588619224
a3p70,action_noise,0.2,action_noise_0p2,5,3118.299087981747,802.763816241204,3374.645265557168,1026.159971587802,3309.2384275313634,951.1837424539443,3187.3327268533762
a3p70,action_noise,0.3,action_noise_0p3,5,3021.708116541461,825.3160962527206,3122.784661701861,1051.5382567637466,3070.1566585696714,1032.3509566681557,2904.6266561446505
a3p70,action_noise,0.5,action_noise_0p5,5,2231.7472043047414,633.7008245283512,2174.862669717357,778.3845242794722,2201.199855445725,715.7176117716431,2235.0926141625882
a4p00,action_noise,0.0,action_noise_0,5,3670.546752480088,323.9025018757179,3955.6149666945116,107.9791614681784,3911.4207963746403,128.16537834107507,3696.418175960749
