axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
mass,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
mass,a2p85,2728.3646382078014,1101.7106939248702,328.3276085036355,1339.0077522615447,13,14
mass,a2p95,3522.2633263969497,977.512060387133,-203.78077425024665,1425.047880196083,5,14
mass,a3p00,3108.4061880840386,876.5186281137096,32.05131730928682,1005.7005251498747,5,14
mass,a3p05,3675.4619853854265,565.4812472782344,-278.99724433473654,1223.448645007749,4,14
mass,a3p10,3396.697399035628,302.74571751758356,-269.0928939534244,926.523412461573,2,14
mass,a3p20,3095.002744820385,977.5860821366688,-74.12827931599051,846.0979188870205,4,14
mass,a3p50,2853.4689479030903,1024.2941866145318,-33.81597285268893,1225.1810096741845,7,14
mass,a3p70,2723.840504801772,823.1132628658279,376.1935919394614,1013.5014129279629,13,14
mass,a4p00,3671.7505221241277,324.516188845224,-490.71055754773425,841.6751410394253,2,14
