model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a2p85,mass,0.1,mass_0p1,5,155.9206211136997,18.50911370871204,106.82189491750133,42.93707227098203,109.41137028734404,35.64414698346974,149.0181243319847
a2p85,mass,0.2,mass_0p2,5,441.45552110539404,293.6777296014753,406.0786784639572,344.64822473800297,411.3031400046367,347.9724619048589,328.45907335925966
a2p85,mass,0.3,mass_0p3,5,703.5076213633378,480.81546312079377,500.89690018437733,385.91083599007254,559.4728467344526,419.6528505805354,529.5850506771528
a2p85,mass,0.4,mass_0p4,5,1032.0136907503513,648.1795794097952,756.4800673651434,514.1905707768066,908.5227988160481,568.307656316333,928.6608494021916
a2p85,mass,0.5,mass_0p5,5,1393.1620391828762,776.0329343496549,1298.1265909299664,788.2881034166164,1304.3412053128254,766.2212084973739,1354.746427661824
a2p85,mass,0.6,mass_0p6,5,1483.879604813293,784.1272921672426,1196.8020366828573,677.0306148384827,1301.0106832724537,712.1476481848489,1441.2104501861395
a2p85,mass,0.7,mass_0p7,5,1946.0432972433696,1520.7227956914485,2051.2934708150015,1655.4153700372788,2039.7720104886562,1640.9509713683783,1770.928160046057
a2p85,mass,0.8,mass_0p8,5,2128.044417937298,1454.593340798465,2100.4258429390766,1661.5318973718192,2123.6860781234245,1627.713690502299,1995.2746463229971
a2p85,mass,0.9,mass_0p9,5,2315.125881338853,1237.4659255010945,2478.9938112169034,1416.215570616581,2445.7855270924483,1422.488030068582,2287.8297290610703
a2p85,mass,1.0,mass_1,5,2728.3646382078014,1101.7106939248702,2875.333729895189,1400.3666833856194,2843.9363396036974,1263.100264929716,2840.7724155519195
a2p85,mass,1.1,mass_1p1,5,2171.325364360064,1433.6883041463711,2205.346180910594,1638.2658364713936,2216.4259054510817,1628.2269331541688,2073.5963171381427
