axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
actuator_gain,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
actuator_gain,a2p85,2728.3646382078014,1101.7106939248702,271.89471968056296,1301.8348268322297,13,15
actuator_gain,a2p95,3522.2633263969497,977.512060387133,-388.75642047773425,1389.996288677103,2,15
actuator_gain,a3p00,3108.4061880840386,876.5186281137096,-66.8922565010776,848.4594713852307,3,15
actuator_gain,a3p05,3675.4619853854265,565.4812472782344,-419.5173273294616,1137.9607680545855,3,15
actuator_gain,a3p10,3396.697399035628,302.74571751758356,-337.28701570917434,893.2495043930387,1,15
actuator_gain,a3p20,3095.002744820385,977.5860821366688,-109.77727635744897,881.782927709633,3,15
actuator_gain,a3p50,2853.4689479030903,1024.2941866145318,-28.850354881019566,1192.611262609798,10,15
actuator_gain,a3p70,2723.840504801772,823.1132628658279,267.19393265871616,930.0413786903314,13,15
actuator_gain,a4p00,3671.7505221241277,324.516188845224,-590.419256346668,791.4415978037422,1,15
damping,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
damping,a2p85,2728.3646382078014,1101.7106939248702,15.745179293262515,407.0407710641618,10,15
damping,a2p95,3522.2633263969497,977.512060387133,-15.715109822383123,412.67346291903925,8,15
damping,a3p00,3108.4061880840386,876.5186281137096,39.753707766591695,318.64788672874795,10,15
damping,a3p05,3675.4619853854265,565.4812472782344,-15.261878498276598,512.836346069398,7,15
damping,a3p10,3396.697399035628,302.74571751758356,-3.891700032222978,501.1051546767209,8,15
damping,a3p20,3095.002744820385,977.5860821366688,-73.94955086385583,403.48915167908035,4,15
damping,a3p50,2853.4689479030903,1024.2941866145318,116.88936268347285,489.99966095057425,13,15
damping,a3p70,2723.840504801772,823.1132628658279,-50.68561500617927,424.2913865072126,5,15
damping,a4p00,3671.7505221241277,324.516188845224,23.5148760333525,442.885384175807,9,15
friction,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
friction,a2p85,2728.3646382078014,1101.7106939248702,-172.59219599012116,1105.853077627828,8,15
friction,a2p95,3522.2633263969497,977.512060387133,-396.9286945074872,1225.7241014908213,2,15
friction,a3p00,3108.4061880840386,876.5186281137096,-353.0284653000369,930.8535965329617,2,15
friction,a3p05,3675.4619853854265,565.4812472782344,-629.3685423941012,1031.048412525695,0,15
friction,a3p10,3396.697399035628,302.74571751758356,-148.10236724896748,833.9039341014524,5,15
friction,a3p20,3095.002744820385,977.5860821366688,-355.2636757963959,1212.4207535977182,3,15
friction,a3p50,2853.4689479030903,1024.2941866145318,-293.43706794899475,1070.6778825746837,6,15
friction,a3p70,2723.840504801772,823.1132628658279,-138.52235300300103,966.4932414581173,7,15
friction,a4p00,3671.7505221241277,324.516188845224,-680.5417049301063,828.4378049262266,0,15
