baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a2p85,actuator_gain,0.0,actuator_gain_0,5,302.2236987203879,1409.626096562347,139.3064572450581,2021.3680051127799,176.22555202659777,1739.3031687824334
vanilla,a2p85,actuator_gain,0.1,actuator_gain_0p1,5,306.47606954055163,1412.4340924802764,143.2922116714238,2024.2090513158014,180.21904374358218,1741.6832418225247
vanilla,a2p85,actuator_gain,0.2,actuator_gain_0p2,5,316.61580305279347,1408.422673773261,154.20948132000586,2020.7075088910963,190.7862328674862,1737.6351856716178
vanilla,a2p85,actuator_gain,0.3,actuator_gain_0p3,5,316.00641322916044,1403.9854865572577,152.71107877360973,2014.688694314248,189.5422552975051,1732.36664638341
vanilla,a2p85,actuator_gain,0.4,actuator_gain_0p4,5,299.9372618719788,1459.7359106554404,137.55463391073818,2071.02889443216,173.52441658852763,1789.4335398699652
vanilla,a2p85,actuator_gain,0.5,actuator_gain_0p5,5,298.55593204756275,1452.8958736335014,135.60817342010097,2063.052998879509,172.13613417580663,1780.8177489630968
vanilla,a2p85,actuator_gain,0.6,actuator_gain_0p6,5,291.85628370022727,1454.4861582881483,128.73416976552153,2064.5573826316077,165.54932011781412,1782.0411699356343
vanilla,a2p85,actuator_gain,0.7,actuator_gain_0p7,5,303.3339455220943,1466.5859002342243,132.78375288697833,2079.5904077277332,173.40756402806556,1799.1515978135901
vanilla,a2p85,actuator_gain,0.8,actuator_gain_0p8,5,283.8062217966374,1105.183395917833,119.45821706982414,1719.8243250997082,169.16207810214468,1446.1232382859528
vanilla,a2p85,actuator_gain,0.9,actuator_gain_0p9,5,-403.1949795787409,1588.5950335052862,-529.6442446563474,1443.3971230888912,-490.5602858998556,1575.525255158077
vanilla,a2p85,actuator_gain,1.0,actuator_gain_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p85,actuator_gain,1.1,actuator_gain_1p1,5,124.28354046335963,1039.989256669339,-12.357612681947012,1757.6642780951702,153.19173390338466,1378.9075627643992
vanilla,a2p85,actuator_gain,1.3,actuator_gain_1p3,5,-88.95247101205386,1865.5097893986244,-318.79605706561324,2532.8595623506867,-312.96841230881773,2330.9046921134045
vanilla,a2p85,actuator_gain,1.5,actuator_gain_1p5,5,424.0069725238298,1060.5301994112926,619.1673334805425,1685.535189513003,521.8224488421602,1417.9639004644728
vanilla,a2p85,actuator_gain,1.7,actuator_gain_1p7,5,304.464937647764,714.3901696060157,-132.33634813806967,1339.0420923147467,90.05054623965862,991.8120834433496
vanilla,a2p85,actuator_gain,2.0,actuator_gain_2,5,999.0011656828922,685.1523657905974,764.2604254277732,1511.9102895446572,810.9640855218414,1148.6993560261153
vanilla,a2p85,damping,0.0,damping_0,5,46.44054081854838,413.5619526699133,-190.85439016566983,894.8475840531368,-97.99643602564296,697.8547634760931
vanilla,a2p85,damping,0.1,damping_0p1,5,-123.69578188142154,521.3540309049647,-250.15997967024242,904.059519162663,-202.32897100951044,706.9501390201527
vanilla,a2p85,damping,0.2,damping_0p2,5,30.06684930356105,328.99662778516756,-114.02036472917784,985.8963782566075,25.605378829032315,598.3375721315415
vanilla,a2p85,damping,0.3,damping_0p3,5,-97.79202677320968,443.749801282139,-239.09008558545216,868.9723654465172,-149.5669178376932,676.3715067312363
vanilla,a2p85,damping,0.4,damping_0p4,5,-128.73443606154652,349.34252632142596,-221.07999871362276,914.7767498023608,-150.48968851422902,648.1739489785657
vanilla,a2p85,damping,0.5,damping_0p5,5,-43.836671382072744,422.3044171188784,-127.98666474852602,837.2573149790163,-8.923777830243353,665.189291184762
vanilla,a2p85,damping,0.6,damping_0p6,5,99.92725742420002,362.6454727679568,109.53377858456506,926.9400925724018,146.79173165238177,583.0627933216638
vanilla,a2p85,damping,0.7,damping_0p7,5,-55.84778326853402,331.5221714473871,-246.6309312992743,606.7931622030259,-79.04567766804685,478.5184807366478
vanilla,a2p85,damping,0.8,damping_0p8,5,45.06164023531505,526.3124880382123,88.49052071800944,666.7479072028036,38.396122143041524,683.9937510018642
vanilla,a2p85,damping,0.9,damping_0p9,5,73.62140315192805,336.74171721904924,19.67321936650046,514.0735548614871,37.703422090947655,506.6799590654344
vanilla,a2p85,damping,1.0,damping_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p85,damping,1.1,damping_1p1,5,92.41552556866705,441.45626124823207,202.08225903935445,493.4793548184451,151.3242355501627,586.0340871478717
vanilla,a2p85,damping,1.3,damping_1p3,5,10.971928279519625,290.40364810785377,185.37344017672862,369.9040008689591,62.80243003166142,371.9081641065558
vanilla,a2p85,damping,1.5,damping_1p5,5,135.71270183414853,445.7722460988645,428.36781886968095,620.2624568160634,215.76226239551892,593.6240874374625
vanilla,a2p85,damping,1.7,damping_1p7,5,92.46598182926496,364.23241438839403,-21.31223080585105,457.5596075678195,47.288898639762465,448.60249858858685
vanilla,a2p85,damping,2.0,damping_2,5,59.400560320569454,527.215790563987,195.73772584843329,813.4605705171662,85.15250888800529,600.0214534049936
vanilla,a2p85,friction,0.0,friction_0,5,292.24369841471497,1425.2275603887763,139.93848943604218,2029.9437802622979,172.1432502436503,1753.3278847474483
vanilla,a2p85,friction,0.1,friction_0p1,5,278.0149002628715,1441.823536163575,119.21560214842748,2048.8414742786604,153.6179083484104,1770.5561731004334
vanilla,a2p85,friction,0.2,friction_0p2,5,277.576058089954,1476.1203635099328,106.50763302759515,2093.037848548761,147.39007279762149,1812.332083069099
vanilla,a2p85,friction,0.3,friction_0p3,5,-276.0763465412154,1818.6285194050201,-641.4539606239985,2523.345272612919,-469.10296905288686,2156.762196277417
vanilla,a2p85,friction,0.4,friction_0p4,5,203.0598909508736,1430.4444501380901,58.03293617911604,2039.63698018683,98.08560684250233,1762.9876416217862
vanilla,a2p85,friction,0.5,friction_0p5,5,-228.58926993285212,1338.0151931618907,11.657668226235046,1870.5933492075549,-62.366394639274446,1723.4584795543478
