axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
foot_left_mass,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
foot_left_mass,a2p85,2728.3646382078014,1101.7106939248702,-67.46979029369516,1336.4580656429591,7,14
foot_left_mass,a2p95,3522.2633263969497,977.512060387133,-157.4999035763738,1330.3184319917916,6,14
foot_left_mass,a3p00,3108.4061880840386,876.5186281137096,108.16080352355459,1002.2506607128092,9,14
foot_left_mass,a3p05,3675.4619853854265,565.4812472782344,-392.66564004430927,1310.9791032732214,4,14
foot_left_mass,a3p10,3396.697399035628,302.74571751758356,147.7338532936651,1457.845000695616,8,14
foot_left_mass,a3p20,3095.002744820385,977.5860821366688,-299.2821030926217,1234.3728398957494,5,14
foot_left_mass,a3p50,2853.4689479030903,1024.2941866145318,55.10149885048505,1054.8627803912952,7,14
foot_left_mass,a3p70,2723.840504801772,823.1132628658279,-20.258822960641883,1292.1018418599317,6,14
foot_left_mass,a4p00,3671.7505221241277,324.516188845224,-656.7422722754276,909.6438275778013,3,14
leg_left_mass,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
leg_left_mass,a2p85,2728.3646382078014,1101.7106939248702,415.4610975791564,916.5633245623028,10,14
leg_left_mass,a2p95,3522.2633263969497,977.512060387133,286.5395247854096,836.3562894933501,8,14
leg_left_mass,a3p00,3108.4061880840386,876.5186281137096,452.53821028832675,630.3066857178188,9,14
leg_left_mass,a3p05,3675.4619853854265,565.4812472782344,260.901073555622,786.1255736046642,9,14
leg_left_mass,a3p10,3396.697399035628,302.74571751758356,316.7724178026614,1135.1549177756224,8,14
leg_left_mass,a3p20,3095.002744820385,977.5860821366688,84.70958566941287,621.5062258266331,8,14
leg_left_mass,a3p50,2853.4689479030903,1024.2941866145318,319.284046297059,880.4586510678872,12,14
leg_left_mass,a3p70,2723.840504801772,823.1132628658279,418.3122142221618,1247.0924440990923,8,14
leg_left_mass,a4p00,3671.7505221241277,324.516188845224,206.44095571597532,784.4102034481888,9,14
thigh_left_mass,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
thigh_left_mass,a2p85,2728.3646382078014,1101.7106939248702,-245.05993131584893,1060.438082762444,2,14
thigh_left_mass,a2p95,3522.2633263969497,977.512060387133,-397.11512644178214,1063.6662261813838,2,14
thigh_left_mass,a3p00,3108.4061880840386,876.5186281137096,-86.39355433872026,712.5091120425205,8,14
thigh_left_mass,a3p05,3675.4619853854265,565.4812472782344,-386.7974960536952,1202.270963329577,1,14
thigh_left_mass,a3p10,3396.697399035628,302.74571751758356,-43.51742642806276,957.2638386946271,9,14
thigh_left_mass,a3p20,3095.002744820385,977.5860821366688,-341.6987055821722,966.0281112732499,0,14
thigh_left_mass,a3p50,2853.4689479030903,1024.2941866145318,162.77987789080288,1144.9954333571295,11,14
thigh_left_mass,a3p70,2723.840504801772,823.1132628658279,193.83749346650717,931.6736536370269,9,14
thigh_left_mass,a4p00,3671.7505221241277,324.516188845224,-430.43264345626295,954.430374160319,0,14
