model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a2p85,foot_left_mass,0.1,foot_left_mass_0p1,5,1240.6983281381333,513.3448961055084,1106.8402593456424,461.71846035033195,1143.8553632075323,494.82298493139007,1133.8721481520522
a2p85,foot_left_mass,0.2,foot_left_mass_0p2,5,1523.3663307401362,680.3185250682485,1447.6941448256614,704.1445824985522,1430.6892216211995,676.279574864654,1301.7494777838674
a2p85,foot_left_mass,0.3,foot_left_mass_0p3,5,1639.9083158127644,604.5774374799621,1637.7317731610394,628.3028966385136,1595.2540178555134,586.7060388693776,1566.6130286662658
a2p85,foot_left_mass,0.4,foot_left_mass_0p4,5,1959.4862731354654,581.3630752051788,1835.1721624428878,486.0559886422858,1881.3792382185104,539.3971692175217,1984.571913265593
a2p85,foot_left_mass,0.5,foot_left_mass_0p5,5,1885.6370224210143,598.1893604244101,1775.113360022054,632.2985901995647,1800.8593360912018,611.8059971565058,1806.1857890390613
a2p85,foot_left_mass,0.6,foot_left_mass_0p6,5,2155.109271123639,656.186161140005,2128.267082936881,707.2652404009348,2157.73343581306,759.0828086197454,1988.5583710440817
a2p85,foot_left_mass,0.7,foot_left_mass_0p7,5,2301.00833178642,706.21323339614,2216.929775538328,959.9995056744792,2298.2106454062423,893.5853943272762,2115.7684311592034
a2p85,foot_left_mass,0.8,foot_left_mass_0p8,5,2463.3584120717283,715.4483168598549,2578.138257815562,964.2230386780102,2470.0161188528664,898.4119935361205,2458.8198939888057
a2p85,foot_left_mass,0.9,foot_left_mass_0p9,5,2688.6167035354147,985.8566460242841,2567.1223225407252,1128.7180270953581,2646.78857430673,1096.901263319732,2678.14645837039
a2p85,foot_left_mass,1.0,foot_left_mass_1,5,2728.3646382078014,1101.7106939248702,2875.333729895189,1400.3666833856194,2843.9363396036974,1263.100264929716,2840.7724155519195
a2p85,foot_left_mass,1.1,foot_left_mass_1p1,5,2709.4926114048385,1069.570364765536,2913.1141288423596,1408.7505119145405,2917.6407714389106,1260.5295116119169,2891.4763431616816
a2p85,foot_left_mass,1.3,foot_left_mass_1p3,5,2483.966366651061,1331.452397295116,2787.367666367028,1450.9081140840958,2581.141975403919,1345.0847787272867,2476.7484807442993
a2p85,foot_left_mass,1.5,foot_left_mass_1p5,5,2304.999953281103,1313.5148818053253,2665.116229504302,1479.3365199322488,2387.8170422887283,1352.0108155852035,2251.6024506439226
a2p85,foot_left_mass,1.7,foot_left_mass_1p7,5,2026.83072618679,1116.843451982322,2331.684544319941,1317.4698916088328,2078.398718442195,1153.0193930420662,1918.8804420905906
a2p85,foot_left_mass,2.0,foot_left_mass_2,5,1812.6213446246286,1300.849920989964,1955.2966944069722,1443.0260522096087,1953.4299414408856,1440.3121417058708,1537.1901821789336
a2p85,leg_left_mass,0.1,leg_left_mass_0p1,5,2314.7016440392918,1084.3093912758625,2263.260255416876,1135.8625810996168,2252.453947320547,1112.443335066173,2070.331585456876
