axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
foot_left_actuator_gain,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
foot_left_actuator_gain,a2p85,2728.3646382078014,1101.7106939248702,291.7653884896084,1094.5514251908094,11,15
foot_left_actuator_gain,a2p95,3522.2633263969497,977.512060387133,-405.4938301475704,1537.5397791804974,3,15
foot_left_actuator_gain,a3p00,3108.4061880840386,876.5186281137096,380.9851288574826,1421.9261783549387,9,15
foot_left_actuator_gain,a3p05,3675.4619853854265,565.4812472782344,-540.3744009927071,1151.3429809579623,0,15
foot_left_actuator_gain,a3p10,3396.697399035628,302.74571751758356,-47.57777413164887,818.3573445886713,6,15
foot_left_actuator_gain,a3p20,3095.002744820385,977.5860821366688,266.1829350512894,1387.2606207934061,11,15
foot_left_actuator_gain,a3p50,2853.4689479030903,1024.2941866145318,354.34551628813847,1244.084521349469,10,15
foot_left_actuator_gain,a3p70,2723.840504801772,823.1132628658279,291.9285157433839,1083.6184473143917,13,15
foot_left_actuator_gain,a4p00,3671.7505221241277,324.516188845224,-399.01076311227183,887.3769195611442,2,15
foot_left_damping,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
foot_left_damping,a2p85,2728.3646382078014,1101.7106939248702,24.493508116649945,366.0717934761436,10,15
foot_left_damping,a2p95,3522.2633263969497,977.512060387133,-16.85083932163786,322.7065918715532,6,15
foot_left_damping,a3p00,3108.4061880840386,876.5186281137096,13.673951154714306,268.89546678969066,8,15
foot_left_damping,a3p05,3675.4619853854265,565.4812472782344,-52.24947905867643,380.41833489021946,6,15
foot_left_damping,a3p10,3396.697399035628,302.74571751758356,38.024913015721765,423.6849063440967,9,15
foot_left_damping,a3p20,3095.002744820385,977.5860821366688,-55.71580218940566,336.01994770353866,6,15
foot_left_damping,a3p50,2853.4689479030903,1024.2941866145318,44.79373314274003,357.6028261311374,8,15
foot_left_damping,a3p70,2723.840504801772,823.1132628658279,-84.14174091981396,389.83543214077383,4,15
foot_left_damping,a4p00,3671.7505221241277,324.516188845224,30.205137138953887,367.6368495483356,10,15
foot_left_friction,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
foot_left_friction,a2p85,2728.3646382078014,1101.7106939248702,-228.00375097146454,927.7054660030503,6,15
foot_left_friction,a2p95,3522.2633263969497,977.512060387133,-167.9841623048624,1266.109794028521,7,15
foot_left_friction,a3p00,3108.4061880840386,876.5186281137096,-92.80628965875763,1058.7614701178138,6,15
foot_left_friction,a3p05,3675.4619853854265,565.4812472782344,-531.19140313535,851.9703868416779,0,15
foot_left_friction,a3p10,3396.697399035628,302.74571751758356,171.54535264327527,865.2743697952436,11,15
foot_left_friction,a3p20,3095.002744820385,977.5860821366688,-301.3694958126883,1384.8460404819316,2,15
foot_left_friction,a3p50,2853.4689479030903,1024.2941866145318,-335.0731947096562,1160.8797957959143,2,15
foot_left_friction,a3p70,2723.840504801772,823.1132628658279,-177.04701654128712,1011.7028751957122,4,15
foot_left_friction,a4p00,3671.7505221241277,324.516188845224,-425.7705654901793,1020.2482755108919,0,15
leg_left_actuator_gain,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
leg_left_actuator_gain,a2p85,2728.3646382078014,1101.7106939248702,70.8940225814892,804.6859724453733,7,15
leg_left_actuator_gain,a2p95,3522.2633263969497,977.512060387133,-280.72323010735397,1092.5883626260068,1,15
leg_left_actuator_gain,a3p00,3108.4061880840386,876.5186281137096,70.82136036938839,883.2042936548718,10,15
leg_left_actuator_gain,a3p05,3675.4619853854265,565.4812472782344,-373.9242585748773,1009.8559078376624,0,15
leg_left_actuator_gain,a3p10,3396.697399035628,302.74571751758356,-64.31716814474206,945.1326234161461,8,15
leg_left_actuator_gain,a3p20,3095.002744820385,977.5860821366688,-149.2658911019675,1007.351879732542,3,15
leg_left_actuator_gain,a3p50,2853.4689479030903,1024.2941866145318,211.44726477952386,715.604064597764,13,15
leg_left_actuator_gain,a3p70,2723.840504801772,823.1132628658279,61.824659207704954,900.6065776476049,7,15
leg_left_actuator_gain,a4p00,3671.7505221241277,324.516188845224,-162.90729268901453,857.7873881357067,7,15
leg_left_damping,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
leg_left_damping,a2p85,2728.3646382078014,1101.7106939248702,10.739537587897493,325.56354776248736,7,15
leg_left_damping,a2p95,3522.2633263969497,977.512060387133,31.67956645996861,338.5011085458063,10,15
leg_left_damping,a3p00,3108.4061880840386,876.5186281137096,28.967976821187218,296.1347649536119,9,15
leg_left_damping,a3p05,3675.4619853854265,565.4812472782344,25.951290409632115,441.12742966882723,9,15
leg_left_damping,a3p10,3396.697399035628,302.74571751758356,84.0054656468216,438.50180104512674,11,15
leg_left_damping,a3p20,3095.002744820385,977.5860821366688,-2.1211307751131177,284.48908196054725,6,15
leg_left_damping,a3p50,2853.4689479030903,1024.2941866145318,37.05965258874891,339.5977077642081,10,15
leg_left_damping,a3p70,2723.840504801772,823.1132628658279,-4.334809615830794,347.5305563767701,7,15
leg_left_damping,a4p00,3671.7505221241277,324.516188845224,44.88463588108463,341.6295543511425,9,15
thigh_left_actuator_gain,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
thigh_left_actuator_gain,a2p85,2728.3646382078014,1101.7106939248702,-189.24626167838701,913.8998601942709,6,15
thigh_left_actuator_gain,a2p95,3522.2633263969497,977.512060387133,-866.3053254014129,1312.8323431690872,0,15
thigh_left_actuator_gain,a3p00,3108.4061880840386,876.5186281137096,-140.47564462237102,1053.6990726634137,6,15
thigh_left_actuator_gain,a3p05,3675.4619853854265,565.4812472782344,-488.9884445484959,905.3220891094775,2,15
thigh_left_actuator_gain,a3p10,3396.697399035628,302.74571751758356,-255.77722092855902,602.8591889996757,3,15
thigh_left_actuator_gain,a3p20,3095.002744820385,977.5860821366688,-279.92551608350993,930.7249016036981,4,15
thigh_left_actuator_gain,a3p50,2853.4689479030903,1024.2941866145318,-42.03541380056837,1069.1367420450763,6,15
thigh_left_actuator_gain,a3p70,2723.840504801772,823.1132628658279,-111.8936426395316,930.8494982149301,5,15
thigh_left_actuator_gain,a4p00,3671.7505221241277,324.516188845224,-422.10864887100814,854.6731034483477,1,15
thigh_left_damping,vanilla,3030.541270580179,790.5455241116828,0.0,0.0,0,0
thigh_left_damping,a2p85,2728.3646382078014,1101.7106939248702,0.8137203905641851,276.48724192390523,9,15
thigh_left_damping,a2p95,3522.2633263969497,977.512060387133,14.96365272309173,297.7295172045855,10,15
thigh_left_damping,a3p00,3108.4061880840386,876.5186281137096,46.56283301640021,237.70824304888998,11,15
thigh_left_damping,a3p05,3675.4619853854265,565.4812472782344,-10.473175941249917,379.423907804762,7,15
thigh_left_damping,a3p10,3396.697399035628,302.74571751758356,76.20967855450384,365.5305647586225,11,15
thigh_left_damping,a3p20,3095.002744820385,977.5860821366688,-69.8354792446543,260.81701995889523,6,15
thigh_left_damping,a3p50,2853.4689479030903,1024.2941866145318,43.45851339217508,310.0605852858743,9,15
thigh_left_damping,a3p70,2723.840504801772,823.1132628658279,5.057082056870211,282.9491850815588,9,15
thigh_left_damping,a4p00,3671.7505221241277,324.516188845224,88.88806492211648,347.3554059975489,13,15
