baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a2p85,foot_left_actuator_gain,0.0,foot_left_actuator_gain_0,5,551.6259713396191,1626.3722380244344,452.5475490980408,2222.013076783553,476.63992810812476,1949.931195223952
vanilla,a2p85,foot_left_actuator_gain,0.1,foot_left_actuator_gain_0p1,5,364.4070305949323,1483.2747083209335,202.90227920602973,2092.3264704264047,239.54652518076153,1809.937005107352
vanilla,a2p85,foot_left_actuator_gain,0.2,foot_left_actuator_gain_0p2,5,395.71583150942195,1486.1925962868193,233.0967502665404,2096.5096426975506,269.7303952490614,1813.6020550415778
vanilla,a2p85,foot_left_actuator_gain,0.3,foot_left_actuator_gain_0p3,5,400.630123870647,1488.7231103670654,240.43135795334547,2096.2253980606956,275.93552051848,1814.2782588556856
vanilla,a2p85,foot_left_actuator_gain,0.4,foot_left_actuator_gain_0p4,5,389.06998338381374,1481.0371314076313,219.53625950049235,2096.090408104208,256.8871324640063,1814.6801917917312
vanilla,a2p85,foot_left_actuator_gain,0.5,foot_left_actuator_gain_0p5,5,751.4456296617707,1220.7878395972543,429.1330100480586,1896.9553560653262,571.3990760476531,1524.854799681396
vanilla,a2p85,foot_left_actuator_gain,0.6,foot_left_actuator_gain_0p6,5,897.8702223816599,1146.3507598400506,872.8879641251136,1627.524731887651,806.1093713561695,1370.317462725692
vanilla,a2p85,foot_left_actuator_gain,0.7,foot_left_actuator_gain_0p7,5,1051.6798108827677,1206.3529372253904,975.5760114804173,1597.22327686136,998.9143204339653,1369.447351415875
vanilla,a2p85,foot_left_actuator_gain,0.8,foot_left_actuator_gain_0p8,5,867.6388817330186,349.0459705855042,969.705981532435,503.79997689224786,975.7135290707913,425.90251563047985
vanilla,a2p85,foot_left_actuator_gain,0.9,foot_left_actuator_gain_0p9,5,-350.4100904440316,814.7489368979868,-245.4525389222816,740.854984392158,-287.7520965259915,947.2605373258083
vanilla,a2p85,foot_left_actuator_gain,1.0,foot_left_actuator_gain_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p85,foot_left_actuator_gain,1.1,foot_left_actuator_gain_1p1,5,122.01670773861056,963.3929040715417,339.2591300759251,1235.7444387310686,263.8393602484822,1160.1165900351702
vanilla,a2p85,foot_left_actuator_gain,1.3,foot_left_actuator_gain_1p3,5,-443.9321873605867,1200.473496786631,-733.5628582999627,1551.8464284498984,-596.7065794869303,1449.1977638449682
