model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a2p85,foot_left_actuator_gain,0.0,foot_left_actuator_gain_0,5,546.830458240462,235.95077579813054,608.7704963241104,311.00683245921823,596.7608344270576,297.44750637960095,534.069284756802
a2p85,foot_left_actuator_gain,0.1,foot_left_actuator_gain_0p1,5,369.9376843806239,33.53901897466061,372.26143433130244,31.12930532911794,371.77090428424964,31.765227254719015,375.5836071283264
a2p85,foot_left_actuator_gain,0.2,foot_left_actuator_gain_0p2,5,392.0852964959316,37.1941854640153,391.57373507781665,38.77911015710789,391.7135691266137,38.86864022461969,406.78206897405744
a2p85,foot_left_actuator_gain,0.3,foot_left_actuator_gain_0p3,5,397.15591160129463,42.787599692079404,397.745222005067,42.806109677992126,397.6364234826477,42.74028623110565,412.1724853590528
a2p85,foot_left_actuator_gain,0.4,foot_left_actuator_gain_0p4,5,402.78163465672094,36.4122047396268,395.7435346122894,35.176944372375715,396.18545939799543,35.64404622059625,417.8661210078626
a2p85,foot_left_actuator_gain,0.5,foot_left_actuator_gain_0p5,5,774.0579923572245,654.7104340118563,606.6673683924188,329.6695369695635,716.4386691577668,542.7883747832108,454.8108989011915
a2p85,foot_left_actuator_gain,0.6,foot_left_actuator_gain_0p6,5,964.0976825437783,897.0843737993264,1110.9217450179817,1190.4187076131882,998.5241880421916,964.6627385191144,539.9073364736621
a2p85,foot_left_actuator_gain,0.7,foot_left_actuator_gain_0p7,5,1222.7095775265147,1274.2968815380225,1283.6941448801774,1381.8940380977806,1278.160711447767,1383.097983247318,618.1806190118215
a2p85,foot_left_actuator_gain,0.8,foot_left_actuator_gain_0p8,5,1801.9442084992963,1410.8825301030804,1860.9249768322563,1469.4271132681286,1829.9207091948588,1442.7443494690892,1507.8487018759513
a2p85,foot_left_actuator_gain,0.9,foot_left_actuator_gain_0p9,5,2442.5000475414463,1335.9662039803745,2685.9992831033833,1515.809438038567,2683.8038315233193,1510.1803187047035,2491.4783977026796
a2p85,foot_left_actuator_gain,1.0,foot_left_actuator_gain_1,5,2728.3646382078014,1101.7106939248702,2875.333729895189,1400.3666833856194,2843.9363396036974,1263.100264929716,2840.7724155519195
a2p85,foot_left_actuator_gain,1.1,foot_left_actuator_gain_1p1,5,2642.1487893968524,1107.9275574902974,2971.041537277941,1360.6786967025157,2844.7784370822424,1274.4211798288995,2803.473834063221
a2p85,foot_left_actuator_gain,1.3,foot_left_actuator_gain_1p3,5,2372.4728729277576,1174.2478874012234,2506.021104804627,1400.3549299968554,2468.2482014666616,1340.1208810702524,2487.289538948571
a2p85,foot_left_actuator_gain,1.5,foot_left_actuator_gain_1p5,5,1900.8818278729264,989.6500519699237,1951.0272023193634,1251.3393606988657,1879.4086199692076,1085.5983378077888,1834.347933219983
a2p85,foot_left_actuator_gain,1.7,foot_left_actuator_gain_1p7,5,1865.1911262052047,1190.701898474511,1653.9473559355138,1350.6990510753155,1814.0920120392125,1362.6751631787763,1694.2945455463425
a2p85,foot_left_actuator_gain,2.0,foot_left_actuator_gain_2,5,1523.4680724656039,1133.6125461556937,1567.5771617930802,1461.751477765233,1473.2409066295343,1261.1622780642256,1346.6791979890165
a2p85,foot_left_damping,0.0,foot_left_damping_0,5,2852.2753106262676,1140.129256574956,2942.8981859629603,1392.555896045513,2981.0825975867506,1306.34631676814,3003.887740166132
a2p85,foot_left_damping,0.1,foot_left_damping_0p1,5,2735.440343062583,1071.1120604896116,2879.250344102824,1345.285461293189,2827.242619995364,1226.3763010667826,2816.083024417981
a2p85,foot_left_damping,0.2,foot_left_damping_0p2,5,2656.4701815592907,1095.1189209511874,2740.798875041436,1317.9949238171603,2722.007931673181,1247.1833525902662,2745.060769555374
a2p85,foot_left_damping,0.3,foot_left_damping_0p3,5,2892.144312416344,1146.2617069700357,2941.64082761722,1379.246032242683,2995.1663156821865,1315.3907445436914,3076.1464119306743
a2p85,foot_left_damping,0.4,foot_left_damping_0p4,5,2741.3664270013383,997.8967362810713,2846.5117996038525,1091.9741421644371,2810.5155741026538,1110.0280183497896,2855.762675796885
a2p85,foot_left_damping,0.5,foot_left_damping_0p5,5,2791.4722884930547,1075.2205129208132,3030.710437808618,1287.694392209591,2917.7860336448753,1193.706871674423,2932.829824198397
a2p85,foot_left_damping,0.6,foot_left_damping_0p6,5,2894.375237002508,1162.6037848521387,3029.872550818801,1332.6370695870864,3034.3758064243666,1327.7070343158978,3100.7225730376945
a2p85,foot_left_damping,0.7,foot_left_damping_0p7,5,2892.1130158374303,1071.500195390936,3072.6720573306034,1313.9248450072223,3070.102188317959,1281.6201800280453,3142.523943993918
a2p85,foot_left_damping,0.8,foot_left_damping_0p8,5,2789.646529451015,1031.4070455657245,2994.845769032038,1290.1523230031764,2952.2159813373914,1205.7289496990877,2961.035175014377
a2p85,foot_left_damping,0.9,foot_left_damping_0p9,5,2755.5240908252176,1066.8422945379004,2897.0845188299513,1402.7508341950825,2865.6986327345185,1252.906325552436,2890.7356787270696
