model_label,axis,factor,scenario_label,n,mean_return_mean,mean_return_ci95,median_return_mean,median_return_ci95,iqm_return_mean,iqm_return_ci95,seed_iqm_of_mean_return
a2p85,mass,0.1,mass_0p1,5,84.75897860397143,36.78273716441866,62.00673103339902,29.422803611732853,66.97817156463282,31.955910873861864,95.9427964050006
a2p85,mass,0.2,mass_0p2,5,310.7957490022682,40.350052217853765,248.70918736134408,78.94412483240964,253.99051666745927,75.34717550834823,306.20322764914044
a2p85,mass,0.3,mass_0p3,5,476.46256991056896,146.79470260774275,441.8031403517962,125.99383555183336,433.4941255447783,107.86746249980614,428.5930133789271
a2p85,mass,0.4,mass_0p4,5,741.932822514734,365.88776392996596,610.2365083378407,267.73209656178244,620.3942566742904,275.38382198923426,692.8009386367517
a2p85,mass,0.5,mass_0p5,5,1133.2031945426818,442.73499837076014,1106.6159749755343,469.1378786358333,1087.145145574318,455.40830671317394,1080.1160703211308
a2p85,mass,0.6,mass_0p6,5,1389.9169382981595,644.5831792425696,1233.0079030085324,570.4729731716462,1325.9371624238952,621.7723571339994,1311.7249473823292
a2p85,mass,0.7,mass_0p7,5,1704.9989693007578,874.274645851419,1683.417116093014,1095.9312906723678,1694.4726942542607,996.1130284987178,1521.8394814575652
a2p85,mass,0.8,mass_0p8,5,2054.1670273375103,1077.5634008405716,2187.2377764294392,1375.9520958342277,2122.5404124174556,1275.808803738408,1970.2553458309976
a2p85,mass,0.9,mass_0p9,5,2573.914219650379,1125.803698547603,2910.197376657086,1359.071675768709,2782.477146826453,1252.282580574144,2673.3332133367544
a2p85,mass,1.0,mass_1,5,2020.6276281908508,891.498626308494,2163.3202728377355,1186.8324819774505,2075.744195188927,1033.565513826751,1968.5783241904508
a2p85,mass,1.1,mass_1p1,5,1079.132011385032,463.8394923836173,1012.3352074511889,398.8237245766144,1036.6100118576362,431.65209424799394,959.0869550603533
a2p85,mass,1.3,mass_1p3,5,513.471915185033,58.82989350694167,509.7605338471474,59.150873008711066,516.0917552122136,57.485546853019656,519.3116457225582
a2p85,mass,1.5,mass_1p5,5,378.8467409428448,22.615682596347085,372.40651667246607,10.428575520047797,372.49141591317897,9.886434464740615,374.1318137913399
a2p85,mass,1.7,mass_1p7,5,341.7164340296248,33.63992206300427,332.7822450453515,30.90178113620889,335.302653777978,30.23915284211445,341.3518972771237
a2p85,mass,2.0,mass_2,5,309.6516610301412,37.103013308981204,312.70548629925025,38.0589878252893,310.9989144117927,38.66172314275238,308.3681854043635
a2p95,mass,0.1,mass_0p1,5,161.02120518386013,40.87166156291194,115.45152694287103,20.772206041678356,121.52285594551385,18.90673467013012,143.46681609651753
a2p95,mass,0.2,mass_0p2,5,403.09791196398817,132.815098556661,272.177093890317,119.03092748999747,294.6599854783226,107.77414179183195,396.8892060745077
a2p95,mass,0.3,mass_0p3,5,823.6173526733888,566.1894879029028,798.2506345713924,585.0546188315906,787.0173988893312,559.0587495314513,725.7961201291087
a2p95,mass,0.4,mass_0p4,5,986.6769857211572,644.4107113024713,883.2736078798077,550.5149718802446,886.6330515437912,547.1883235180395,814.3772740676183
a2p95,mass,0.5,mass_0p5,5,1469.3167820281935,969.251840867213,1529.8478812107608,1259.229144813316,1525.0987306188345,1212.2702567913338,1230.3656463497157
a2p95,mass,0.6,mass_0p6,5,1649.641300946696,891.3118065348124,1709.5692434473972,1200.3713817720568,1696.3060697857788,1110.5900210777863,1527.4055145897516
a2p95,mass,0.7,mass_0p7,5,2070.626457058361,1078.9131113372662,1997.2390192593255,1288.1057718117645,1989.4678447476413,1265.3342996301499,1982.4142054979181
a2p95,mass,0.8,mass_0p8,5,2762.126535922765,959.4055534703996,3095.6456433421117,1318.987400491762,2982.6972538795444,1248.5272252283908,2870.7706487131804
