baseline_model_label,compare_model_label,axis,factor,scenario_label,n,gain_mean_return_mean,gain_mean_return_ci95,gain_median_return_mean,gain_median_return_ci95,gain_iqm_return_mean,gain_iqm_return_ci95
vanilla,a2p85,mass,0.1,mass_0p1,5,847.1102583550525,1644.8303523490665,833.1702755443636,2313.7034514181464,944.8974202452403,1991.8197555716097
vanilla,a2p85,mass,0.2,mass_0p2,5,948.7750639963391,1620.3342017949776,893.080174583137,2327.759793374314,1004.3536635708355,1999.892269636026
vanilla,a2p85,mass,0.3,mass_0p3,5,1024.4725654886222,1598.257158869329,985.474756009466,2234.5308600486364,1091.1688185329829,1930.6507094254957
vanilla,a2p85,mass,0.4,mass_0p4,5,1180.917603656295,1387.618381783802,1054.1006182291808,2184.002047371868,1174.004706845471,1840.1995442241598
vanilla,a2p85,mass,0.5,mass_0p5,5,1130.923037216949,985.5465479822957,1196.4104162404608,1805.723509415114,1259.9504126466022,1404.9816021728464
vanilla,a2p85,mass,0.6,mass_0p6,5,887.0807083180989,954.9177612341563,845.1884801327953,1563.5735383851052,1031.8507838766432,1278.552845037892
vanilla,a2p85,mass,0.7,mass_0p7,5,698.9111408919882,1118.464483732943,862.1266879908384,1807.7318075441435,902.4452877430765,1406.0390746079943
vanilla,a2p85,mass,0.8,mass_0p8,5,813.6564256477164,1392.4833585200115,1070.1206161022026,2360.7073316929404,1063.0629839928908,1968.1652954741608
vanilla,a2p85,mass,0.9,mass_0p9,5,694.5058629457113,696.493290869163,854.126888453796,1733.2911670632955,939.8956780973361,1227.9043875525815
vanilla,a2p85,mass,1.0,mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p85,mass,1.1,mass_1p1,5,694.3102465531662,1028.9262383939363,862.628869576781,1771.8181829682662,933.9024899477096,1384.1792281305943
vanilla,a2p85,mass,1.3,mass_1p3,5,1003.8744264073324,1632.1860681165351,980.7107878130722,2306.9240258373866,1095.915088185915,1980.4929687108809
vanilla,a2p85,mass,1.5,mass_1p5,5,937.4190353102495,1660.4878030314585,900.1053648083265,2325.5306169259798,1009.8704755863379,1999.4436592283478
vanilla,a2p85,mass,1.7,mass_1p7,5,925.4701345848346,1671.3131437585837,880.6285230615658,2336.9733879211667,996.054189459023,2011.5653637186213
vanilla,a2p85,mass,2.0,mass_2,5,913.5225008117206,1653.799074225968,880.9982833999577,2336.578050720082,992.511688460569,2004.091567915427
vanilla,a2p95,mass,0.1,mass_0p1,5,-112.41171403407434,1649.2346830117128,-448.81158685513867,2239.8241508554042,-259.8712282965904,1986.7092096253775
vanilla,a2p95,mass,0.2,mass_0p2,5,5.293027989043549,1591.0882248255023,-418.87857719686434,2246.0217586030744,-214.29020054101284,1984.9550793277583
vanilla,a2p95,mass,0.3,mass_0p3,5,335.84314928242696,1410.4067385671656,6.495591920088145,1951.3901833304317,185.3787589548243,1745.6684769371714
vanilla,a2p95,mass,0.4,mass_0p4,5,389.8775678937025,1170.636626213658,-8.288940537826193,1806.350948002528,180.9301687922604,1565.7538540661242
vanilla,a2p95,mass,0.5,mass_0p5,5,431.25242573344514,883.3781155860754,284.21566416671317,1194.2103994941815,438.59066476840724,1115.2066996748972
vanilla,a2p95,mass,0.6,mass_0p6,5,111.02087199761976,1159.308254010694,-13.676837737314212,1404.1780184420527,142.90635831581562,1340.0549197821322
vanilla,a2p95,mass,0.7,mass_0p7,5,28.75442968057596,1033.539719043501,-159.4780671518243,1597.7173862186364,-61.872894686254675,1365.2819199917847
vanilla,a2p95,mass,0.8,mass_0p8,5,485.83173526395524,953.514348891799,643.1018247059012,1331.697711734237,663.906492532268,1247.86655696768
vanilla,a2p95,mass,0.9,mass_0p9,5,241.05350790681456,489.35889312460426,118.28314990931048,1431.3561835629948,322.4152433578,921.5836652037084
vanilla,a2p95,mass,1.0,mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a2p95,mass,1.1,mass_1p1,5,66.34139388116269,1191.4718660575973,-51.87730759822243,1872.9723113281193,18.577536774762258,1572.3735713893814
vanilla,a2p95,mass,1.3,mass_1p3,5,-70.44431760750936,1692.1368286813986,-387.5769084237301,2298.7214346458322,-206.44228124712427,2038.7919014892966
vanilla,a2p95,mass,1.5,mass_1p5,5,-105.54991422873918,1669.3291822805297,-438.101539690039,2254.834102948023,-252.17428932305802,1998.6400310937129
vanilla,a2p95,mass,1.7,mass_1p7,5,-112.65684567663921,1675.1530601207635,-452.53749936473184,2263.0496114360312,-262.39775771066627,2009.0529106437905
vanilla,a2p95,mass,2.0,mass_2,5,-125.8679013668303,1668.0277766034048,-465.8157263325579,2259.2393652226865,-273.0043417255691,2003.3682969055435
vanilla,a3p00,mass,0.1,mass_0p1,5,311.86917151355317,915.8083412219573,206.01799381127665,1602.570346231839,279.14292148178293,1262.0982430179547
vanilla,a3p00,mass,0.2,mass_0p2,5,418.755186292257,913.5789547647079,311.2942317579944,1614.36483822265,380.76102109490523,1275.1540669620936
vanilla,a3p00,mass,0.3,mass_0p3,5,448.30458838728373,931.3964400403315,279.6442993313408,1562.8710108920386,382.309351133422,1248.6692311861345
vanilla,a3p00,mass,0.4,mass_0p4,5,636.7526106021126,1017.6132190027357,415.91474991627945,1696.3580976402807,538.3745402439097,1345.1988010348691
vanilla,a3p00,mass,0.5,mass_0p5,5,279.2736259726267,690.3213345543304,271.7567050949974,1536.0868472439452,292.88155477379865,1093.837655455147
vanilla,a3p00,mass,0.6,mass_0p6,5,0.9195945884692719,845.482858483203,73.39419800676951,1603.9080858648601,83.9245330283954,1225.9017782512178
vanilla,a3p00,mass,0.7,mass_0p7,5,-138.65483162938304,1009.5033139811736,-177.00787884516512,1850.5705043923688,-142.1284658086701,1460.2419049012578
vanilla,a3p00,mass,0.8,mass_0p8,5,324.0493423623077,911.267368809381,447.7007332010238,1464.5577591428987,457.3808889702089,1218.9682165696588
vanilla,a3p00,mass,0.9,mass_0p9,5,501.7175185020462,768.8300006389418,603.5910841432125,1772.7298233810338,709.1735347300939,1142.8918863718811
vanilla,a3p00,mass,1.0,mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p00,mass,1.1,mass_1p1,5,455.78666759284596,789.8103224941195,335.1312036319224,1580.5589256795697,445.67143406623245,1140.9218551488552
vanilla,a3p00,mass,1.3,mass_1p3,5,408.51100292097806,990.679438912418,307.5404346372093,1657.750310400314,375.26088112159584,1321.9435035088047
vanilla,a3p00,mass,1.5,mass_1p5,5,336.1706354456149,932.5757047534148,218.05757697871923,1582.335591508454,295.78572577636885,1259.044204969965
vanilla,a3p00,mass,1.7,mass_1p7,5,319.80149056677095,915.5320918962209,207.56659929128017,1581.18439094099,279.866706161327,1246.1320552988923
vanilla,a3p00,mass,2.0,mass_2,5,321.7249776038924,903.7823564937311,210.04778193549055,1574.2714899575674,282.8526629442135,1234.4490227170236
vanilla,a3p05,mass,0.1,mass_0p1,5,226.8247700063542,1397.7340386685678,57.34991895048397,2063.768628160737,276.8226996451447,1773.2815193912893
vanilla,a3p05,mass,0.2,mass_0p2,5,384.2978564723891,1482.5134537708484,241.29058826599967,2286.6062391156734,442.01800028440294,1932.7997956662227
vanilla,a3p05,mass,0.3,mass_0p3,5,470.3862550212554,1417.3927866439747,238.29351523551722,2124.2450871810593,447.16277626301587,1830.5652164845555
vanilla,a3p05,mass,0.4,mass_0p4,5,698.8653713605911,1468.685407434118,452.3959877995044,2253.7477332431636,695.6684908689576,1945.7124004134268
vanilla,a3p05,mass,0.5,mass_0p5,5,436.7912998054129,1177.066759952827,213.38157641518063,2038.6023642842151,465.93985895543193,1636.632802084649
vanilla,a3p05,mass,0.6,mass_0p6,5,535.6553623382624,1059.161855969376,357.2330762229324,1952.6515178135953,576.4479836685761,1532.882364545542
vanilla,a3p05,mass,0.7,mass_0p7,5,805.8909090219662,1250.0737048064618,1079.9529650646605,2131.6330803135434,1126.9252592349098,1690.285781306195
vanilla,a3p05,mass,0.8,mass_0p8,5,910.8432562767621,1513.2363967145268,883.7567301575533,2180.2477248802074,1105.1965343683455,1999.815365269032
vanilla,a3p05,mass,0.9,mass_0p9,5,518.8069347755311,948.3890878994914,405.13176550713285,1892.0823950337904,727.5014364209367,1383.8770283557967
vanilla,a3p05,mass,1.0,mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p05,mass,1.1,mass_1p1,5,310.69857857619473,837.6539078194158,327.9122129722283,1531.8638832946392,495.38499458282786,1205.2223918165814
vanilla,a3p05,mass,1.3,mass_1p3,5,422.2003363822799,1370.5223847174784,249.60226087442942,2038.781842058015,470.55077248070575,1759.866161438463
vanilla,a3p05,mass,1.5,mass_1p5,5,249.9665604494331,1363.1473774025326,78.75547331300304,1993.1419234368457,291.1579032934315,1722.0302734389718
vanilla,a3p05,mass,1.7,mass_1p7,5,224.45396232694202,1376.0905693763514,43.46455870198215,2029.9504853083772,266.1437688806012,1745.508280548691
vanilla,a3p05,mass,2.0,mass_2,5,224.43249837977638,1378.0574401975603,43.64312989516884,2042.768386828109,265.34931419250785,1755.5510960521237
vanilla,a3p10,mass,0.1,mass_0p1,5,-181.4744205190356,959.4346822926201,-339.2656850672305,1496.8033397180748,-299.8004039564545,1252.6399396416346
vanilla,a3p10,mass,0.2,mass_0p2,5,-109.68641973497388,890.9033791334416,-265.49471667080263,1446.9656258133493,-237.91172374542398,1197.8123748130608
vanilla,a3p10,mass,0.3,mass_0p3,5,-73.67366665975615,849.2529174198675,-240.12273938259136,1351.310513155933,-197.11691166918814,1113.8125496679172
vanilla,a3p10,mass,0.4,mass_0p4,5,-95.48861241207638,689.4563199259059,-276.56512319387264,1327.623743860802,-234.05783292625557,1043.3705724998179
vanilla,a3p10,mass,0.5,mass_0p5,5,-303.6090308378235,364.17706032123226,-475.0364656367474,998.2702177099728,-465.1434564023477,718.5536524490058
vanilla,a3p10,mass,0.6,mass_0p6,5,-386.91172825686147,782.1086841484062,-632.7243476994105,968.7749436890189,-568.673554297495,868.7591859301372
vanilla,a3p10,mass,0.7,mass_0p7,5,6.144649343271249,985.5894814514731,-178.49163578561314,1599.1013630728617,-64.93399124107358,1294.089959062012
vanilla,a3p10,mass,0.8,mass_0p8,5,277.39131696118585,1133.4926496541464,265.2225129810666,1783.130336393426,260.0984175973643,1575.4122494697376
vanilla,a3p10,mass,0.9,mass_0p9,5,252.7851179017433,1045.663200106597,265.10958766276843,2435.1180215832524,328.2453893040729,1704.9133538356186
vanilla,a3p10,mass,1.0,mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p10,mass,1.1,mass_1p1,5,109.11944436999583,725.5131458682478,53.1966160193575,1318.4407555879693,94.11359412007032,1031.8826617920565
vanilla,a3p10,mass,1.3,mass_1p3,5,-4.5866266812837235,888.8332313768931,-171.5138169610529,1461.4709563347612,-130.07277205107192,1198.9542098131021
vanilla,a3p10,mass,1.5,mass_1p5,5,-62.877829250566265,900.0888421803816,-232.47491955457085,1456.9894614404157,-191.32635002146716,1199.0641119286183
vanilla,a3p10,mass,1.7,mass_1p7,5,-79.13857443304805,911.1054621337374,-255.91417092589683,1457.5848965215168,-214.49323261821527,1205.3018323625456
vanilla,a3p10,mass,2.0,mass_2,5,-116.39697617001525,904.8008504571467,-288.2053261863536,1457.298690925667,-247.60805288576748,1202.8067359968197
vanilla,a3p20,mass,0.1,mass_0p1,5,831.0726274035635,1087.2159695369098,882.311014639484,1731.0906724092097,935.283331825722,1394.0958042212474
vanilla,a3p20,mass,0.2,mass_0p2,5,834.557271506011,1054.4931324152624,890.0211045544991,1679.8103254946866,931.7602038464971,1380.2073308809402
vanilla,a3p20,mass,0.3,mass_0p3,5,948.4233658219104,905.7348377673188,1020.1397378442944,1448.5749437038248,1063.6135250600848,1176.2005819643937
vanilla,a3p20,mass,0.4,mass_0p4,5,983.9710608649191,832.132255629801,977.5303947306478,1559.194171110323,1040.4946304828386,1245.6188484603808
vanilla,a3p20,mass,0.5,mass_0p5,5,805.2032399842838,403.62045812961196,909.8553594454919,1123.96615874051,919.5276109445715,812.2373617620178
vanilla,a3p20,mass,0.6,mass_0p6,5,527.3261961336817,426.7775625212436,692.1974622463288,868.4447406424326,717.5123382780705,546.0554515395155
vanilla,a3p20,mass,0.7,mass_0p7,5,536.9626157287537,594.3864332617293,787.7738971466345,861.4222273494614,762.5528802162656,747.6851833849328
vanilla,a3p20,mass,0.8,mass_0p8,5,708.2241191780503,964.3909369450554,916.877599794983,1286.0393889947106,935.7844743984082,1144.1176784834636
vanilla,a3p20,mass,0.9,mass_0p9,5,370.29596045250486,789.9463174412839,320.1605349461385,1451.541349240644,490.39600231879484,1029.2625035339518
vanilla,a3p20,mass,1.0,mass_1,5,0.0,0.0,0.0,0.0,0.0,0.0
vanilla,a3p20,mass,1.1,mass_1p1,5,533.5349348409569,753.9417551618853,882.0870628537883,1393.4391483084553,855.0343415146602,1064.4357458962997
vanilla,a3p20,mass,1.3,mass_1p3,5,925.3909273885635,1154.6724599082488,988.1970705270938,1770.1001562055958,1034.3825428517086,1454.1174921613917
vanilla,a3p20,mass,1.5,mass_1p5,5,859.5394429313474,1131.5242784345096,927.8115499227181,1744.5742230234036,967.0924795263123,1430.4654945462378
vanilla,a3p20,mass,1.7,mass_1p7,5,844.4200827118442,1143.0148113737243,903.4318205806965,1752.4868329468784,947.5349061466914,1439.2611637670964
vanilla,a3p20,mass,2.0,mass_2,5,838.8149143953415,1141.4237688351202,901.202116875246,1755.4793040058269,944.0446679058468,1440.5535333475789
vanilla,a3p50,mass,0.1,mass_0p1,5,547.0388582621049,480.83359968346355,577.1122769165638,928.1808511149205,634.9227548340348,732.1665360856499
