axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
actuator_gain,vanilla,2899.942512660816,635.6139740084185,0.0,0.0,0,0
actuator_gain,a2p85,2157.1039593375995,940.7899736895545,681.6025925573523,1222.508000602095,15,15
actuator_gain,a2p95,2992.5697581467803,813.2054054359579,-3.9592948194891693,1137.325415836493,5,15
actuator_gain,a3p00,2604.1347087473187,308.91311945274634,263.2977242664547,689.0766787316466,13,15
actuator_gain,a3p05,2827.3013204494696,665.1158938426818,189.94528745446942,1125.1875938828073,13,15
actuator_gain,a3p10,3185.51628671886,328.3212103200438,-244.26858856281984,767.5343862820687,1,15
actuator_gain,a3p20,2080.494373888524,630.99237848394,710.6929480527549,762.7077063911804,15,15
actuator_gain,a3p50,2375.8325791223483,808.7000833050419,377.01452103334213,637.9837294328956,12,15
actuator_gain,a3p70,2308.5285326082176,474.4981787628013,575.4596043678159,657.8640854959347,15,15
actuator_gain,a4p00,2777.337460181854,594.6059479734212,226.42734071389785,896.6710269884555,15,15
damping,vanilla,2875.606178124225,726.7207168391512,0.0,0.0,0,0
damping,a2p85,2122.6585587338027,903.0905479723605,-10.580693570207066,350.52285673564853,9,15
damping,a2p95,2818.398323394015,840.0427126917093,73.31370889243877,376.5042024237097,11,15
damping,a3p00,2679.869562883419,441.6097854073997,-12.990811803320582,353.6366338020135,5,15
damping,a3p05,2502.7537337570566,501.16929179503654,161.14865706298067,335.5463774503261,13,15
damping,a3p10,3251.2365799046847,455.9900675945536,-276.3897308416136,454.50892882005064,0,15
damping,a3p20,2192.5661156735323,830.1379985054419,25.603244033678028,367.7079291297074,9,15
damping,a3p50,2454.422910277507,1015.8765491223339,25.5740634170832,389.12922030286967,9,15
damping,a3p70,2571.3824005200195,727.4050634613661,2.3650243387643455,466.1644492738515,8,15
damping,a4p00,2965.5155870271374,429.98986295498787,-23.498833258767846,445.1839192252143,9,15
friction,vanilla,3080.1565057118664,619.672182303022,0.0,0.0,0,0
friction,a2p85,2082.3500636503636,1023.4772247436879,781.4289312962724,1068.3110343166904,13,15
friction,a2p95,2845.4572440719367,861.8028104099061,553.6368527990211,950.2591918392767,14,15
friction,a3p00,2708.46123029053,321.7164598863564,415.75736714815395,759.3204574365777,14,15
friction,a3p05,2661.1432051914317,542.0279898349393,467.2594451229581,846.7975525354739,15,15
friction,a3p10,3083.32560217014,539.3970633889166,337.692378062657,492.9804871541646,14,15
friction,a3p20,2082.954564786067,866.3286332231978,804.8716548054022,729.3237299581913,15,15
friction,a3p50,2448.422990962553,873.9459934840049,489.1240821087063,653.4310440947506,13,15
friction,a3p70,2449.3417624521708,513.6854083535894,599.1950821938287,644.1432183576834,15,15
friction,a4p00,3025.323269602577,513.1084813552957,198.28610826837388,618.7315503898086,13,15
