axis,model_label,nominal_mean_return,nominal_mean_return_ci95,avg_gain_mean_return,avg_gain_mean_return_ci95,positive_gain_scenarios,perturbed_scenarios
foot_left_mass,vanilla,2499.899819086974,640.7293098506317,0.0,0.0,0,0
foot_left_mass,a2p85,2138.2371160536486,1006.2879956309663,-20.53546630354237,913.7032149453545,5,14
foot_left_mass,a2p95,2872.4926629656193,833.7924915944882,-126.98179797991371,951.6692764901683,4,14
leg_left_mass,vanilla,2783.8794318151417,329.822951316612,0.0,0.0,0,0
leg_left_mass,a2p85,2274.8143532609947,1014.5741188649379,58.549932121943904,447.1849324296284,8,14
leg_left_mass,a2p95,2966.2940836098533,807.7114894660199,43.669725389427754,690.8102063229287,7,14
thigh_left_mass,vanilla,2787.5394891203405,561.7031316560083,0.0,0.0,0,0
thigh_left_mass,a2p85,2228.1075384842075,1020.6194644731725,133.0610456812701,576.5641157099865,9,14
thigh_left_mass,a2p95,2997.9741689068383,1010.3789868775128,-217.8609748665492,754.2104656253314,2,14
thigh_left_mass,a3p00,2735.5864078068603,477.37112857384045,25.94856770461928,623.5709511598826,7,14
